小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）,行政区
安德里北街25号院,2017.08.26 ,930万,84739,1080,146,2,15,92,5161,3室2厅1厨2卫,低楼层,17,109.75,暂无数据,暂无数据,塔楼,东北,1988,精装,钢混结构,集中供暖,两梯七户,70年,有,101101424881,已购公房,2017-04-02,普通住宅,满五年,非共有,930,84739,2017-08-26,,,,,,,,,,,,,,,,东城
和平里七区,2017.08.26 ,720万,105557,685,12,0,2,0,暂无数据,3室1厅1厨1卫,中楼层,5,68.21,平层,暂无数据,板楼,南 北,1990,其他,砖混结构,集中供暖,一梯三户,70年,无,101101949917,央产房,2017-08-15,普通住宅,暂无数据,共有,720,105557,2017-08-26,,,,,,,,,,,,,,,,东城
悠胜美苑,2017.08.25 ,880万,68885,1000,174,6,20,98,6479,3室2厅1厨2卫,中楼层,20,127.75,跃层,96.89,板塔结合,东南,2002,精装,钢混结构,自供暖,两梯十户,70年,有,101101281386,商品房,2017-03-05,普通住宅,满五年,共有,880,68885,2017-08-25,,,,,,,,,,,,,,,,东城
安德路55号院,2017.08.25 ,512万,88475,540,30,0,18,78,2520,2室1厅1厨1卫,低楼层,6,57.87,平层,48,板楼,东南 西,1986,其他,混合结构,暂无数据,一梯三户,未知,暂无数据,101101864004,已购公房,2017-07-26,普通住宅,暂无数据,非共有,512,88475,2017-08-25,,,,,,,,,,,,,,,,东城
安贞苑50号院,2017.08.25 ,620万,94197,645,90,4,132,138,9879,2室1厅1厨1卫,中楼层,6,65.82,暂无数据,50,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101629034,私产,2017-05-27,普通住宅,满五年,非共有,620,94197,2017-08-25,,,,,,,,,,,,,,,,东城
胡家园小区,2017.08.24 ,339万,88167,358,85,1,12,56,4892,1室1厅1厨1卫,中楼层,20,38.45,平层,暂无数据,塔楼,东南,1992,精装,钢混结构,集中供暖,两梯七户,70年,有,101101644921,私产,2017-06-01,普通住宅,满五年,非共有,339,88167,2017-08-24,,,,,,,,,,,,,,,,东城
安化北里,2017.08.23 ,475万,83101,570,139,3,74,142,12293,3室1厅1厨1卫,高楼层,6,57.16,暂无数据,暂无数据,板楼,南 北,1980,简装,混合结构,集中供暖,一梯三户,70年,无,101101443114,已购公房,2017-04-07,普通住宅,满五年,非共有,475,83101,2017-08-23,,,,,,,,,,,,,,,,东城
海运仓小区,2017.08.23 ,965万,116336,986,115,6,42,160,7766,3室1厅1厨1卫,底层,6,82.95,暂无数据,73,板楼,南 北,2002,简装,钢混结构,集中供暖,一梯三户,70年,无,101101531179,商品房,2017-04-30,普通住宅,满两年,非共有,965,116336,2017-08-23,,,,,,,,,,,,,,,,东城
民旺园,2017.08.23 ,606万,100916,640,17,0,5,0,暂无数据,2室1厅1厨1卫,低楼层,6,60.05,暂无数据,暂无数据,板楼,南 北,1986,其他,混合结构,集中供暖,一梯三户,70年,无,101101917753,已购公房,2017-08-07,普通住宅,暂无数据,暂无数据,606,100916,2017-08-23,,,,,,,,,,,,,,,,东城
华冠丽景,2017.08.23 ,1250万,105415,1300,66,1,17,0,1,2室2厅1厨2卫,中楼层,7,118.58,暂无数据,106.86,板楼,南 北,2003,其他,钢混结构,自供暖,一梯两户,70年,有,101101714966,商品房,2017-06-18,普通住宅,满五年,共有,1250,105415,2017-08-23,,,,,,,,,,,,,,,,东城
和平里一区,2017.08.22 ,520万,98785,519,4,0,9,0,暂无数据,2室1厅1厨1卫,中楼层,11,52.64,暂无数据,52,板塔结合,南,1990,其他,混合结构,集中供暖,一梯四户,70年,有,101101966093,已购公房,2017-08-18,普通住宅,满五年,非共有,520,98785,2017-08-22,,,,,,,,,,,,,,,,东城
革新里小区,2017.08.21 ,288万,70641,310,13,0,17,90,2479,1室1厅1厨1卫,底层,6,40.77,暂无数据,暂无数据,板楼,南,1993,简装,砖混结构,集中供暖,一梯三户,70年,无,101101925476,已购公房,2017-08-09,普通住宅,满五年,非共有,288,70641,2017-08-21,,,,,,,,,,,,,,,,东城
和平新城一期,2017.08.21 ,950万,86854,980,72,2,82,131,9520,2室1厅1厨2卫,中楼层,19,109.38,暂无数据,87.76,板塔结合,东南,2003,精装,钢混结构,自供暖,三梯八户,70年,有,101101685868,商品房,2017-06-10,普通住宅,暂无数据,非共有,950,86854,2017-08-21,暂无价格,其他公司成交,2015-06,,,,,,,,,,,,,东城
中景濠庭,2017.08.20 ,1375万,85103,1580,136,0,94,134,14883,3室1厅1厨2卫,中楼层,22,161.57,平层,96.3,塔楼,南 北,2002,精装,钢混结构,集中供暖,两梯五户,70年,有,101101442256,已购公房,2017-04-07,普通住宅,满两年,非共有,1375,85103,2017-08-20,,,,,,,,,,,,,,,,东城
天天家园,2017.08.20 ,718万,70351,730,26,0,28,154,6088,2室1厅1厨1卫,中楼层,11,102.06,暂无数据,79.13,板塔结合,东南,2002,精装,钢混结构,自供暖,两梯十六户,70年,有,101101862414,私产,2017-07-26,普通住宅,满五年,非共有,718,70351,2017-08-20,,,,,,,,,,,,,,,,东城
白桥大街,2017.08.20 ,455万,82818,490,29,0,21,38,3056,2室1厅1厨1卫,中楼层,6,54.94,暂无数据,40,板楼,东 北,1980,其他,混合结构,集中供暖,一梯五户,70年,无,101101852127,已购公房,2017-07-23,普通住宅,暂无数据,非共有,455,82818,2017-08-20,,,,,,,,,,,,,,,,东城
东环居苑,2017.08.20 ,510万,78366,580,34,2,34,31,2543,1室1厅1厨1卫,低楼层,22,65.08,暂无数据,52.2,塔楼,西南,2004,精装,钢混结构,集中供暖,三梯十一户,70年,有,101101828134,商品房,2017-07-17,普通住宅,满五年,非共有,510,78366,2017-08-20,,,,,,,,,,,,,,,,东城
景泰东里,2017.08.20 ,478万,70721,500,24,1,35,93,4182,2室1厅1厨1卫,中楼层,6,67.59,暂无数据,暂无数据,板楼,南,1994,简装,混合结构,集中供暖,一梯三户,70年,无,101101867176,私产,2017-07-27,普通住宅,满五年,非共有,478,70721,2017-08-20,,,,,,,,,,,,,,,,东城
安德路47号院,2017.08.20 ,337万,91826,370,33,0,56,184,7260,1室1厅1厨1卫,中楼层,6,36.7,暂无数据,36.7,板楼,东 西,1990,简装,混合结构,集中供暖,一梯四户,70年,无,101101830767,已购公房,2017-07-18,普通住宅,满五年,非共有,337,91826,2017-08-20,,,,,,,,,,,,,,,,东城
东直门内大街,2017.08.19 ,680万,105150,710,39,1,11,90,2756,2室1厅1厨1卫,中楼层,12,64.67,暂无数据,55.73,板楼,南 北,2002,其他,钢混结构,集中供暖,两梯两户,70年,有,101101803898,商品房,2017-07-11,普通住宅,满两年,共有,680,105150,2017-08-19,257,39741,2012-06-23,,,,,,,,,,,,,东城
炮局头条,2017.08.19 ,645万,110389,654,12,1,2,30,765,2室1厅1厨1卫,中楼层,6,58.43,暂无数据,53.91,板楼,南 北,1991,精装,混合结构,集中供暖,一梯两户,70年,无,101101917782,已购公房,2017-08-07,普通住宅,满五年,非共有,645,110389,2017-08-19,,,,,,,,,,,,,,,,东城
青年湖北街,2017.08.18 ,815万,111278,850,105,1,48,31,3885,2室2厅1厨1卫,中楼层,18,73.24,暂无数据,62.5,塔楼,东南,1997,简装,钢混结构,集中供暖,两梯八户,70年,有,101101554113,商品房,2017-05-06,普通住宅,满两年,非共有,815,111278,2017-08-18,,,,,,,,,,,,,,,,东城
龙潭北里二条,2017.08.18 ,460万,77887,510,24,3,1,38,2589,3室1厅1厨1卫,中楼层,5,59.06,暂无数据,42.1,板楼,南 北,1960,简装,混合结构,集中供暖,一梯三户,70年,无,101101859376,私产,2017-07-25,普通住宅,满五年,非共有,460,77887,2017-08-18,,,,,,,,,,,,,,,,东城
竹杆胡同,2017.08.17 ,760万,105968,770,167,7,29,43,2150,2室1厅1厨1卫,中楼层,9,71.72,暂无数据,暂无数据,板楼,东 西,2003,简装,钢混结构,集中供暖,一梯四户,70年,有,101101275069,二类经济适用房,2017-03-04,普通住宅,满五年,非共有,760,105968,2017-08-17,,,,,,,,,,,,,,,,东城
兴隆都市馨园,2017.08.17 ,790万,100804,815,25,0,12,74,4806,2室1厅1厨1卫,中楼层,6,78.37,暂无数据,70.35,板塔结合,东南,2003,精装,钢混结构,自供暖,一梯四户,70年,无,101101855388,一类经济适用房,2017-07-24,普通住宅,满五年,非共有,790,100804,2017-08-17,,,,,,,,,,,,,,,,东城
和平里五区,2017.08.17 ,308万,82134,350,49,0,27,74,9231,1室1厅1厨1卫,地下室,6,37.5,暂无数据,30,板楼,东南,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101755817,央产房,2017-06-30,普通住宅,暂无数据,非共有,308,82134,2017-08-17,,,,,,,,,,,,,,,,东城
新中西街,2017.08.16 ,310万,76809,330,11,0,4,78,1342,1室1厅1厨1卫,底层,7,40.36,暂无数据,40,板楼,南,1990,毛坯,混合结构,集中供暖,一梯三户,70年,无,101101914787,已购公房,2017-08-06,普通住宅,满两年,非共有,310,76809,2017-08-16,,,,,,,,,,,,,,,,东城
富贵园二区,2017.08.16 ,675万,87811,720,118,2,11,37,5810,2室1厅1厨1卫,高楼层,18,76.87,暂无数据,61.07,板塔结合,西,2003,精装,钢混结构,集中供暖,三梯十七户,70年,有,101101495369,一类经济适用房,2017-04-20,普通住宅,满五年,非共有,675,87811,2017-08-16,,,,,,,,,,,,,,,,东城
朝阳门南小街,2017.08.16 ,795万,112020,820,2,0,0,0,暂无数据,2室2厅1厨1卫,中楼层,8,70.97,暂无数据,暂无数据,板塔结合,南 北,2004,其他,钢混结构,集中供暖,一梯四户,70年,有,101101950865,二类经济适用房,2017-08-15,普通住宅,暂无数据,暂无数据,795,112020,2017-08-16,,,,,,,,,,,,,,,,东城
龙潭北里二条,2017.08.16 ,502万,81165,516,27,2,17,80,5973,3室1厅1厨1卫,中楼层,5,61.85,暂无数据,46.4,板楼,南,1960,简装,混合结构,集中供暖,一梯三户,70年,无,101101838409,已购公房,2017-07-20,普通住宅,满五年,非共有,502,81165,2017-08-16,,,,,,,,,,,,,,,,东城
