小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
裕中西里,2017.08.25 ,715万,117214,760,44,3,107,242,16966,2室1厅1厨1卫,低楼层,6,61,平层,暂无数据,板楼,南 北,1982,精装,混合结构,集中供暖,一梯三户,70年,无,101101811393,已购公房,2017-07-13,普通住宅,满五年,非共有,715,117214,2017-08-25
考拉社区,2017.08.25 ,450万,76897,490,19,0,7,0,22,1室1厅1厨1卫,低楼层,21,58.52,暂无数据,46.37,塔楼,东,2006,其他,钢混结构,集中供暖,四梯十七户,70年,有,101101916940,商品房,2017-08-06,普通住宅,满两年,非共有,450,76897,2017-08-25,205,35031,2015-02-04
凯迪尚府,2017.08.25 ,1725万,115231,1860,24,1,12,73,3407,3室1厅1厨2卫,中楼层,14,149.7,暂无数据,124.86,板塔结合,南 北,2012,精装,钢混结构,自供暖,一梯三户,70年,有,101101893496,商品房,2017-08-01,普通住宅,暂无数据,非共有,1725,115231,2017-08-25
爱民里小区,2017.08.25 ,645万,134096,710,29,0,12,0,暂无数据,1室1厅1厨1卫,低楼层,7,48.1,暂无数据,33.09,板楼,东 西,1988,简装,混合结构,集中供暖,一梯六户,70年,无,101101872449,已购公房,2017-07-28,普通住宅,暂无数据,非共有,645,134096,2017-08-25
德外大街乙12号院,2017.08.25 ,670万,125469,710,75,1,5,13,263,2室1厅1厨1卫,顶层,5,53.4,暂无数据,暂无数据,板楼,南 北,1979,其他,混合结构,集中供暖,一梯三户,70年,无,101101691803,已购公房,2017-06-12,普通住宅,满五年,非共有,670,125469,2017-08-25
朗琴园,2017.08.25 ,950万,97767,1078,244,5,223,194,20270,2室1厅1厨1卫,高楼层,29,97.17,平层,80.35,塔楼,西,2002,精装,钢混结构,自供暖,两梯八户,70年,有,101101000518,商品房,2016-12-25,普通住宅,满五年,非共有,950,97767,2017-08-25
新风街,2017.08.24 ,999万,127424,1110,112,1,22,22,2113,3室1厅1厨1卫,中楼层,16,78.4,暂无数据,63,塔楼,西南,1990,毛坯,混合结构,集中供暖,两梯八户,70年,有,101101546876,已购公房,2017-05-04,普通住宅,暂无数据,非共有,999,127424,2017-08-24
槐柏树街南里,2017.08.24 ,508万,88425,518,5,0,19,0,暂无数据,2室1厅1厨1卫,底层,6,57.45,暂无数据,暂无数据,板楼,南 北,1991,简装,混合结构,集中供暖,一梯两户,70年,无,101101974437,已购公房,2017-08-20,普通住宅,满五年,非共有,508,88425,2017-08-24
五路通北街3号院,2017.08.24 ,673万,124400,698,79,2,66,0,29,2室1厅1厨1卫,中楼层,5,54.1,暂无数据,51,板楼,南,1978,毛坯,混合结构,集中供暖,一梯三户,70年,暂无数据,101101671657,已购公房,2017-06-07,普通住宅,暂无数据,共有,673,124400,2017-08-24
新德街20号,2017.08.24 ,1020万,128788,1100,49,1,22,9,599,3室1厅1厨1卫,低楼层,19,79.2,暂无数据,61.31,塔楼,东南,1985,简装,混合结构,集中供暖,一梯六户,70年,暂无数据,101101783709,已购公房,2017-07-06,普通住宅,暂无数据,非共有,1020,128788,2017-08-24
