城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,东四,56,53,800,127551元/平米,什锦花园胡同21号院,3室1厅1厨1卫,中楼层 (共5层),62.72㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-14,已购公房,2001-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离5号线张自忠路站346米
东城,东四,58,26,850,102434元/平米,美术馆后街,3室1厅1厨1卫,高楼层 (共10层),82.98㎡,暂无数据,78㎡,板塔结合,东 西,混合结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-07-18,商品房,2011-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,东四,11,7,650,129302元/平米,美术馆后街,1室1厅1厨1卫,顶层 (共13层),50.27㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-07,商品房,2012-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,东四,15,3,696,119015元/平米,东板桥东巷,2室1厅1厨1卫,中楼层 (共5层),58.48㎡,暂无数据,暂无数据,板楼,东 西,砖混结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-21,已购公房,2000-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,东四,260,14,750,130639元/平米,美术馆东街,2室1厅1厨1卫,顶层 (共6层),57.41㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-06,私产,2006-06-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东四,14,0,900,107296元/平米,美术馆后街,2室1厅1厨1卫,高楼层 (共13层),83.88㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2009-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东四,72,8,475,112320元/平米,东四北大街,1室1厅1厨1卫,高楼层 (共12层),42.29㎡,暂无数据,暂无数据,板塔结合,东,混合结构,简装,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-08-03,已购公房,2002-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,东四,11,19,707,144996元/平米,什锦花园胡同21号院,2室1厅1厨1卫,中楼层 (共5层),48.76㎡,暂无数据,48.76㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-19,私产,2003-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,东四,41,7,910,128822元/平米,朝内大街201号院,2室1厅1厨1卫,低楼层 (共3层),70.64㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,简装,一梯六户,集中供暖,无,70年,null,null,null,2017-07-27,央产房,2003-11-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东四,27,3,638,104934元/平米,东四四条,2室1厅1厨1卫,中楼层 (共5层),60.8㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-03,已购公房,2001-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东四,14,2,770,118974元/平米,美术馆后街,3室1厅1厨1卫,底层 (共10层),64.72㎡,暂无数据,暂无数据,板塔结合,东 西,混合结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-06-23,商品房,2009-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东四,13,6,400,113154元/平米,金隆基大厦,1室1厅1厨1卫,高楼层 (共12层),35.35㎡,平层,23.54㎡,塔楼,东,钢结构,精装,一梯七户,集中供暖,暂无数据,70年,null,null,null,2017-08-25,商品房,2017-01-18,公寓,暂无数据,非共有,无抵押,已上传房本照片,3,null
东城,东四,3,0,710,115073元/平米,东四北大街,2室1厅1厨1卫,低楼层 (共12层),61.7㎡,暂无数据,暂无数据,板塔结合,东,混合结构,精装,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-08-27,商品房,2016-09-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
东城,东四,177,7,108,53254元/平米,华人一品阁,1房间1卫,低楼层 (共3层),20.28㎡,平层,12.32㎡,板塔结合,北,钢混结构,精装,四梯一百五十二户,集中供暖,有,50年,商水,商电,0元/m3,2017-07-28,商品房,2013-10-25,商业办公类,满两年,非共有,无抵押,已上传房本照片,0,null
东城,东四,14,1,715,109244元/平米,东四北大街,2室1厅1厨1卫,高楼层 (共12层),65.45㎡,暂无数据,暂无数据,板塔结合,东 西,混合结构,简装,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-07-26,商品房,2016-03-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
东城,东四,4,2,442,105038元/平米,金隆基大厦,1室0厅1厨1卫,顶层 (共12层),42.08㎡,暂无数据,1㎡,塔楼,东,钢结构,精装,一梯五户,集中供暖,暂无数据,70年,null,null,null,2017-08-17,商品房,2017-08-10,公寓（住宅）,暂无数据,非共有,无抵押,已上传房本照片,1,null
东城,东四,5,1,720,116467元/平米,东四北大街,2室1厅1厨1卫,低楼层 (共12层),61.82㎡,暂无数据,60㎡,板塔结合,东,混合结构,简装,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-06-10,已购公房,2017-07-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
东城,东四,4,0,905,131963元/平米,美术馆后街,2室1厅1厨1卫,中楼层 (共10层),68.58㎡,平层,暂无数据,板塔结合,东 西,混合结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2010-11-09,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
东城,东四,79,2,477,144985元/平米,大菊胡同,1室0厅0厨0卫,底层 (共1层),32.9㎡,暂无数据,暂无数据,暂无数据,北,砖木结构,其他,一梯五户,暂无数据,暂无数据,40年,null,null,null,2017-05-26,私产,2013-02-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,东四,2,0,720,103642元/平米,金隆基大厦,1室0厅1厨1卫,中楼层 (共12层),69.47㎡,暂无数据,暂无数据,塔楼,北,钢结构,简装,一梯二十三户,集中供暖,暂无数据,70年,null,null,null,2017-08-09,商品房,2016-10-14,公寓,暂无数据,非共有,无抵押,已上传房本照片,0,null
