城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,东直门,63,35,495,86448元/平米,胡家园小区,2室1厅1厨1卫,低楼层 (共17层),57.26㎡,平层,1㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-21,已购公房,1998-12-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离2号线雍和宫站992米
东城,东直门,200,40,610,82892元/平米,胡家园小区,3室1厅1厨1卫,高楼层 (共17层),73.59㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-30,已购公房,2000-06-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,东直门,159,76,810,115764元/平米,民安小区民安街,2室1厅1厨1卫,高楼层 (共6层),69.97㎡,暂无数据,61.1㎡,板楼,南 北,钢混结构,毛坯,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-03-26,私产,2004-06-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东直门,75,74,815,114515元/平米,民安小区东直门北中街,2室1厅1厨1卫,中楼层 (共11层),71.17㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,精装,四梯三户,集中供暖,有,70年,null,null,null,2017-07-07,二类经济适用房,2014-08-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,9,null
东城,东直门,56,18,640,105715元/平米,海运仓小区,1室1厅1厨1卫,中楼层 (共8层),60.54㎡,暂无数据,暂无数据,板楼,西,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-17,二类经济适用房,2002-10-24,普通住宅,满五年,非共有,有抵押 100万元 工商银行 业主自还,已上传房本照片,6,null
东城,东直门,28,5,920,104939元/平米,东直门南大街,3室1厅1厨1卫,高楼层 (共18层),87.67㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-31,已购公房,2000-10-26,普通住宅,满五年,非共有,有抵押 300万元 客户偿还,已上传房本照片,4,null
东城,东直门,25,14,1050,108393元/平米,万国城MOMA,2室1厅1厨1卫,低楼层 (共27层),96.87㎡,暂无数据,73.89㎡,塔楼,西北,钢混结构,精装,四梯十二户,集中供暖,有,70年,null,null,null,2017-08-20,私产,2005-04-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,东直门,84,12,780,108908元/平米,东直门内大街,3室1厅1厨1卫,低楼层 (共16层),71.62㎡,暂无数据,60.51㎡,塔楼,南 西,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-20,二类经济适用房,2003-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,东直门,10,1,1950,106967元/平米,当代MOMA,3室1厅1厨2卫,低楼层 (共21层),182.3㎡,暂无数据,146.5㎡,塔楼,西北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2011-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,东直门,177,37,580,121161元/平米,海运仓小区,1室1厅1厨1卫,中楼层 (共7层),47.87㎡,平层,48㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-18,二类经济适用房,2004-03-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,东直门,37,25,1400,109968元/平米,万国城MOMA,2室2厅1厨2卫,高楼层 (共25层),127.31㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,四梯六户,集中供暖,有,70年,null,null,null,2017-08-09,私产,2003-12-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
东城,东直门,41,11,570,91113元/平米,东中街,2室1厅1厨1卫,中楼层 (共14层),62.56㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯七户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2004-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
东城,东直门,206,62,1350,94950元/平米,民安小区东直门内北小街,4室2厅1厨2卫,高楼层 (共16层),142.18㎡,跃层,120.4㎡,板楼,东,钢混结构,简装,四梯三户,集中供暖,有,70年,null,null,null,2017-03-11,二类经济适用房,2004-05-18,普通住宅,满五年,非共有,有抵押 15万元 中国建设银行 业主自还,已上传房本照片,1,null
东城,东直门,119,42,810,108769元/平米,民安小区东直门内北小街,2室1厅1厨1卫,高楼层 (共16层),74.47㎡,平层,63.06㎡,板楼,南 北,钢混结构,简装,四梯三户,集中供暖,有,70年,null,null,null,2017-03-23,二类经济适用房,2004-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,东直门,20,19,1600,114237元/平米,万国城MOMA,3室1厅1厨2卫,中楼层 (共26层),140.06㎡,平层,113.36㎡,塔楼,西北,钢混结构,精装,四梯八户,集中供暖,有,70年,null,null,null,2017-08-18,私产,2005-12-24,普通住宅,满五年,非共有,有抵押 127.08万元 中国银行 业主自还,已上传房本照片,5,null
东城,东直门,39,7,730,113266元/平米,海运仓小区,2室1厅1厨1卫,中楼层 (共8层),64.45㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-09-08,商品房,2015-01-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
东城,东直门,174,2,650,83677元/平米,东直门北大街,3室1厅1厨1卫,中楼层 (共12层),77.68㎡,暂无数据,77㎡,板塔结合,东 西,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2015-02-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,东直门,11,1,460,80490元/平米,新源西里中街,3室1厅1厨1卫,中楼层 (共5层),57.15㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-29,商品房,2010-12-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东直门,251,123,1160,97923元/平米,民安小区东直门内北小街,4室1厅1厨1卫,底层 (共16层),118.46㎡,暂无数据,100.31㎡,板楼,东 西 北,钢混结构,毛坯,四梯三户,集中供暖,有,70年,null,null,null,2017-03-12,商品房,2010-03-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东直门,88,59,725,107935元/平米,民安小区东直门北中街,3室1厅1厨1卫,顶层 (共6层),67.17㎡,暂无数据,暂无数据,板楼,东 南 西,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-20,私产,2000-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,东直门,96,25,426,74934元/平米,新源西里中街,3室1厅1厨1卫,高楼层 (共6层),56.85㎡,暂无数据,50㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,2000-12-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东直门,37,23,640,84982元/平米,胡家园小区,3室1厅1厨1卫,中楼层 (共17层),75.31㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-02,已购公房,1999-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,东直门,81,42,948,105639元/平米,东直门内北小街16号,2室2厅1厨1卫,高楼层 (共10层),89.74㎡,平层,89.74㎡,板塔结合,东 西,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-05,二类经济适用房,2004-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
