城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,东花市,91,28,1980,85430元/平米,东花市北里西区,4室2厅1厨3卫,中楼层 (共9层),231.77㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-13,央产房,2000-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离7号线广渠门内站530米
东城,东花市,113,177,1030,99604元/平米,东花市北里中区,2室2厅1厨1卫,中楼层 (共5层),103.41㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-12-12,商品房,2010-02-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东花市,13,66,1380,99697元/平米,花市枣苑一期,3室2厅1厨2卫,低楼层 (共18层),138.42㎡,暂无数据,114.9㎡,塔楼,东北,钢混结构,简装,两梯九户,自供暖,有,70年,null,null,null,2017-06-25,私产,2002-06-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,东花市,36,15,1730,122843元/平米,本家润园一期,3室1厅1厨2卫,低楼层 (共12层),140.83㎡,暂无数据,114.61㎡,板楼,南 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-08-22,私产,2006-04-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,东花市,80,24,1410,76506元/平米,东花市北里中区,4室3厅1厨2卫,顶层 (共5层),184.3㎡,暂无数据,122.4㎡,板楼,东 南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-10,央产房,2005-06-14,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
东城,东花市,163,114,620,89855元/平米,东花市北里中区,2室1厅1厨1卫,中楼层 (共6层),69㎡,暂无数据,暂无数据,塔楼,东,混合结构,简装,一梯三十户,集中供暖,无,70年,null,null,null,2016-12-05,商品房,2010-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,东花市,87,30,930,96925元/平米,富贵园三区,3室1厅1厨1卫,中楼层 (共18层),95.95㎡,暂无数据,80㎡,塔楼,西南,钢混结构,精装,四梯十六户,集中供暖,有,70年,null,null,null,2017-07-18,私产,2007-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,东花市,113,20,1750,65560元/平米,宝润苑,4室2厅1厨3卫,低楼层 (共14层),266.93㎡,暂无数据,212.76㎡,板塔结合,东 西,钢混结构,简装,两梯十一户,集中供暖,有,70年,null,null,null,2017-06-03,商品房,2011-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东花市,122,69,650,93593元/平米,富贵园二区,2室1厅1厨1卫,顶层 (共18层),69.45㎡,平层,55.13㎡,塔楼,东 南,钢混结构,精装,三梯十七户,集中供暖,有,70年,null,null,null,2017-04-05,私产,2005-12-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,东花市,207,83,2000,124100元/平米,富贵园一区,3室2厅1厨1卫,中楼层 (共9层),161.16㎡,平层,141.8㎡,板楼,东南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2016-11-20,二类经济适用房,2004-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
