城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,交道口,188,156,1180,126569元/平米,交道口东大街,3室1厅1厨1卫,底层 (共12层),93.23㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-03-17,二类经济适用房,2003-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,距离5号线北新桥站541米
东城,交道口,112,75,990,127249元/平米,交道口东大街,2室1厅1厨1卫,中楼层 (共12层),77.8㎡,暂无数据,暂无数据,板塔结合,东南,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-18,商品房,2004-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,交道口,73,20,830,125834元/平米,交道口北二条35号院,3室1厅1厨1卫,底层 (共6层),65.96㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,2001-01-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,17,21,1030,148973元/平米,香饵胡同,2室1厅1厨1卫,中楼层 (共6层),69.14㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-26,二类经济适用房,2005-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,交道口,27,2,1043,149663元/平米,土儿胡同,2室1厅1厨1卫,底层 (共6层),69.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,二类经济适用房,2004-02-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,85,40,925,139286元/平米,交道口东大街,1室1厅1厨1卫,高楼层 (共10层),66.41㎡,暂无数据,1㎡,板塔结合,南,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-05-07,二类经济适用房,2010-09-10,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
东城,交道口,52,23,1145,137159元/平米,土儿胡同,3室1厅1厨1卫,顶层 (共6层),83.48㎡,暂无数据,72.55㎡,板楼,东 西,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-18,二类经济适用房,2004-01-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,29,0,1330,109908元/平米,土儿胡同,3室2厅1厨2卫,顶层 (共6层),121.01㎡,暂无数据,90.78㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,商品房,2015-01-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,94,19,650,118397元/平米,交道口北三条,2室1厅1厨1卫,顶层 (共6层),54.9㎡,暂无数据,暂无数据,板楼,东 南,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-18,私产,2001-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,交道口,27,0,1406,148078元/平米,土儿胡同,3室1厅1厨1卫,高楼层 (共6层),94.95㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,商品房,2009-12-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
东城,交道口,60,11,1030,134588元/平米,交道口东大街,2室1厅1厨1卫,中楼层 (共11层),76.53㎡,暂无数据,76.53㎡,板塔结合,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-24,商品房,2013-01-10,普通住宅,满两年,非共有,有抵押 80万元 中国建设银行 业主自还,已上传房本照片,2,null
东城,交道口,205,18,1765,109989元/平米,文津世家,3室2厅1厨2卫,高楼层 (共7层),160.47㎡,平层,134㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-04,私产,2007-02-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,22,7,970,138177元/平米,交道口东大街,2室1厅1厨1卫,高楼层 (共11层),70.2㎡,暂无数据,暂无数据,板塔结合,西 北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-08-11,私产,2005-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,交道口,61,14,588,139800元/平米,交道口北二条35号院,1室1厅1厨1卫,高楼层 (共6层),42.06㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯四户,集中供暖,无,70年,null,null,null,2017-05-11,商品房,2013-03-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,89,13,820,149690元/平米,交道口东大街,1室1厅1厨1卫,中楼层 (共10层),54.78㎡,平层,1㎡,板塔结合,北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2012-09-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,12,2,1430,149864元/平米,交道口东大街,2室1厅1厨1卫,低楼层 (共10层),95.42㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-03,二类经济适用房,2004-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,交道口,17,1,700,124666元/平米,交道口北三条,2室1厅1厨1卫,顶层 (共6层),56.15㎡,暂无数据,1㎡,板楼,南 北,砖混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-07-11,已购公房,2004-06-18,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
东城,交道口,34,2,940,130683元/平米,交道口东大街,2室1厅1厨1卫,低楼层 (共11层),71.93㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-07-23,商品房,2013-09-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
东城,交道口,23,4,1100,143099元/平米,交道口东大街,2室1厅1厨1卫,高楼层 (共12层),76.87㎡,暂无数据,暂无数据,板塔结合,东 南,混合结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-12,商品房,2003-11-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,42,10,1300,117085元/平米,文津世家,2室2厅1厨2卫,顶层 (共7层),111.03㎡,暂无数据,93㎡,板楼,东 西,钢混结构,其他,一梯两户,自供暖,有,70年,null,null,null,2017-08-13,商品房,2008-11-14,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
东城,交道口,22,0,775,144806元/平米,交道口东大街,1室1厅1厨1卫,高楼层 (共10层),53.52㎡,平层,暂无数据,板塔结合,北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-31,二类经济适用房,2014-10-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,交道口,25,0,880,130062元/平米,土儿胡同,2室1厅1厨1卫,高楼层 (共6层),67.66㎡,平层,67.66㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,二类经济适用房,2003-11-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
