城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,和平里,68,35,368,75317元/平米,和平街十三区,2室1厅1厨1卫,低楼层 (共6层),48.86㎡,暂无数据,34.25㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,央产房,2008-06-26,普通住宅,满五年,共有,无抵押,已上传房本照片,25,距离2号线雍和宫站862米
东城,和平里,131,48,475,71193元/平米,和平街十五区1号院,2室1厅1厨1卫,高楼层 (共18层),66.72㎡,暂无数据,47㎡,板塔结合,东 西 北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2012-06-01,普通住宅,满五年,共有,无抵押,已上传房本照片,21,null
东城,和平里,38,22,760,82906元/平米,和平西苑,2室1厅1厨1卫,低楼层 (共22层),91.67㎡,暂无数据,78.05㎡,塔楼,东,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2011-01-28,普通住宅,满五年,共有,暂无数据,已上传房本照片,6,null
东城,和平里,179,94,426,71249元/平米,东土城路7号院,2室1厅1厨1卫,低楼层 (共16层),59.79㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,两梯十五户,集中供暖,有,70年,null,null,null,2017-04-25,私产,2007-12-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,和平里,356,106,625,97110元/平米,和平里一区,3室1厅1厨1卫,低楼层 (共11层),64.36㎡,平层,暂无数据,板塔结合,南 北,混合结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-05-08,已购公房,1994-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,和平里,134,6,423,89448元/平米,民旺园,2室1厅1厨1卫,底层 (共6层),47.29㎡,暂无数据,45㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,2000-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,和平里,46,39,445,106408元/平米,和平里七区,2室1厅1厨1卫,顶层 (共5层),41.82㎡,暂无数据,41.82㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,央产房,2017-08-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,39,null
东城,和平里,82,49,1100,107244元/平米,和平新城一期,2室1厅1厨1卫,低楼层 (共21层),102.57㎡,暂无数据,82.29㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-29,私产,2006-01-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,28,null
东城,和平里,102,25,365,116539元/平米,安外花园,1室1厅1厨1卫,中楼层 (共5层),31.32㎡,暂无数据,25㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,1995-08-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,12,null
东城,和平里,57,17,610,110668元/平米,和平里五区,2室1厅1厨1卫,低楼层 (共6层),55.12㎡,暂无数据,50㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,央产房,2000-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
