城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,天坛,252,80,654,89996元/平米,金鱼池中区,2室1厅1厨1卫,底层 (共6层),72.67㎡,暂无数据,64.72㎡,板塔结合,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-05-10,商品房,2010-03-18,普通住宅,满五年,非共有,有抵押,已上传房本照片,9,距离5号线天坛东门站833米
东城,天坛,52,10,640,82912元/平米,金鱼池中区,3室1厅1厨1卫,中楼层 (共6层),77.19㎡,暂无数据,59.3㎡,板楼,东 西,混合结构,毛坯,一梯三户,自供暖,无,70年,null,null,null,2017-09-02,已购公房,1999-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
东城,天坛,105,39,750,81735元/平米,天坛路,3室1厅1厨2卫,中楼层 (共5层),91.76㎡,暂无数据,78㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-07-26,已购公房,2000-06-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
东城,天坛,94,43,1000,69769元/平米,金鱼池西区,4室2厅1厨2卫,中楼层 (共6层),143.33㎡,暂无数据,128.67㎡,板塔结合,东北,钢混结构,毛坯,一梯三户,自供暖,无,70年,null,null,null,2017-03-29,商品房,2010-11-16,普通住宅,满五年,非共有,有抵押,已上传房本照片,1,null
东城,天坛,49,4,1000,74047元/平米,金鱼池西区,4室2厅1厨2卫,顶层 (共6层),135.05㎡,暂无数据,121.6㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-28,私产,2005-01-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,天坛,135,7,540,82355元/平米,永定门东街东里,3室1厅1厨1卫,中楼层 (共5层),65.57㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-28,私产,2010-02-05,普通住宅,满五年,非共有,有抵押,已上传房本照片,1,null
东城,天坛,282,30,510,84958元/平米,天坛西里东区,2室1厅1厨1卫,中楼层 (共4层),60.03㎡,平层,41.5㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-03-10,已购公房,2002-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,天坛,92,7,390,58761元/平米,金鱼池中区,2室1厅1厨1卫,地下室 (共7层),66.37㎡,暂无数据,59.14㎡,板塔结合,东 西,钢混结构,简装,一梯一户,自供暖,暂无数据,70年,null,null,null,2017-06-07,私产,2003-08-05,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,0,null
东城,天坛,560,49,587,84888元/平米,天坛东里南区,3室1厅1厨1卫,顶层 (共12层),69.15㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,一梯六户,集中供暖,有,70年,null,null,null,2017-01-05,商品房,2010-03-05,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
东城,天坛,437,18,410,61775元/平米,金鱼池中区,2室1厅1厨1卫,地下室 (共6层),66.37㎡,暂无数据,59.14㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2016-07-26,商品房,2013-01-29,普通住宅,满两年,非共有,有抵押,已上传房本照片,0,null
东城,天坛,81,7,548,84961元/平米,天坛东里南区,3室0厅1厨1卫,中楼层 (共11层),64.5㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-12,已购公房,2017-05-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
东城,天坛,5,1,425,83497元/平米,天坛东里南区,2室1厅1厨1卫,底层 (共11层),50.9㎡,暂无数据,35.6㎡,板塔结合,南,混合结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-09-08,已购公房,2005-12-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,天坛,8,0,432.7,85000元/平米,天坛东里南区,1室1厅1厨1卫,高楼层 (共12层),50.9㎡,暂无数据,35.6㎡,板塔结合,东,混合结构,其他,一梯三户,集中供暖,有,70年,null,null,null,2017-09-01,私产,2005-04-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
