城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,安定门,107,27,1850,80003元/平米,官书院,6室2厅2厨3卫,底层 (共6层),231.24㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,私产,2008-05-06,普通住宅,满五年,非共有,有抵押 30万元 广发 业主自还,已上传房本照片,19,距离2号线鼓楼大街站745米
东城,安定门,163,66,450,96504元/平米,上龙西里,2室1厅1厨1卫,中楼层 (共5层),46.63㎡,暂无数据,46.63㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,私产,1999-09-17,普通住宅,满五年,非共有,有抵押 165万元,已上传房本照片,27,null
东城,安定门,108,69,550,86342元/平米,安外西河沿,2室1厅1厨1卫,顶层 (共11层),63.7㎡,暂无数据,1㎡,板楼,东 西,钢混结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-07-14,已购公房,2002-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
东城,安定门,70,23,1110,107903元/平米,华府景园,2室2厅1厨1卫,中楼层 (共16层),102.87㎡,暂无数据,1㎡,塔楼,西,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-17,商品房,2010-12-20,普通住宅,满五年,非共有,有抵押 158万元 交通 业主自还,已上传房本照片,6,null
东城,安定门,63,18,535,123814元/平米,六铺炕,1室1厅1厨1卫,中楼层 (共16层),43.21㎡,暂无数据,43.21㎡,塔楼,西,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2011-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,安定门,37,13,726,119921元/平米,青年湖西里,2室1厅1厨1卫,中楼层 (共6层),60.54㎡,暂无数据,1㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-08-27,已购公房,2001-12-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
东城,安定门,83,38,1035,104853元/平米,青年湖北里,3室1厅1厨1卫,中楼层 (共10层),98.71㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2009-12-11,普通住宅,满五年,非共有,有抵押 920000万元 建设银行 业主自还,已上传房本照片,17,null
东城,安定门,67,15,460,87187元/平米,青年湖东里,1室1厅1厨1卫,中楼层 (共18层),52.76㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,两梯七户,集中供暖,有,70年,null,null,null,2017-08-31,已购公房,2014-01-08,普通住宅,满两年,非共有,暂无数据,已上传房本照片,13,null
东城,安定门,109,13,610,86882元/平米,安德路55号院,3室1厅1厨1卫,中楼层 (共6层),70.21㎡,平层,58㎡,板楼,东 西,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-18,已购公房,2005-09-16,普通住宅,满五年,共有,暂无数据,已上传房本照片,2,null
东城,安定门,38,6,1700,98039元/平米,华府景园,3室1厅1厨2卫,中楼层 (共16层),173.4㎡,暂无数据,暂无数据,塔楼,东 西南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-17,私产,2003-01-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,安定门,149,36,535,94590元/平米,青年湖南里,2室1厅1厨1卫,中楼层 (共12层),56.56㎡,暂无数据,56.56㎡,板塔结合,南,钢混结构,简装,一梯八户,暂无数据,暂无数据,40年,null,null,null,2017-07-10,已购公房,2004-08-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,安定门,16,7,800,93985元/平米,西营房,2室1厅1厨1卫,低楼层 (共19层),85.12㎡,暂无数据,暂无数据,塔楼,东,钢混结构,其他,三梯十二户,自供暖,有,70年,null,null,null,2017-09-06,二类经济适用房,2006-07-29,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
东城,安定门,263,96,520,93829元/平米,青年湖东里,2室1厅1厨1卫,底层 (共6层),55.42㎡,暂无数据,53㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-10,商品房,2004-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,安定门,158,70,665,94770元/平米,安德路47号院,3室1厅1厨1卫,底层 (共7层),70.17㎡,暂无数据,54㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-20,已购公房,2015-02-11,普通住宅,满两年,非共有,暂无数据,已上传房本照片,3,null
东城,安定门,247,58,540,92276元/平米,安德路47号院,2室1厅1厨1卫,低楼层 (共6层),58.52㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-29,已购公房,2010-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,安定门,60,21,680,98096元/平米,青年湖南街,2室1厅1厨1卫,顶层 (共10层),69.32㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-19,商品房,2011-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,安定门,39,2,710,93754元/平米,安外西河沿,3室1厅1厨1卫,顶层 (共6层),75.73㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯六户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2012-08-15,普通住宅,满五年,共有,有抵押 15万元 业主自还,已上传房本照片,1,null
东城,安定门,89,63,630,108099元/平米,六铺炕,2室1厅1厨1卫,底层 (共16层),58.28㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-04-02,商品房,2011-06-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,安定门,204,58,800,93985元/平米,西营房,2室1厅1厨1卫,中楼层 (共19层),85.12㎡,暂无数据,85.12㎡,塔楼,东,钢混结构,精装,三梯十二户,自供暖,有,70年,null,null,null,2017-05-04,商品房,2012-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,安定门,42,21,529,94888元/平米,西营房,1室1厅1厨1卫,中楼层 (共19层),55.75㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,三梯十三户,自供暖,有,70年,null,null,null,2017-07-05,商品房,2011-03-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,安定门,295,256,690,92979元/平米,中景濠庭,1室1厅1厨1卫,低楼层 (共22层),74.21㎡,平层,58.87㎡,板塔结合,北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2016-11-28,商品房,2009-05-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,安定门,175,56,896,99967元/平米,巷上嘉园,2室1厅1厨1卫,中楼层 (共12层),89.63㎡,暂无数据,暂无数据,板塔结合,东 北,钢混结构,精装,三梯十一户,集中供暖,有,70年,null,null,null,2017-04-14,私产,2007-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,安定门,17,16,970,128426元/平米,六铺炕,3室1厅1厨1卫,底层 (共5层),75.53㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-24,商品房,2012-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,安定门,7,1,620,102041元/平米,青年湖北里,1室1厅1厨1卫,底层 (共18层),60.76㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-09-06,已购公房,2006-01-16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
东城,安定门,68,61,848,116933元/平米,青年湖北街,2室1厅1厨1卫,中楼层 (共18层),72.52㎡,暂无数据,61㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-30,私产,2002-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,安定门,15,2,618,116538元/平米,朗家胡同24号院,2室1厅1厨1卫,低楼层 (共6层),53.03㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-24,已购公房,2010-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,安定门,79,135,625,119985元/平米,青年湖南街,1室1厅1厨1卫,低楼层 (共14层),52.09㎡,暂无数据,40㎡,板塔结合,南 北,钢混结构,简装,两梯十四户,集中供暖,有,70年,null,null,null,2017-05-19,已购公房,2015-04-02,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,安定门,12,5,650,129122元/平米,六铺炕,2室1厅1厨1卫,低楼层 (共6层),50.34㎡,暂无数据,47.31㎡,板楼,东,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,私产,2002-03-26,普通住宅,满五年,共有,无抵押,已上传房本照片,5,null
