城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,安贞,18,4,900,91361元/平米,小黄庄一区,3室1厅1厨1卫,低楼层 (共21层),98.51㎡,暂无数据,74.1㎡,板塔结合,东 西,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2010-11-24,普通住宅,满五年,共有,有抵押 60万元 中国银行 客户偿还,已上传房本照片,4,距离8号线安华桥站154米
东城,安贞,118,27,490,84878元/平米,安贞西里,2室1厅1厨1卫,高楼层 (共6层),57.73㎡,暂无数据,40.71㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-27,私产,2004-09-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,安贞,7,7,918,89613元/平米,大龙公寓,2室1厅1厨1卫,中楼层 (共21层),102.44㎡,暂无数据,1㎡,塔楼,东北,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2007-11-24,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
东城,安贞,152,38,580,76376元/平米,安贞里,3室1厅1厨1卫,中楼层 (共17层),75.94㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-07,商品房,2009-08-27,普通住宅,满五年,非共有,有抵押 70万元 交通银行 业主自还,已上传房本照片,2,null
东城,安贞,14,5,550,83790元/平米,安贞西里,2室1厅1厨1卫,中楼层 (共24层),65.64㎡,暂无数据,暂无数据,塔楼,南 西,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-09-09,私产,2005-11-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,安贞,55,15,520,84940元/平米,安贞西里,2室1厅1厨1卫,中楼层 (共6层),61.22㎡,暂无数据,1㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,1996-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,安贞,42,11,449,82826元/平米,安贞里,2室1厅1厨1卫,中楼层 (共6层),54.21㎡,暂无数据,暂无数据,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2001-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,安贞,104,32,600,80343元/平米,安贞里,2室2厅1厨1卫,低楼层 (共7层),74.68㎡,暂无数据,1㎡,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-10,一类经济适用房,2001-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,安贞,159,67,435,80258元/平米,安华里一区,2室1厅1厨1卫,中楼层 (共6层),54.2㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-02,已购公房,2001-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,安贞,281,98,630,82117元/平米,安贞西里,3室1厅1厨1卫,顶层 (共16层),76.72㎡,暂无数据,55.23㎡,板塔结合,南 北,钢混结构,简装,一梯七户,集中供暖,有,70年,null,null,null,2017-05-06,已购公房,2015-07-16,普通住宅,满两年,共有,无抵押,已上传房本照片,12,null
