城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,崇文门,73,44,910,98293元/平米,新景家园东区,3室1厅1厨1卫,高楼层 (共17层),92.58㎡,平层,74.07㎡,板楼,东 西,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-05-08,二类经济适用房,2013-07-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,13,距离5号线崇文门站821米
东城,崇文门,91,47,950,107078元/平米,新景家园西区,3室1厅1厨1卫,中楼层 (共6层),88.72㎡,暂无数据,76.7㎡,板塔结合,南,钢混结构,精装,一梯三户,自供暖,无,70年,null,null,null,2017-03-25,二类经济适用房,2005-03-20,普通住宅,满五年,非共有,有抵押 100万元 银行 业主自还,已上传房本照片,4,null
东城,崇文门,206,74,750,90296元/平米,国瑞城中区,2室1厅1厨1卫,中楼层 (共16层),83.06㎡,平层,65.93㎡,板塔结合,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-02-25,商品房,2011-01-06,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
东城,崇文门,98,40,395,84312元/平米,营房西街,1室1厅1厨1卫,底层 (共6层),46.85㎡,平层,暂无数据,板楼,西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2000-09-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
东城,崇文门,69,38,860,106925元/平米,新景家园东区,2室1厅1厨1卫,中楼层 (共17层),80.43㎡,平层,65.88㎡,板楼,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-07-22,私产,2009-06-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
东城,崇文门,224,61,768,102006元/平米,新景家园西区,2室1厅1厨1卫,中楼层 (共16层),75.29㎡,暂无数据,61.37㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-07-20,商品房,2011-11-09,普通住宅,满五年,非共有,有抵押 90万元 业主自还,已上传房本照片,4,null
东城,崇文门,24,5,727,105961元/平米,兴隆都市馨园,2室1厅1厨1卫,中楼层 (共6层),68.61㎡,暂无数据,62.56㎡,板塔结合,南 北,钢混结构,精装,一梯四户,自供暖,无,70年,null,null,null,2017-07-14,一类经济适用房,2004-03-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,崇文门,69,72,850,104371元/平米,新景家园东区,2室1厅1厨1卫,底层 (共18层),81.44㎡,平层,65.92㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-26,私产,2008-05-13,普通住宅,满五年,非共有,有抵押 500万元 客户偿还,已上传房本照片,2,null
东城,崇文门,119,33,750,91855元/平米,法华南里,2室2厅1厨1卫,中楼层 (共6层),81.65㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-24,私产,2008-10-20,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
东城,崇文门,62,42,620,101907元/平米,国瑞城东区,1室1厅1厨1卫,中楼层 (共16层),60.84㎡,暂无数据,48.49㎡,板塔结合,南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-12,私产,2007-06-04,普通住宅,满五年,非共有,有抵押 12万元 中国农业银行北京崇文门支行 业主自还,已上传房本照片,4,null
东城,崇文门,16,3,900,110892元/平米,新景家园东区,1室1厅1厨1卫,低楼层 (共15层),81.16㎡,暂无数据,60.3㎡,板塔结合,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-10,商品房,2010-10-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,崇文门,11,10,640,107871元/平米,新景家园东区,1室1厅1厨1卫,高楼层 (共17层),59.33㎡,暂无数据,48.4㎡,板塔结合,南,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-09-05,私产,2004-06-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
东城,崇文门,51,13,810,104287元/平米,国瑞城中区,2室1厅1厨1卫,高楼层 (共16层),77.67㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-19,一类经济适用房,2008-04-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
东城,崇文门,143,38,970,105320元/平米,兴隆都市馨园,3室2厅1厨2卫,低楼层 (共6层),92.1㎡,暂无数据,82.69㎡,板塔结合,东,钢混结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-04-16,一类经济适用房,2004-03-01,普通住宅,满五年,非共有,有抵押 10万元 建设银行 业主自还,已上传房本照片,0,null
东城,崇文门,142,38,1050,109080元/平米,国瑞城中区,3室1厅1厨1卫,中楼层 (共16层),96.26㎡,暂无数据,76.73㎡,板塔结合,东南,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-05-20,一类经济适用房,2008-04-08,普通住宅,满五年,非共有,有抵押 20万元 中国农业银行崇文区支行 业主自还,已上传房本照片,1,null
东城,崇文门,151,44,375,86386元/平米,营房西街,1室1厅1厨1卫,中楼层 (共6层),43.41㎡,暂无数据,35㎡,板楼,东 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-11,私产,2004-03-29,普通住宅,满五年,非共有,有抵押 100万元 浦发 银行 公司垫资,已上传房本照片,12,null
东城,崇文门,57,84,635,94960元/平米,前门东大街,2室0厅1厨1卫,低楼层 (共12层),66.87㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-26,已购公房,2001-12-18,普通住宅,满五年,非共有,暂无数据,已上传房本照片,12,null
东城,崇文门,24,43,610,102126元/平米,新景家园东区,1室1厅1厨1卫,中楼层 (共17层),59.73㎡,暂无数据,47.79㎡,板楼,东,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-07-05,私产,2004-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
东城,崇文门,8,11,725,104769元/平米,国瑞城中区,3室1厅1厨1卫,低楼层 (共16层),69.2㎡,暂无数据,55.16㎡,板塔结合,西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-16,二类经济适用房,2013-10-25,普通住宅,满两年,共有,无抵押,已上传房本照片,5,null
东城,崇文门,51,8,2250,139328元/平米,新怡家园,3室1厅1厨2卫,中楼层 (共15层),161.49㎡,暂无数据,140.71㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-27,商品房,2010-10-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,崇文门,45,62,618,105156元/平米,国瑞城中区,1室1厅1厨1卫,低楼层 (共16层),58.77㎡,暂无数据,46.65㎡,板塔结合,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-15,商品房,2015-01-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
