城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,左安门,21,13,980,86519元/平米,左安漪园,3室1厅1厨1卫,中楼层 (共15层),113.27㎡,平层,90.66㎡,板塔结合,东,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-28,私产,2006-09-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,距离5号线天坛东门站626米
东城,左安门,62,33,580,86207元/平米,龙潭西里,3室1厅1厨1卫,中楼层 (共5层),67.28㎡,暂无数据,48.27㎡,板楼,西南,混合结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2003-01-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,23,null
东城,左安门,352,20,495,79352元/平米,左安浦园,2室1厅1厨1卫,中楼层 (共14层),62.38㎡,暂无数据,49.47㎡,板塔结合,东,钢混结构,精装,两梯七户,自供暖,有,70年,null,null,null,2017-07-12,商品房,2012-09-17,普通住宅,满两年,非共有,有抵押 400万元 担保公司,已上传房本照片,5,null
东城,左安门,30,1,738,84643元/平米,长青园,3室1厅1厨1卫,顶层 (共6层),87.19㎡,暂无数据,62.54㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2009-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,左安门,101,22,635,88354元/平米,体育馆西路甲53号院,2室1厅1厨1卫,高楼层 (共6层),71.87㎡,暂无数据,50.95㎡,板楼,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-06,已购公房,2003-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
东城,左安门,162,19,520,76912元/平米,左安浦园,1室1厅1厨1卫,低楼层 (共14层),67.61㎡,暂无数据,53.62㎡,板塔结合,东,钢混结构,简装,两梯七户,自供暖,有,70年,null,null,null,2017-02-12,一类经济适用房,2005-06-25,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,1,null
东城,左安门,11,1,598,87363元/平米,龙潭西里,3室1厅1厨1卫,低楼层 (共6层),68.45㎡,暂无数据,暂无数据,板楼,东南,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2003-01-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,左安门,73,9,465,82549元/平米,龙潭西里,1室1厅1厨1卫,中楼层 (共6层),56.33㎡,平层,48.96㎡,板楼,南 北,混合结构,精装,一梯三户,自供暖,无,70年,null,null,null,2017-08-21,商品房,2013-03-01,普通住宅,满两年,非共有,有抵押 80万元 工商银行 业主自还,已上传房本照片,8,null
东城,左安门,57,34,1460,98963元/平米,左安溪园,3室1厅1厨2卫,中楼层 (共16层),147.53㎡,暂无数据,120.12㎡,板塔结合,东南,钢混结构,精装,三梯九户,集中供暖,有,70年,null,null,null,2017-07-07,已购公房,2009-07-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,左安门,106,17,890,77716元/平米,左安浦园,3室2厅1厨1卫,中楼层 (共16层),114.52㎡,暂无数据,95.4㎡,板塔结合,南 北,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-08-06,一类经济适用房,2006-04-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,左安门,178,38,496,79807元/平米,左安浦园,1室1厅1厨1卫,低楼层 (共18层),62.15㎡,暂无数据,51.81㎡,板楼,北,钢混结构,精装,三梯十五户,自供暖,有,70年,null,null,null,2016-06-26,商品房,2012-06-25,普通住宅,满五年,非共有,有抵押 80万元 银行 业主自还,已上传房本照片,5,null
东城,左安门,21,0,495,84284元/平米,左安门内大街,2室1厅1厨1卫,高楼层 (共6层),58.73㎡,暂无数据,40.49㎡,板楼,东南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,私产,2007-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,左安门,45,5,1600,93589元/平米,鸿运花园,3室2厅1厨2卫,中楼层 (共6层),170.96㎡,暂无数据,127.29㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-09,私产,2008-03-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,左安门,47,9,413,87630元/平米,龙潭西里,1室1厅1厨1卫,底层 (共6层),47.13㎡,暂无数据,40㎡,板楼,东 西,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-09-06,商品房,2015-12-29,普通住宅,暂无数据,非共有,有抵押 140万元 客户偿还,已上传房本照片,9,null
东城,左安门,220,55,590,84807元/平米,东四块玉北街,2室1厅1厨1卫,中楼层 (共6层),69.57㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-12-06,商品房,2016-11-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
东城,左安门,19,25,533,84994元/平米,火桥北里,2室1厅1厨1卫,低楼层 (共9层),62.71㎡,暂无数据,46.9㎡,板塔结合,西,混合结构,精装,一梯十四户,集中供暖,有,70年,null,null,null,2017-07-28,商品房,2015-12-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
东城,左安门,26,9,530,82851元/平米,长青园,2室1厅1厨1卫,高楼层 (共6层),63.97㎡,平层,45.26㎡,板楼,东 西,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-06-28,商品房,2015-04-23,普通住宅,满两年,共有,暂无数据,已上传房本照片,4,null
东城,左安门,6,1,557.4,84995元/平米,长青园,2室2厅1厨1卫,顶层 (共6层),65.58㎡,暂无数据,46.47㎡,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,已购公房,2014-03-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
东城,左安门,45,4,830,84685元/平米,东四块玉南街,2室1厅1厨1卫,顶层 (共6层),98.01㎡,暂无数据,90.32㎡,板楼,南 北,钢混结构,精装,一梯一户,集中供暖,暂无数据,70年,null,null,null,2017-08-05,商品房,2014-03-31,普通住宅,满两年,非共有,有抵押 175万元 客户偿还,已上传房本照片,0,null
东城,左安门,7,7,550,91514元/平米,龙潭北里七条,2室1厅1厨1卫,中楼层 (共5层),60.1㎡,暂无数据,60㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-24,已购公房,1993-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,左安门,67,9,647,94924元/平米,左安漪园,1室1厅1厨1卫,中楼层 (共17层),68.16㎡,暂无数据,57.02㎡,板塔结合,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-08,私产,2005-11-10,普通住宅,满五年,非共有,有抵押,已上传房本照片,1,null
东城,左安门,75,2,487,87938元/平米,龙潭西里,1室1厅1厨1卫,低楼层 (共6层),55.38㎡,暂无数据,暂无数据,板楼,西,混合结构,精装,一梯三户,自供暖,无,70年,null,null,null,2017-05-03,二类经济适用房,2010-04-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,左安门,131,17,580,83658元/平米,东四块玉北街,2室1厅1厨1卫,顶层 (共6层),69.33㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯十九户,集中供暖,无,70年,null,null,null,2017-01-13,已购公房,2005-11-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,左安门,50,0,535,94959元/平米,龙潭北里二条,2室1厅1厨1卫,顶层 (共5层),56.34㎡,暂无数据,40.2㎡,板楼,南 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-11,商品房,2012-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,左安门,90,0,498,73997元/平米,左安浦园,1室1厅1厨1卫,底层 (共18层),67.3㎡,暂无数据,55㎡,板楼,西北,钢混结构,精装,三梯十四户,自供暖,有,70年,null,null,null,2017-08-04,商品房,2016-01-13,普通住宅,暂无数据,非共有,有抵押 120万元 公积金 业主自还,已上传房本照片,0,null
东城,左安门,44,5,460,79944元/平米,天坛东路64号,2室1厅1厨1卫,中楼层 (共6层),57.54㎡,暂无数据,40.9㎡,板楼,东 西,混合结构,简装,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-08-06,已购公房,2017-07-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
东城,左安门,138,9,1800,89825元/平米,怡龙别墅,4室2厅1厨2卫,底层 (共4层),200.39㎡,暂无数据,160.3㎡,暂无数据,西南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-31,商品房,2016-07-26,公寓,暂无数据,非共有,无抵押,已上传房本照片,0,null
东城,左安门,187,12,486,89983元/平米,天坛东路64号,2室1厅1厨1卫,高楼层 (共6层),54.01㎡,暂无数据,暂无数据,板楼,西南,混合结构,精装,一梯五户,暂无数据,暂无数据,70年,null,null,null,2017-01-09,商品房,2016-01-06,普通住宅,暂无数据,非共有,有抵押 100万元 中国工商银行 客户偿还,已上传房本照片,1,null
东城,左安门,281,55,580,87719元/平米,西四块玉,2室1厅1厨1卫,底层 (共6层),66.12㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2015-12-17,已购公房,2016-11-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
