城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,广渠门,7,14,540,101542元/平米,广渠门内大街,2室1厅1厨1卫,中楼层 (共12层),53.18㎡,暂无数据,36.8㎡,板塔结合,南 北,混合结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2004-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,距离7号线广渠门外站969米
东城,广渠门,117,122,530,86686元/平米,广渠家园,2室1厅1厨1卫,高楼层 (共29层),61.14㎡,暂无数据,48.88㎡,板塔结合,东 北,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-04-18,二类经济适用房,2011-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
东城,广渠门,70,0,599,84047元/平米,广渠家园,2室2厅1厨1卫,低楼层 (共29层),71.27㎡,暂无数据,56.89㎡,板塔结合,西,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-04,商品房,2011-10-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,广渠门,235,131,1200,99034元/平米,京城仁合,3室2厅1厨2卫,中楼层 (共16层),121.17㎡,暂无数据,94.73㎡,板塔结合,东南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-25,私产,2005-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,广渠门,287,109,642,89878元/平米,广渠家园,2室2厅1厨1卫,高楼层 (共29层),71.43㎡,平层,57.11㎡,板塔结合,东,钢混结构,毛坯,三梯十二户,集中供暖,有,70年,null,null,null,2017-06-09,二类经济适用房,2011-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,广渠门,248,66,630,103635元/平米,广渠家园,2室1厅1厨1卫,中楼层 (共29层),60.79㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2011-10-24,普通住宅,满五年,共有,暂无数据,已上传房本照片,8,null
东城,广渠门,11,10,621,89649元/平米,金世纪嘉园,1室1厅1厨1卫,高楼层 (共21层),69.27㎡,暂无数据,54.98㎡,塔楼,东南,钢混结构,其他,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-26,二类经济适用房,2009-11-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
东城,广渠门,11,2,1450,122003元/平米,幸福家园一期,3室2厅1厨2卫,高楼层 (共14层),118.85㎡,暂无数据,94.56㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2009-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,广渠门,68,11,1380,88660元/平米,京禧阁,4室2厅1厨2卫,高楼层 (共22层),155.65㎡,平层,127.68㎡,塔楼,西北,钢混结构,精装,四梯十户,集中供暖,有,70年,null,null,null,2016-12-21,商品房,2015-08-18,普通住宅,满两年,非共有,有抵押 500万元 建设银行前门支行 客户偿还,已上传房本照片,0,null
东城,广渠门,58,29,616,114818元/平米,绿景馨园,2室2厅1厨1卫,顶层 (共6层),53.65㎡,暂无数据,48.11㎡,板楼,南 北,钢混结构,精装,一梯四户,自供暖,无,70年,null,null,null,2017-08-06,商品房,2011-06-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
