城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,建国门内,82,44,830,102570元/平米,赵堂子胡同,2室1厅1厨1卫,底层 (共11层),80.92㎡,暂无数据,69.86㎡,板塔结合,南,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-06-02,二类经济适用房,2005-05-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,距离1号线东单站555米
东城,建国门内,52,63,820,100849元/平米,小羊宜宾胡同,3室1厅1厨1卫,高楼层 (共6层),81.31㎡,暂无数据,76.59㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-07,央产房,1999-10-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,建国门内,36,26,577,112607元/平米,贡院头条,2室1厅1厨1卫,中楼层 (共6层),51.24㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-08-25,已购公房,2001-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
东城,建国门内,421,181,1060,59698元/平米,建国门北大街5号,3室1厅1厨2卫,低楼层 (共24层),177.56㎡,暂无数据,128.06㎡,塔楼,东南,钢混结构,精装,九梯二十六户,自供暖,有,70年,null,null,null,2017-06-07,商品房,2010-05-06,公寓,满五年,非共有,无抵押,已上传房本照片,4,null
东城,建国门内,7,4,616,109706元/平米,东堂子胡同,2室1厅1厨1卫,顶层 (共6层),56.15㎡,暂无数据,暂无数据,暂无数据,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,2000-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,建国门内,35,7,620,84607元/平米,雅安国际公寓,1室1厅1厨1卫,低楼层 (共18层),73.28㎡,平层,56.48㎡,塔楼,西北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-12,私产,2006-12-25,公寓,满五年,非共有,有抵押 50万元 中国银行海淀支行 客户偿还,已上传房本照片,1,null
东城,建国门内,24,2,780,109091元/平米,北总布胡同,3室1厅1厨1卫,顶层 (共6层),71.5㎡,平层,暂无数据,板楼,东北,砖混结构,简装,一梯五户,集中供暖,暂无数据,70年,null,null,null,2017-08-17,已购公房,1996-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,建国门内,6,5,1350,59027元/平米,建国门北大街5号,5室2厅1厨1卫,低楼层 (共24层),228.71㎡,暂无数据,164.95㎡,塔楼,西,钢混结构,其他,九梯二十六户,自供暖,有,70年,null,null,null,2017-07-16,商品房,2011-01-25,公寓,满五年,非共有,暂无数据,已上传房本照片,3,null
东城,建国门内,49,4,600,104131元/平米,贡院头条,3室0厅1厨1卫,高楼层 (共6层),57.62㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-08-18,已购公房,2001-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,建国门内,11,3,450,108959元/平米,大羊宜宾胡同35号院,1室1厅1厨1卫,中楼层 (共6层),41.3㎡,暂无数据,暂无数据,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,商品房,2012-08-10,普通住宅,满五年,共有,暂无数据,已上传房本照片,3,null
东城,建国门内,36,3,730,100815元/平米,大羊宜宾胡同35号院,3室1厅1厨1卫,顶层 (共6层),72.41㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-22,已购公房,2000-07-09,普通住宅,满五年,非共有,有抵押 160万元 中信 客户偿还,已上传房本照片,0,null
东城,建国门内,43,12,3400,108184元/平米,长安太和,4室2厅1厨5卫,中楼层 (共24层),314.28㎡,暂无数据,233.96㎡,板楼,东,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-05-15,商品房,2014-08-06,酒店式公寓,满两年,非共有,有抵押 1600万元 交通银行 客户偿还,已上传房本照片,0,null
东城,建国门内,13,0,890,109149元/平米,建国门北大街,3室1厅1厨1卫,低楼层 (共17层),81.54㎡,暂无数据,暂无数据,塔楼,东南 西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-19,已购公房,2000-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
