城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,朝阳门内,25,41,750,141137元/平米,南弓匠营胡同,1室1厅1厨1卫,底层 (共5层),53.14㎡,暂无数据,45.68㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-18,商品房,2004-05-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,距离2号线朝阳门站504米
东城,朝阳门内,39,37,785,112432元/平米,朝阳门南小街,2室1厅1厨1卫,中楼层 (共16层),69.82㎡,平层,55.27㎡,板塔结合,东 西 北,钢混结构,简装,两梯三户,自供暖,有,70年,null,null,null,2017-08-18,二类经济适用房,2005-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
东城,朝阳门内,134,133,1150,111672元/平米,朝阳门南小街,3室1厅1厨1卫,中楼层 (共9层),102.98㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-05-18,二类经济适用房,2005-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,朝阳门内,26,24,650,128917元/平米,后芳嘉园胡同,1室1厅1厨1卫,低楼层 (共6层),50.42㎡,暂无数据,50.42㎡,板楼,南,钢混结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-23,二类经济适用房,2005-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
东城,朝阳门内,23,16,930,115557元/平米,南门仓胡同,2室1厅1厨1卫,中楼层 (共6层),80.48㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,二类经济适用房,2009-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
东城,朝阳门内,69,33,785,102722元/平米,大方家胡同,2室1厅1厨1卫,低楼层 (共16层),76.42㎡,暂无数据,64.29㎡,板塔结合,南 北,钢混结构,简装,三梯两户,集中供暖,有,70年,null,null,null,2017-08-23,二类经济适用房,2007-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
东城,朝阳门内,48,52,795,99787元/平米,朝阳门南小街,2室1厅1厨1卫,低楼层 (共9层),79.67㎡,暂无数据,79.67㎡,板楼,西,钢混结构,其他,一梯四户,自供暖,有,70年,null,null,null,2017-08-11,二类经济适用房,2000-07-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
东城,朝阳门内,107,76,920,128779元/平米,豆瓣胡同,2室1厅1厨1卫,中楼层 (共21层),71.44㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-07-01,商品房,2016-06-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,11,null
东城,朝阳门内,37,44,1380,111075元/平米,朝阳首府,2室2厅1厨2卫,高楼层 (共11层),124.24㎡,暂无数据,102.4㎡,板楼,西南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2012-12-25,普通住宅,满两年,非共有,有抵押 260万元 兴业银行 客户偿还,已上传房本照片,0,null
东城,朝阳门内,45,57,950,116880元/平米,朝阳门北小街,2室1厅1厨1卫,高楼层 (共6层),81.28㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-05,商品房,2004-04-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,56,27,940,131837元/平米,豆瓣胡同,2室1厅1厨1卫,中楼层 (共21层),71.3㎡,暂无数据,71.3㎡,板楼,南 北,钢混结构,其他,两梯四户,自供暖,有,70年,null,null,null,2017-08-18,商品房,2004-06-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
东城,朝阳门内,30,22,930,129906元/平米,豆瓣胡同,2室1厅1厨1卫,中楼层 (共12层),71.59㎡,平层,暂无数据,板楼,东,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-17,商品房,2009-04-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
东城,朝阳门内,42,18,899,129632元/平米,豆瓣胡同,2室1厅1厨1卫,顶层 (共21层),69.35㎡,暂无数据,60.42㎡,板楼,西南,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-08-02,二类经济适用房,2005-07-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,8,26,690,124392元/平米,竹杆胡同,1室1厅1厨1卫,中楼层 (共6层),55.47㎡,平层,49.79㎡,板楼,南,钢混结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-23,二类经济适用房,2006-07-20,普通住宅,满五年,非共有,暂无数据,已上传房本照片,17,null
东城,朝阳门内,58,26,750,100067元/平米,西水井胡同,2室1厅1厨1卫,中楼层 (共16层),74.95㎡,平层,74.95㎡,板塔结合,东 西,钢混结构,精装,三梯两户,集中供暖,有,70年,null,null,null,2017-05-18,二类经济适用房,2007-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,36,13,820,106882元/平米,北竹杆胡同,2室1厅1厨1卫,中楼层 (共6层),76.72㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,二类经济适用房,2006-07-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
东城,朝阳门内,23,2,1150,133861元/平米,豆瓣胡同,3室1厅1厨1卫,高楼层 (共21层),85.91㎡,暂无数据,74.84㎡,板楼,东 西,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-08-31,私产,2004-06-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,朝阳门内,67,24,940,132022元/平米,豆瓣胡同,2室1厅1厨1卫,中楼层 (共12层),71.2㎡,暂无数据,62.17㎡,板楼,东 西,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-07-23,二类经济适用房,2004-05-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,476,61,795,92334元/平米,朝阳门内大街,3室1厅1厨1卫,中楼层 (共5层),86.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-11,私产,1999-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,朝阳门内,51,85,940,137608元/平米,仓南胡同,2室1厅1厨1卫,高楼层 (共6层),68.31㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-09,商品房,2004-06-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
东城,朝阳门内,256,15,750,94138元/平米,朝阳门南小街,2室1厅1厨1卫,中楼层 (共9层),79.67㎡,暂无数据,79.67㎡,板楼,西,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-08-10,商品房,2005-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,19,2,850,120397元/平米,仓南胡同14号院,2室1厅1厨1卫,底层 (共6层),70.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2010-08-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,朝阳门内,25,17,666,139828元/平米,南竹杆胡同,1室1厅1厨1卫,高楼层 (共6层),47.63㎡,暂无数据,39㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,商品房,2006-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
东城,朝阳门内,99,23,920,128779元/平米,豆瓣胡同,2室1厅1厨1卫,低楼层 (共21层),71.44㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-04-11,商品房,2004-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,31,5,950,118795元/平米,南门仓胡同,2室1厅1厨1卫,低楼层 (共6层),79.97㎡,暂无数据,70.52㎡,板楼,东 西,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-20,商品房,2004-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,朝阳门内,21,4,970,105849元/平米,竹杆胡同,3室1厅1厨1卫,中楼层 (共16层),91.64㎡,暂无数据,77.62㎡,板塔结合,东 西,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-09-07,商品房,2006-11-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
东城,朝阳门内,21,19,755,125770元/平米,仓南胡同12号院,2室1厅1厨1卫,高楼层 (共6层),60.03㎡,平层,60㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2012-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,朝阳门内,14,15,650,125313元/平米,后芳嘉园胡同,1室1厅1厨1卫,高楼层 (共6层),51.87㎡,暂无数据,46.68㎡,板楼,东 南 北,钢混结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-23,二类经济适用房,2005-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
东城,朝阳门内,33,22,930,126651元/平米,禄米仓胡同,2室1厅1厨1卫,底层 (共6层),73.43㎡,平层,64.29㎡,板楼,东 西,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-04,二类经济适用房,2005-07-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,朝阳门内,53,34,980,111796元/平米,朝阳首府,2室1厅1厨1卫,中楼层 (共15层),87.66㎡,暂无数据,64.32㎡,塔楼,西,钢混结构,精装,四梯十一户,集中供暖,有,70年,null,null,null,2017-07-27,商品房,2012-09-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门内,33,16,816,119929元/平米,朝阳门南小街,2室1厅1厨1卫,低楼层 (共11层),68.04㎡,暂无数据,58㎡,板塔结合,东 西,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-07-23,私产,2007-10-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,距离2号线朝阳门站923米
东城,朝阳门内,26,7,1000,103114元/平米,竹杆胡同,3室1厅1厨1卫,高楼层 (共16层),96.98㎡,暂无数据,90㎡,板塔结合,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2012-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,朝阳门内,110,38,1040,124536元/平米,仓南胡同14号院,3室1厅1厨1卫,顶层 (共6层),83.51㎡,暂无数据,70.72㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-03-05,私产,2002-09-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
东城,朝阳门内,0,1,680,122390元/平米,后芳嘉园胡同,1室1厅1厨1卫,顶层 (共6层),55.56㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-23,二类经济适用房,2005-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
