城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,朝阳门外,99,61,942,61970元/平米,昆泰国际公寓,2室2厅1厨2卫,高楼层 (共26层),152.01㎡,平层,112.74㎡,塔楼,南,钢混结构,简装,四梯十一户,集中供暖,有,70年,null,null,null,2017-08-05,私产,2007-04-16,公寓,满五年,非共有,暂无数据,已上传房本照片,0,距离6号线东大桥站909米
东城,朝阳门外,212,72,435,87666元/平米,吉祥里,2室1厅1厨1卫,中楼层 (共6层),49.62㎡,暂无数据,34.91㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-05,商品房,2012-10-24,普通住宅,满两年,非共有,有抵押 115万元 北京银行 业主自还,已上传房本照片,16,null
东城,朝阳门外,74,33,1170,94454元/平米,麒麟公馆,1室1厅1厨2卫,中楼层 (共24层),123.87㎡,暂无数据,暂无数据,板塔结合,东 西 北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-05-14,商品房,2012-05-21,普通住宅,满五年,非共有,有抵押 65万元 深圳银行,已上传房本照片,14,null
东城,朝阳门外,25,4,541,85887元/平米,芳草地西街,3室1厅1厨1卫,中楼层 (共5层),62.99㎡,暂无数据,1㎡,板楼,东 西 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-26,私产,1999-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,朝阳门外,44,29,458,79888元/平米,三丰里小区,2室1厅1厨1卫,低楼层 (共6层),57.33㎡,暂无数据,39.71㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,已购公房,1999-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,朝阳门外,34,20,512,79913元/平米,市场街,2室1厅1厨1卫,低楼层 (共16层),64.07㎡,暂无数据,暂无数据,塔楼,东 西 北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-28,商品房,2015-06-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
东城,朝阳门外,20,14,920,90981元/平米,吉祥里,3室1厅2厨1卫,低楼层 (共6层),101.12㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,商品房,2011-10-13,普通住宅,满五年,共有,有抵押 550万元 客户偿还,已上传房本照片,14,null
东城,朝阳门外,73,93,1060,82381元/平米,吉庆里小区,3室1厅1厨2卫,中楼层 (共9层),128.67㎡,暂无数据,100㎡,板楼,东 西,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-07-22,央产房,2017-08-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,21,null
东城,朝阳门外,9,7,580,105551元/平米,潘家坡胡同4号院,2室1厅1厨1卫,中楼层 (共5层),54.95㎡,暂无数据,1㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-04,私产,2007-12-20,普通住宅,满五年,非共有,有抵押 7万元 中信银行 业主自还,已上传房本照片,7,null
东城,朝阳门外,30,5,320,54663元/平米,新金山酒店式公寓,1室0厅1厨1卫,高楼层 (共24层),58.54㎡,暂无数据,39.14㎡,板塔结合,西,钢混结构,精装,四梯二十五户,集中供暖,有,70年,null,null,null,2017-08-22,商品房,2010-11-16,公寓,满五年,非共有,无抵押,已上传房本照片,2,null
东城,朝阳门外,43,48,600,90117元/平米,王家园胡同,2室1厅1厨1卫,底层 (共6层),66.58㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-23,已购公房,2012-03-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
东城,朝阳门外,240,289,1200,55152元/平米,京华豪园,4室2厅1厨3卫,低楼层 (共21层),217.58㎡,暂无数据,150.07㎡,塔楼,东 南 西,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2010-06-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,朝阳门外,53,44,544,92928元/平米,新中西街,2室1厅1厨1卫,低楼层 (共7层),58.54㎡,暂无数据,58㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,私产,2001-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,36,null
东城,朝阳门外,20,15,1362,85974元/平米,日坛晶华,3室1厅1厨2卫,中楼层 (共6层),158.42㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-31,私产,2003-06-11,普通住宅,满五年,非共有,有抵押 450万元 北京银行 客户偿还,已上传房本照片,0,null
东城,朝阳门外,81,9,476,79973元/平米,三丰里小区,2室1厅1厨1卫,中楼层 (共6层),59.52㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,已购公房,2003-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,朝阳门外,74,55,1160,62642元/平米,美惠大厦,3室2厅2厨3卫,高楼层 (共15层),185.18㎡,暂无数据,暂无数据,板塔结合,西,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2012-04-11,公寓,满五年,非共有,无抵押,已上传房本照片,1,null
东城,朝阳门外,69,84,450,79972元/平米,市场街,2室1厅1厨1卫,底层 (共16层),56.27㎡,暂无数据,暂无数据,塔楼,东 西北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-13,商品房,2013-02-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,13,null
东城,朝阳门外,32,7,530,79916元/平米,雅宝里,3室1厅1厨1卫,高楼层 (共18层),66.32㎡,暂无数据,50.71㎡,塔楼,西 东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-03,私产,2008-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,朝阳门外,16,21,920,92055元/平米,吉庆里小区,2室1厅1厨1卫,中楼层 (共9层),99.94㎡,暂无数据,暂无数据,板楼,西北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-25,私产,2007-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
东城,朝阳门外,97,26,950,88175元/平米,吉庆里小区,3室1厅1厨1卫,低楼层 (共21层),107.74㎡,暂无数据,88.41㎡,塔楼,东北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-21,商品房,2009-12-09,普通住宅,满五年,非共有,有抵押 30万元,已上传房本照片,2,null
