城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,永定门,156,29,1800,68371元/平米,新奥洋房,4室1厅1厨3卫,顶层 (共6层),263.27㎡,暂无数据,213.57㎡,板楼,东 南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-05-06,私产,2008-09-17,普通住宅,满五年,非共有,有抵押 40万元 业主自还,已上传房本照片,1,距离14号线(东段)永定门外站501米
东城,永定门,73,23,580,64797元/平米,宝华家园,2室1厅1厨1卫,低楼层 (共24层),89.51㎡,暂无数据,73.73㎡,塔楼,东南,钢混结构,简装,一梯八户,暂无数据,暂无数据,40年,null,null,null,2017-07-30,私产,2001-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,永定门,115,30,580,64797元/平米,宝华家园,2室1厅1厨1卫,中楼层 (共24层),89.51㎡,暂无数据,73.73㎡,塔楼,西南,钢混结构,简装,一梯八户,暂无数据,暂无数据,40年,null,null,null,2017-07-03,私产,2003-01-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,永定门,24,5,786,77961元/平米,天天家园,2室1厅1厨1卫,高楼层 (共11层),100.82㎡,暂无数据,78.17㎡,板塔结合,东,钢混结构,精装,两梯十四户,自供暖,有,70年,null,null,null,2017-09-02,私产,2006-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,永定门,308,19,425,70528元/平米,华龙美晟,2室1厅1厨1卫,低楼层 (共12层),60.26㎡,暂无数据,48.64㎡,板塔结合,北,钢混结构,精装,一梯五户,自供暖,有,70年,null,null,null,2017-08-27,商品房,2015-08-10,普通住宅,满两年,非共有,有抵押 116万元 工商银行 业主自还,已上传房本照片,11,null
东城,永定门,16,9,765,75878元/平米,天天家园,2室1厅1厨1卫,低楼层 (共11层),100.82㎡,暂无数据,78.17㎡,板塔结合,西,钢混结构,简装,两梯十四户,自供暖,有,70年,null,null,null,2017-09-02,商品房,2013-05-16,普通住宅,满两年,共有,无抵押,已上传房本照片,5,null
东城,永定门,28,14,647,72943元/平米,华龙美晟,2室1厅1厨1卫,低楼层 (共12层),88.7㎡,暂无数据,68.82㎡,板塔结合,东 西,钢混结构,其他,一梯三户,自供暖,有,70年,null,null,null,2017-07-08,商品房,2012-07-24,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,4,null
东城,永定门,300,107,610,72619元/平米,华龙美晟,2室1厅1厨1卫,底层 (共12层),84㎡,平层,65.17㎡,板塔结合,西,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-03-21,商品房,2010-06-23,普通住宅,满五年,非共有,有抵押 110万元 浦发 业主自还,已上传房本照片,0,null
东城,永定门,46,13,655,72989元/平米,景泰西里西区,2室1厅1厨1卫,低楼层 (共12层),89.74㎡,平层,75.72㎡,板塔结合,南 北,钢混结构,其他,一梯四户,自供暖,有,70年,null,null,null,2017-08-22,二类经济适用房,2017-03-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,6,null
东城,永定门,69,14,413,72077元/平米,桃杨路北里,2室1厅1厨1卫,高楼层 (共6层),57.3㎡,暂无数据,39.63㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-04,已购公房,2005-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
东城,永定门,30,10,1020,83634元/平米,新奥洋房,2室2厅1厨2卫,中楼层 (共11层),121.96㎡,暂无数据,100.62㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-25,已购公房,2010-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,永定门,235,66,830,63123元/平米,沙子口路50号,3室1厅1厨2卫,高楼层 (共18层),131.49㎡,暂无数据,暂无数据,塔楼,东南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-03-29,已购公房,2009-09-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,永定门,242,75,700,73321元/平米,新奥洋房,2室1厅1厨1卫,中楼层 (共9层),95.47㎡,暂无数据,79.19㎡,板塔结合,东 西,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-05-28,私产,2007-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
