城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,灯市口,191,41,520,107261元/平米,大草厂胡同,2室1厅1厨1卫,中楼层 (共5层),48.48㎡,暂无数据,48.48㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-11,商品房,2013-11-04,普通住宅,满两年,非共有,有抵押 150万元 北京银行 业主自还,已上传房本照片,0,距离5号线灯市口站1164米
东城,灯市口,42,28,600,110579元/平米,沙滩南巷,2室1厅1厨1卫,顶层 (共5层),54.26㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-04,已购公房,1993-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,灯市口,21,17,590,121574元/平米,灯市口大街27号院,2室1厅1厨1卫,底层 (共5层),48.53㎡,暂无数据,暂无数据,板楼,南,砖混结构,毛坯,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-09-02,已购公房,2000-11-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
东城,灯市口,18,15,690,119357元/平米,北河沿大街,2室1厅1厨1卫,中楼层 (共6层),57.81㎡,平层,56.81㎡,塔楼,西北,混合结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,1996-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
东城,灯市口,26,30,695,118338元/平米,北河沿大街,2室1厅1厨1卫,顶层 (共6层),58.73㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-12,已购公房,2002-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,灯市口,6,1,670,124884元/平米,西堂子胡同,1室1厅1厨1卫,顶层 (共9层),53.65㎡,暂无数据,1㎡,板塔结合,西,钢混结构,简装,两梯十四户,集中供暖,有,70年,null,null,null,2017-09-01,已购公房,2001-06-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,灯市口,22,0,680,117505元/平米,北河沿大街,2室1厅1厨1卫,顶层 (共6层),57.87㎡,平层,57.87㎡,塔楼,西北,混合结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-16,已购公房,2002-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,灯市口,9,0,690,118455元/平米,骑河楼大街,2室1厅1厨1卫,中楼层 (共6层),58.25㎡,暂无数据,49㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2002-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
东城,灯市口,95,68,897,119936元/平米,北河沿大街,3室0厅1厨1卫,中楼层 (共6层),74.79㎡,暂无数据,暂无数据,板楼,东 南 西,砖混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-03-24,已购公房,2004-08-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
东城,灯市口,58,14,675,114815元/平米,东厂北巷3号院,2室1厅1厨1卫,高楼层 (共6层),58.79㎡,暂无数据,52㎡,板楼,东 西,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-30,已购公房,2000-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
