城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
东城,陶然亭,202,109,680,98852元/平米,高家寨,3室1厅1厨1卫,高楼层 (共6层),68.79㎡,暂无数据,49.49㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-28,已购公房,1999-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,陶然亭,32,59,668,96882元/平米,南纬路2号院,2室1厅1厨1卫,中楼层 (共12层),68.95㎡,暂无数据,48.36㎡,板塔结合,南 北,钢混结构,精装,一梯六户,集中供暖,有,70年,null,null,null,2017-08-05,已购公房,2002-03-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
东城,陶然亭,86,28,1634,154940元/平米,朱雀门,2室2厅1厨2卫,中楼层 (共8层),105.46㎡,暂无数据,89.58㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-28,商品房,2009-08-24,普通住宅,满五年,非共有,有抵押 200万元,已上传房本照片,10,null
东城,陶然亭,81,30,550,94713元/平米,北纬路49号院,2室1厅1厨1卫,中楼层 (共6层),58.07㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-07-06,已购公房,2000-10-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,陶然亭,82,118,1260,141716元/平米,中信锦园,2室1厅1厨1卫,中楼层 (共18层),88.91㎡,平层,68.26㎡,板塔结合,东,钢混结构,其他,两梯四户,集中供暖,有,70年,null,null,null,2017-07-17,商品房,2011-08-05,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
东城,陶然亭,61,44,632,79949元/平米,天桥北里,2室1厅1厨1卫,低楼层 (共12层),79.05㎡,暂无数据,63.05㎡,塔楼,东南,钢混结构,简装,一梯十九户,集中供暖,有,70年,null,null,null,2017-04-21,商品房,2012-10-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
东城,陶然亭,49,18,650,107049元/平米,中海紫御公馆,1室2厅1厨1卫,中楼层 (共19层),60.72㎡,暂无数据,48.16㎡,板塔结合,东北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2011-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
东城,陶然亭,198,101,630,84135元/平米,天桥北里,2室1厅1厨1卫,低楼层 (共12层),74.88㎡,平层,61.68㎡,塔楼,西南,钢混结构,精装,一梯三十户,集中供暖,有,70年,null,null,null,2016-11-29,二类经济适用房,2005-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
东城,陶然亭,139,109,570,85125元/平米,畅柳园,2室1厅1厨1卫,低楼层 (共16层),66.96㎡,暂无数据,53.39㎡,板塔结合,西南,钢混结构,简装,三梯十四户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2017-05-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,10,null
东城,陶然亭,45,26,1250,120019元/平米,陶然北岸,2室1厅1厨1卫,顶层 (共16层),104.15㎡,暂无数据,88㎡,塔楼,东,钢混结构,其他,两梯六户,集中供暖,有,70年,null,null,null,2017-06-12,私产,2007-04-09,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
东城,陶然亭,74,31,498,86279元/平米,天桥北里,1室1厅1厨1卫,低楼层 (共7层),57.72㎡,暂无数据,49.96㎡,板楼,西,钢混结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-10,二类经济适用房,2005-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
东城,陶然亭,73,44,797,99962元/平米,畅柳园,2室1厅1厨1卫,高楼层 (共16层),79.73㎡,平层,63.64㎡,塔楼,东南,钢混结构,精装,三梯十四户,集中供暖,有,70年,null,null,null,2017-07-05,二类经济适用房,2007-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,陶然亭,40,12,1120,125238元/平米,陶然北岸,2室1厅1厨1卫,高楼层 (共18层),89.43㎡,暂无数据,70.69㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-09-02,私产,2005-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
东城,陶然亭,139,21,1260,108818元/平米,一瓶,3室2厅1厨2卫,中楼层 (共13层),115.79㎡,暂无数据,95.47㎡,板塔结合,北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-05-17,商品房,2011-07-28,普通住宅,满五年,非共有,有抵押 50万元 交通银行 业主自还,已上传房本照片,1,null
东城,陶然亭,110,48,715,89914元/平米,天桥北里,2室1厅1厨1卫,中楼层 (共7层),79.52㎡,平层,68.83㎡,板楼,东 西,钢混结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-29,商品房,2012-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
东城,陶然亭,89,21,695,98596元/平米,畅柳园,2室1厅1厨1卫,顶层 (共16层),70.49㎡,平层,54.76㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-16,二类经济适用房,2007-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
东城,陶然亭,139,31,2990,124990元/平米,耕天下,4室2厅1厨2卫,低楼层 (共6层),239.22㎡,平层,206.1㎡,板楼,南 西 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2016-09-11,私产,2004-09-01,普通住宅,满五年,非共有,有抵押 800万元 中信银行 客户偿还,已上传房本照片,0,null
东城,陶然亭,30,106,1343,149955元/平米,中信禧园,2室1厅1厨1卫,高楼层 (共20层),89.56㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-19,商品房,2015-05-26,普通住宅,满两年,非共有,有抵押 230万元 中信银行 客户偿还,已上传房本照片,13,null
东城,陶然亭,129,15,2470,117490元/平米,陶然湖景,4室2厅1厨3卫,高楼层 (共7层),210.23㎡,暂无数据,181.81㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-06,商品房,2011-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
东城,陶然亭,53,65,620,114943元/平米,南华东街2号院,2室1厅1厨1卫,高楼层 (共6层),53.94㎡,暂无数据,38.35㎡,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-24,商品房,2015-08-25,普通住宅,满两年,非共有,有抵押 191万元 北京银行 业主自还,已上传房本照片,2,null
