城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,七里庄,144,43,670,76007元/平米,保利欣苑,2室1厅1厨1卫,中楼层 (共9层),88.15㎡,平层,75.08㎡,板楼,南,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-03-13,商品房,2005-05-17,普通住宅,满五年,非共有,有抵押 270万元 客户偿还,已上传房本照片,7,距离9号线七里庄站331米
丰台,七里庄,181,56,410,51167元/平米,庄维花园,1室2厅1厨1卫,低楼层 (共24层),80.13㎡,暂无数据,63.88㎡,塔楼,北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-04-21,商品房,2003-09-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,七里庄,176,58,295,56589元/平米,北大街北里,2室1厅1厨1卫,中楼层 (共6层),52.13㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-30,商品房,2014-05-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,15,null
丰台,七里庄,106,68,655,63927元/平米,盛鑫嘉园,3室1厅1厨1卫,低楼层 (共22层),102.46㎡,平层,80.3㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-05-25,私产,2004-06-30,普通住宅,满五年,非共有,有抵押 240万元 招商银行 业主自还,已上传房本照片,8,null
丰台,七里庄,74,85,650,71288元/平米,西局欣园南区,2室1厅1厨1卫,中楼层 (共15层),91.18㎡,暂无数据,76.37㎡,板塔结合,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-05-12,私产,2005-01-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,七里庄,18,48,620,61386元/平米,庄维花园,2室1厅1厨1卫,高楼层 (共24层),101㎡,暂无数据,82.29㎡,塔楼,南 西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2010-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,七里庄,141,68,418,60588元/平米,望园东里,1室1厅1厨1卫,高楼层 (共24层),68.99㎡,暂无数据,52.37㎡,塔楼,南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-08,私产,2003-04-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,七里庄,6,13,650,60207元/平米,望园东里,2室1厅1厨1卫,中楼层 (共24层),107.96㎡,平层,90.99㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-24,私产,2006-04-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,七里庄,44,56,452,65976元/平米,望园西里,3室1厅1厨1卫,顶层 (共6层),68.51㎡,平层,60㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-12,商品房,2010-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,七里庄,126,161,850,62555元/平米,庄维花园,3室2厅1厨2卫,底层 (共24层),135.88㎡,暂无数据,108.32㎡,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-02-28,商品房,2004-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,七里庄,6,4,710,62313元/平米,庄维多摩市三期,2室2厅1厨1卫,高楼层 (共22层),113.94㎡,暂无数据,94.75㎡,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2008-03-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,七里庄,8,4,620,60886元/平米,庄维花园,2室1厅1厨1卫,顶层 (共22层),101.83㎡,暂无数据,82.52㎡,塔楼,东南,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2009-10-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,七里庄,102,48,550,62850元/平米,庄维花园,2室1厅1厨1卫,低楼层 (共24层),87.51㎡,暂无数据,69.76㎡,塔楼,东南,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-04-16,私产,2004-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,七里庄,110,37,400,57159元/平米,泥洼路5号院,2室1厅1厨1卫,中楼层 (共6层),69.98㎡,暂无数据,暂无数据,板楼,东 西,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-22,商品房,2009-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,七里庄,60,20,855,66729元/平米,庄维多摩市二期,3室2厅1厨2卫,中楼层 (共21层),128.13㎡,暂无数据,105.94㎡,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-26,私产,2006-06-14,普通住宅,满五年,非共有,有抵押 20万元 业主自还,已上传房本照片,1,null
丰台,七里庄,24,3,899,61821元/平米,庄维花园,3室2厅1厨2卫,顶层 (共24层),145.42㎡,平层,115.92㎡,塔楼,东南,钢混结构,其他,两梯五户,集中供暖,有,70年,null,null,null,2017-08-12,私产,2006-02-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,七里庄,77,9,557,64934元/平米,盛鑫嘉园,2室2厅1厨1卫,高楼层 (共22层),85.78㎡,暂无数据,67.15㎡,塔楼,西南,钢混结构,简装,三梯十三户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2012-04-12,普通住宅,满五年,非共有,有抵押 60万元 工商,已上传房本照片,1,null
