城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,丰台其它,49,22,2300,51585元/平米,亿城燕西华府,5室4厅1厨7卫,独栋 (共3层),445.87㎡,419.95㎡,东 南 北,钢混结构,毛坯,独栋,自供暖,70年,null,null,null,null,null,null,2016-10-27,商品房,2015-06-02,别墅,满两年,非共有,有抵押 400万元 建设银行 客户偿还,已上传房本照片,0,null
丰台,丰台其它,13,1,1100,63683元/平米,中体奥林匹克花园一期,3室2厅1厨3卫,底层 (共3层),172.73㎡,暂无数据,166.43㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-09-01,私产,2007-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,丰台其它,43,9,235,46535元/平米,玉皇庄小区,2室1厅1厨1卫,底层 (共6层),50.5㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-19,已购公房,2001-12-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,丰台其它,73,19,255,39110元/平米,张郭庄小区,2室1厅1厨1卫,中楼层 (共6层),65.2㎡,暂无数据,43.21㎡,暂无数据,南 北,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-09-02,已购公房,2003-12-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,丰台其它,33,9,225,41899元/平米,玉皇庄小区,2室1厅1厨1卫,顶层 (共6层),53.7㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-09-04,商品房,2012-06-04,普通住宅,满五年,共有,有抵押 47万元,已上传房本照片,9,null
丰台,丰台其它,88,11,1420,44468元/平米,中体奥林匹克花园三期,5室2厅1厨3卫, (共3层),319.33㎡,302.86㎡,南 北,钢混结构,精装,暂无数据,暂无数据,70年,null,null,null,null,null,null,2016-10-26,商品房,2010-08-06,别墅,满五年,非共有,有抵押,已上传房本照片,0,null
丰台,丰台其它,48,9,1200,47343元/平米,中体奥林匹克花园三期,4室3厅1厨3卫, (共3层),253.47㎡,243.33㎡,南 北,钢混结构,简装,暂无数据,暂无数据,70年,null,null,null,null,null,null,2016-11-24,商品房,2010-04-29,别墅,满五年,共有,有抵押 150万元 工商 客户偿还,已上传房本照片,0,null
丰台,丰台其它,39,6,1200,69473元/平米,中体奥林匹克花园一期,4室3厅1厨2卫,底层 (共3层),172.73㎡,暂无数据,166.43㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-02-08,商品房,2009-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,丰台其它,21,7,1249,72309元/平米,中体奥林匹克花园一期,5室4厅1厨3卫,底层 (共3层),172.73㎡,暂无数据,166.43㎡,暂无数据,南 北,钢混结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2016-12-14,私产,2007-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,丰台其它,83,51,292,37571元/平米,张郭庄小区,2室1厅1厨1卫,高楼层 (共6层),77.72㎡,暂无数据,77.72㎡,暂无数据,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-06-21,已购公房,2003-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
