城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,丽泽,56,46,498,55823元/平米,丰益花园西区,2室1厅1厨1卫,高楼层 (共25层),89.21㎡,暂无数据,72.73㎡,塔楼,西南,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-07-29,一类经济适用房,2003-02-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,距离10号线泥洼站618米
丰台,丽泽,69,18,510,52768元/平米,丰益花园东区,2室2厅1厨1卫,高楼层 (共28层),96.65㎡,暂无数据,78.61㎡,塔楼,西南,钢混结构,简装,三梯八户,自供暖,有,70年,null,null,null,2017-05-15,一类经济适用房,2005-12-02,普通住宅,满五年,共有,无抵押,已上传房本照片,6,null
丰台,丽泽,32,16,750,79139元/平米,益丰苑,2室1厅1厨1卫,高楼层 (共17层),94.77㎡,暂无数据,73.41㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-11,二类经济适用房,2014-08-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
丰台,丽泽,47,31,755,79667元/平米,益丰苑,2室2厅1厨1卫,高楼层 (共17层),94.77㎡,暂无数据,73.41㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-11,二类经济适用房,2014-08-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
丰台,丽泽,39,8,580,58615元/平米,精图小区56号院,3室1厅1厨1卫,底层 (共6层),98.95㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2000-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,丽泽,94,20,540,55872元/平米,丰益花园东区,2室1厅1厨1卫,低楼层 (共28层),96.65㎡,暂无数据,78.61㎡,塔楼,东南,钢混结构,简装,三梯八户,自供暖,有,70年,null,null,null,2017-05-28,一类经济适用房,2005-12-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,丽泽,66,19,500,54538元/平米,丰益花园东区,2室1厅1厨1卫,低楼层 (共28层),91.68㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,三梯八户,自供暖,有,70年,null,null,null,2017-07-06,一类经济适用房,2005-12-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,丽泽,239,119,698,76602元/平米,益丰苑,2室1厅1厨1卫,底层 (共15层),91.12㎡,平层,75.11㎡,板塔结合,南 西 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2016-12-20,二类经济适用房,2014-08-13,普通住宅,满两年,非共有,有抵押 15万元 建设银行 业主自还,已上传房本照片,5,null
丰台,丽泽,7,6,678,79821元/平米,益丰苑,2室2厅1厨1卫,中楼层 (共10层),84.94㎡,暂无数据,69.44㎡,板塔结合,西南,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-09-07,二类经济适用房,2014-08-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
丰台,丽泽,139,10,732,84929元/平米,保利百合,2室1厅1厨1卫,低楼层 (共21层),86.19㎡,平层,68.04㎡,板塔结合,南 西 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-31,商品房,2010-11-26,普通住宅,满五年,共有,有抵押 70万元 中信 业主自还,已上传房本照片,0,null
