城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,五里店,55,15,273,48934元/平米,南五里店45号院,2室1厅1厨1卫,中楼层 (共6层),55.79㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,2011-06-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,五里店,13,1,940,49981元/平米,和光里,2室1厅1厨1卫,顶层 (共10层),188.07㎡,暂无数据,161.67㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-23,私产,2006-03-22,普通住宅,满五年,非共有,有抵押 130万元 北京银行 业主自还,已上传房本照片,0,null
丰台,五里店,81,4,296,43124元/平米,丰西北里,3室1厅1厨1卫,顶层 (共6层),68.64㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,40年,null,null,null,2017-07-30,已购公房,2001-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,五里店,22,1,464,53966元/平米,和光里,2室1厅1厨1卫,中楼层 (共16层),85.98㎡,暂无数据,70.62㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2015-01-12,普通住宅,满两年,共有,有抵押 140万元 浦发银行 客户偿还,已上传房本照片,1,null
丰台,五里店,1,1,635,43972元/平米,程庄南里,3室1厅1厨1卫,高楼层 (共19层),144.41㎡,暂无数据,122.68㎡,塔楼,东北,钢混结构,简装,三梯八户,自供暖,有,70年,null,null,null,2017-08-14,二类经济适用房,2012-12-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
丰台,五里店,155,3,285,45549元/平米,丰西北里,2室1厅1厨1卫,中楼层 (共6层),62.57㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,暂无数据,40年,null,null,null,2017-07-12,已购公房,2005-03-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,五里店,30,9,320,42936元/平米,五里店9号院,3室1厅1厨1卫,低楼层 (共6层),74.53㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-04,已购公房,2011-01-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,五里店,39,7,315,45892元/平米,丰西北里,2室1厅1厨1卫,中楼层 (共6层),68.64㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,40年,null,null,null,2017-05-02,商品房,2017-05-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
丰台,五里店,55,6,290,42249元/平米,丰西北里,3室1厅1厨1卫,顶层 (共6层),68.64㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-05-25,商品房,2016-08-22,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,0,null
丰台,五里店,126,3,550,38213元/平米,程庄南里,3室1厅1厨1卫,低楼层 (共21层),143.93㎡,暂无数据,122.18㎡,塔楼,西北,钢混结构,简装,三梯八户,自供暖,有,70年,null,null,null,2017-01-02,商品房,2013-03-14,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,0,null
丰台,五里店,27,1,680,47010元/平米,丰卉家园,3室2厅1厨2卫,高楼层 (共7层),144.65㎡,平层,132.96㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-13,商品房,2012-11-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
