城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,六里桥,24,7,450,59094元/平米,六里桥北里,3室1厅1厨1卫,高楼层 (共6层),76.15㎡,暂无数据,65㎡,板楼,南 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2001-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,距离9号线六里桥站935米
丰台,六里桥,220,62,473,56961元/平米,京铁家园,2室1厅1厨1卫,中楼层 (共22层),83.04㎡,暂无数据,65.58㎡,塔楼,东,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-06-22,私产,2008-05-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,六里桥,130,55,650,67821元/平米,橙色年代,2室1厅1厨1卫,高楼层 (共24层),95.84㎡,暂无数据,73.65㎡,塔楼,西,钢混结构,简装,两梯十一户,自供暖,有,70年,null,null,null,2017-02-22,商品房,2006-03-21,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,7,null
丰台,六里桥,206,33,370,59581元/平米,六里桥北里,2室1厅1厨1卫,中楼层 (共20层),62.1㎡,暂无数据,58.2㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-13,已购公房,2006-12-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
丰台,六里桥,56,27,720,64286元/平米,莲花小区,2室2厅1厨1卫,高楼层 (共28层),112㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-12,央产房,2007-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,六里桥,89,53,570,53004元/平米,京铁家园,2室2厅1厨1卫,高楼层 (共22层),107.54㎡,平层,88.8㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-04,二类经济适用房,2006-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,六里桥,36,34,530,81052元/平米,海淀九号,1室1厅1厨1卫,中楼层 (共35层),65.39㎡,平层,51.62㎡,塔楼,东,钢混结构,精装,五梯十一户,集中供暖,有,70年,null,null,null,2017-07-05,商品房,2014-09-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
丰台,六里桥,48,79,507,56947元/平米,京铁家园,2室1厅1厨1卫,高楼层 (共22层),89.03㎡,平层,70.31㎡,塔楼,南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-08,二类经济适用房,2006-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,六里桥,42,50,768,85220元/平米,铁路小区,3室1厅1厨1卫,顶层 (共24层),90.12㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-13,私产,2007-12-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,六里桥,58,65,840,56086元/平米,澐澐国际,3室1厅1厨2卫,低楼层 (共26层),149.77㎡,暂无数据,117.79㎡,塔楼,西北,钢混结构,简装,八梯二十二户,集中供暖,有,70年,null,null,null,2017-04-15,商品房,2010-11-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,六里桥,116,43,370,59948元/平米,金家村283号院,2室1厅1厨1卫,顶层 (共6层),61.72㎡,暂无数据,61.72㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-04,已购公房,2001-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
