城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,刘家窑,24,27,737,64940元/平米,贾家花园15号院,2室1厅1厨1卫,高楼层 (共18层),113.49㎡,平层,93.9㎡,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-09-05,二类经济适用房,2011-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,27,距离5号线刘家窑站610米
丰台,刘家窑,11,18,469,35983元/平米,嘉业大厦,2室1厅1厨1卫,低楼层 (共19层),130.34㎡,暂无数据,111.72㎡,塔楼,西,钢混结构,简装,四梯八户,集中供暖,有,70年,null,null,null,2017-08-04,私产,2008-02-01,普通住宅,满五年,非共有,有抵押 45万元 北京银行 业主自还,已上传房本照片,7,null
丰台,刘家窑,154,24,355,53869元/平米,石榴园北里小区,2室1厅1厨1卫,低楼层 (共6层),65.9㎡,暂无数据,56㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2008-04-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,刘家窑,312,11,280,50605元/平米,石榴园北里小区,2室1厅1厨1卫,低楼层 (共6层),55.33㎡,平层,暂无数据,板楼,东,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2017-04-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
丰台,刘家窑,12,5,370,47680元/平米,横五条,3室1厅1厨1卫,顶层 (共6层),77.6㎡,暂无数据,暂无数据,板楼,东 西 北,混合结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-09-06,商品房,2000-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,刘家窑,17,0,1050,62720元/平米,建邦华府,3室1厅1厨2卫,中楼层 (共18层),167.41㎡,平层,137.31㎡,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-09-08,商品房,2010-03-04,普通住宅,满五年,非共有,有抵押 96万元 交通银行 业主自还,已上传房本照片,0,null
丰台,刘家窑,50,26,320,53006元/平米,石榴园北里小区,2室1厅1厨1卫,顶层 (共6层),60.37㎡,平层,1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-30,已购公房,2015-11-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,15,null
丰台,刘家窑,90,12,545,50783元/平米,同仁园,3室2厅1厨1卫,顶层 (共6层),107.32㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-26,已购公房,1999-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,刘家窑,10,6,585,52860元/平米,同仁园,3室1厅1厨1卫,中楼层 (共25层),110.67㎡,暂无数据,91.88㎡,塔楼,西,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-07,商品房,2012-06-04,普通住宅,满五年,共有,有抵押 500000万元 建设银行 客户偿还,已上传房本照片,4,null
丰台,刘家窑,69,38,530,59317元/平米,宋家庄家园,3室1厅1厨1卫,低楼层 (共29层),89.35㎡,暂无数据,74.96㎡,塔楼,东 北,钢混结构,精装,三梯十二户,自供暖,有,70年,null,null,null,2017-07-02,一类经济适用房,2010-12-13,普通住宅,满五年,非共有,有抵押 16万元 工商银行 业主自还,已上传房本照片,4,null
丰台,刘家窑,32,16,1050,62720元/平米,建邦华府,3室2厅1厨2卫,中楼层 (共18层),167.41㎡,平层,137.31㎡,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-04-22,商品房,2010-03-04,普通住宅,满五年,非共有,有抵押 100万元 交通银行 客户偿还,已上传房本照片,2,null
丰台,刘家窑,74,18,440,49949元/平米,一栋苑,2室1厅1厨1卫,高楼层 (共24层),88.09㎡,平层,70.37㎡,塔楼,西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2009-10-21,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,4,null
丰台,刘家窑,45,2,550,45361元/平米,南三环中路,2室2厅2厨2卫,高楼层 (共16层),121.25㎡,暂无数据,98.69㎡,板楼,南,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-23,私产,2007-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,刘家窑,389,5,300,43478元/平米,宋家庄家园,2室1厅1厨1卫,低楼层 (共29层),69㎡,暂无数据,57.89㎡,塔楼,东南,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-08-06,一类经济适用房,2011-06-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,刘家窑,66,15,365,52784元/平米,宋家庄家园,2室1厅1厨1卫,高楼层 (共29层),69.15㎡,暂无数据,58.03㎡,塔楼,西南,钢混结构,精装,三梯十二户,自供暖,有,70年,null,null,null,2017-03-16,一类经济适用房,2011-04-27,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
丰台,刘家窑,57,12,338,48752元/平米,宋家庄家园,2室1厅1厨1卫,底层 (共25层),69.33㎡,平层,57.28㎡,塔楼,东,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-07-20,一类经济适用房,2011-04-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
