城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,北京南站,92,76,660,61943元/平米,开阳里三区,3室1厅1厨1卫,底层 (共24层),106.55㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-03-03,二类经济适用房,2009-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,距离4号线北京南站站784米
丰台,北京南站,15,22,615,56781元/平米,开阳里八区,2室2厅1厨1卫,中楼层 (共9层),108.31㎡,暂无数据,94.43㎡,塔楼,西北,钢混结构,其他,一梯四户,集中供暖,有,70年,null,null,null,2017-09-04,一类经济适用房,2012-09-03,普通住宅,满五年,非共有,暂无数据,已上传房本照片,22,null
丰台,北京南站,21,28,375,66537元/平米,翠林一里,2室1厅1厨1卫,中楼层 (共6层),56.36㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,私产,2003-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
丰台,北京南站,121,64,490,58866元/平米,东滨河路2号院,2室1厅1厨1卫,中楼层 (共16层),83.24㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-23,已购公房,2007-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,40,null
丰台,北京南站,19,24,550,66074元/平米,东滨河路2号院,2室1厅1厨1卫,中楼层 (共16层),83.24㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-03,已购公房,2007-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
丰台,北京南站,46,9,280,69307元/平米,开阳里三区,1室1厅1厨1卫,中楼层 (共6层),40.4㎡,暂无数据,40.4㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2000-11-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,北京南站,483,28,242,79763元/平米,世纪金色嘉园,1室0厅1厨1卫,中楼层 (共30层),30.34㎡,平层,25.79㎡,塔楼,东,钢混结构,精装,三梯十八户,自供暖,有,70年,null,null,null,2017-07-30,商品房,2013-01-22,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
丰台,北京南站,92,50,730,70695元/平米,世纪金色嘉园,2室1厅1厨1卫,高楼层 (共30层),103.26㎡,平层,暂无数据,塔楼,西,钢混结构,精装,三梯十八户,自供暖,有,70年,null,null,null,2016-09-16,商品房,2008-10-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,北京南站,126,72,810,65280元/平米,开阳里一区,3室2厅2厨2卫,底层 (共6层),124.08㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-26,一类经济适用房,2003-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,北京南站,14,20,530,65839元/平米,开阳里三区,2室1厅1厨1卫,低楼层 (共24层),80.5㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-03,一类经济适用房,2009-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
