城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,北大地,94,19,268,58046元/平米,北大地四里,2室1厅1厨1卫,低楼层 (共6层),46.17㎡,暂无数据,暂无数据,板楼,东南 西,砖混结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-28,商品房,2009-02-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,距离9号线丰台东大街站1049米
丰台,北大地,45,19,500,50664元/平米,正阳小区,3室1厅1厨1卫,中楼层 (共19层),98.69㎡,暂无数据,暂无数据,塔楼,东 北,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-07-19,已购公房,2007-04-09,普通住宅,满五年,非共有,暂无数据,已上传房本照片,9,null
丰台,北大地,17,12,495,51805元/平米,文体路乙11号院,2室1厅1厨1卫,底层 (共18层),95.55㎡,暂无数据,80㎡,塔楼,东北,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-13,央产房,2003-06-06,普通住宅,满五年,非共有,有抵押 3万元 建设银行 业主自还,已上传房本照片,7,null
丰台,北大地,15,26,445,57531元/平米,正阳小区,2室1厅1厨1卫,中楼层 (共14层),77.35㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-06-25,二类经济适用房,2012-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,北大地,41,6,350,57443元/平米,前泥洼小区,2室1厅1厨1卫,顶层 (共6层),60.93㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,私产,2007-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,北大地,25,41,335,58362元/平米,电报局街,2室1厅1厨1卫,低楼层 (共6层),57.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,已购公房,1998-12-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,北大地,38,20,455,54965元/平米,正阳小区,2室1厅1厨1卫,低楼层 (共14层),82.78㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2012-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,北大地,7,1,510,56136元/平米,正阳小区,2室1厅1厨1卫,高楼层 (共19层),90.85㎡,暂无数据,72㎡,塔楼,西,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-04,一类经济适用房,2001-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,北大地,101,53,360,61224元/平米,七里庄路18号院,2室1厅1厨1卫,低楼层 (共6层),58.8㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-30,已购公房,2005-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,北大地,21,54,530,56916元/平米,福顺里,2室1厅1厨1卫,中楼层 (共20层),93.12㎡,暂无数据,75.63㎡,塔楼,东南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-03-18,二类经济适用房,2004-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,北大地,18,7,440,57247元/平米,永善里,2室1厅1厨1卫,顶层 (共24层),76.86㎡,暂无数据,62.75㎡,塔楼,西,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-13,一类经济适用房,2005-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,北大地,39,8,510,56882元/平米,东安街头条1号院,3室2厅1厨1卫,高楼层 (共7层),89.66㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2008-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,北大地,62,36,598,59986元/平米,永善里,2室1厅1厨1卫,高楼层 (共21层),99.69㎡,平层,82㎡,塔楼,南,钢混结构,其他,两梯九户,集中供暖,有,70年,null,null,null,2017-04-01,一类经济适用房,2006-11-09,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
丰台,北大地,4,6,345,58974元/平米,电报局街,2室1厅1厨1卫,高楼层 (共6层),58.5㎡,暂无数据,50㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2012-04-27,普通住宅,满五年,非共有,有抵押 47万元 建设银行 业主自还,已上传房本照片,6,null
丰台,北大地,35,21,568,59909元/平米,永善里,2室1厅1厨1卫,低楼层 (共24层),94.81㎡,平层,78.12㎡,塔楼,南 西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-26,一类经济适用房,2006-09-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,北大地,21,4,325,62500元/平米,北大街南里,2室1厅1厨1卫,高楼层 (共6层),52㎡,暂无数据,52㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,已购公房,1998-12-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,北大地,66,15,615,59994元/平米,东营里1号院,3室2厅1厨2卫,低楼层 (共7层),102.51㎡,暂无数据,92.5㎡,板楼,东 西,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-04-05,私产,2008-07-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
