城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,卢沟桥,24,15,395,44392元/平米,晓月新城,2室1厅1厨1卫,中楼层 (共24层),88.98㎡,暂无数据,71.75㎡,塔楼,南,钢混结构,精装,四梯十八户,自供暖,有,70年,null,null,null,2017-08-29,商品房,2009-07-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,卢沟桥,86,32,375,44685元/平米,沸城,2室1厅1厨1卫,高楼层 (共23层),83.92㎡,平层,66.53㎡,板塔结合,南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-28,商品房,2009-07-20,普通住宅,满五年,共有,无抵押,已上传房本照片,9,null
丰台,卢沟桥,30,7,353,45455元/平米,沸城,2室1厅1厨1卫,高楼层 (共25层),77.66㎡,平层,61.51㎡,板塔结合,东北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-27,私产,2008-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,卢沟桥,39,4,310,44980元/平米,晓月苑一里,2室1厅1厨1卫,中楼层 (共6层),68.92㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2008-12-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,卢沟桥,48,3,260,46679元/平米,晓月新城,1室1厅1厨1卫,低楼层 (共24层),55.7㎡,暂无数据,44.91㎡,塔楼,北,钢混结构,简装,四梯十八户,自供暖,有,70年,null,null,null,2017-09-01,商品房,2010-06-10,普通住宅,满五年,非共有,有抵押 50万元 北京银行 客户偿还,已上传房本照片,2,null
丰台,卢沟桥,28,23,420,45937元/平米,晓月新城,2室1厅1厨1卫,低楼层 (共24层),91.43㎡,暂无数据,75.18㎡,塔楼,西,钢混结构,精装,三梯十二户,自供暖,有,70年,null,null,null,2017-08-01,商品房,2011-03-28,普通住宅,满五年,非共有,有抵押 36万元 建设银行 客户偿还,已上传房本照片,5,null
丰台,卢沟桥,50,18,340,45760元/平米,卢沟桥南里,3室1厅1厨1卫,高楼层 (共6层),74.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-16,已购公房,2006-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,卢沟桥,323,48,238,54851元/平米,卢沟桥南里,2室1厅1厨1卫,低楼层 (共6层),43.39㎡,暂无数据,43.39㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-30,私产,2007-06-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,卢沟桥,23,26,405,46788元/平米,晓月新城,2室1厅1厨1卫,高楼层 (共24层),86.56㎡,暂无数据,69.62㎡,塔楼,东南,钢混结构,简装,四梯十八户,自供暖,有,70年,null,null,null,2017-04-14,商品房,2009-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,卢沟桥,9,2,510,45888元/平米,卢沟桥南里,3室1厅1厨1卫,底层 (共6层),111.14㎡,暂无数据,98.66㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,2011-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,卢沟桥,31,12,590,45733元/平米,沸城,3室1厅1厨2卫,中楼层 (共23层),129.01㎡,平层,100.94㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2009-12-28,普通住宅,满五年,非共有,有抵押,已上传房本照片,4,null
丰台,卢沟桥,34,9,390,46346元/平米,沸城,2室1厅1厨1卫,中楼层 (共18层),84.15㎡,平层,66.38㎡,板塔结合,南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2010-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
