城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,右安门外,85,82,352,66844元/平米,玉林东里三区,2室1厅1厨1卫,中楼层 (共5层),52.66㎡,暂无数据,45㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,40年,null,null,null,2017-07-04,已购公房,2017-06-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,11,null
丰台,右安门外,11,49,608,74346元/平米,百合园,2室1厅1厨1卫,低楼层 (共14层),81.78㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-07-12,已购公房,2004-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,右安门外,14,7,530,64951元/平米,玉林里小区,3室1厅1厨1卫,高楼层 (共18层),81.6㎡,暂无数据,暂无数据,塔楼,东 南 西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-28,已购公房,2011-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
丰台,右安门外,58,66,369,67831元/平米,玉林里小区,2室1厅1厨1卫,高楼层 (共6层),54.4㎡,暂无数据,36㎡,板楼,南,砖混结构,其他,一梯六户,集中供暖,无,70年,null,null,null,2017-04-27,已购公房,2010-11-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片,16,null
丰台,右安门外,49,24,384,66899元/平米,玉林里小区,2室1厅1厨1卫,高楼层 (共6层),57.4㎡,暂无数据,50㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-19,已购公房,2000-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,右安门外,13,59,390,71181元/平米,玉林东里三区,2室1厅1厨1卫,中楼层 (共6层),54.79㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-18,已购公房,2009-08-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
丰台,右安门外,133,7,350,59423元/平米,玉林东里三区,2室1厅1厨1卫,顶层 (共6层),58.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,1999-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,右安门外,97,11,255,61743元/平米,右安门外大街,1室1厅1厨1卫,中楼层 (共10层),41.3㎡,暂无数据,暂无数据,板塔结合,西,钢混结构,简装,一梯三十户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2015-06-25,普通住宅,满两年,共有,无抵押,已上传房本照片,5,null
丰台,右安门外,23,4,380,65824元/平米,玉林里小区,2室1厅1厨1卫,顶层 (共6层),57.73㎡,暂无数据,57.73㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,2003-05-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
丰台,右安门外,83,63,350,61587元/平米,玉林东里三区,2室1厅1厨1卫,高楼层 (共6层),56.83㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-18,已购公房,2016-01-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,22,null
