城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,和义,206,69,285,48436元/平米,和义东里五区,2室1厅1厨1卫,中楼层 (共6层),58.84㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,已购公房,1996-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,23,null
丰台,和义,42,25,488,50481元/平米,久敬佳园二区,2室1厅1厨1卫,中楼层 (共6层),96.67㎡,平层,85.69㎡,板楼,东南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-25,商品房,2012-07-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,和义,62,5,330,43790元/平米,南苑北里一区,2室1厅1厨1卫,顶层 (共6层),75.36㎡,暂无数据,66.92㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,私产,2002-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,和义,95,42,390,46735元/平米,世嘉丽晶,2室1厅1厨1卫,顶层 (共6层),83.45㎡,暂无数据,73.02㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-10,私产,2005-09-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,和义,16,0,658,46371元/平米,世嘉丽晶,3室2厅1厨2卫,高楼层 (共6层),141.9㎡,暂无数据,126.49㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-05,私产,2007-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,和义,47,29,280,47458元/平米,和义东里四区,2室1厅1厨1卫,顶层 (共6层),59㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-16,已购公房,2000-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,和义,137,71,393,46937元/平米,和义西里四区,2室1厅1厨1卫,高楼层 (共6层),83.73㎡,暂无数据,75.62㎡,板楼,东 南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-14,商品房,2003-05-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,和义,68,22,410,45339元/平米,和义西里三区,2室1厅1厨1卫,顶层 (共6层),90.43㎡,暂无数据,80.52㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-28,商品房,2009-12-24,普通住宅,满五年,非共有,有抵押 230000万元 工商银行 业主自还,已上传房本照片,4,null
丰台,和义,179,45,275,42133元/平米,南苑北里二区,2室1厅1厨1卫,顶层 (共6层),65.27㎡,暂无数据,56.48㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-12,一类经济适用房,2005-07-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,和义,80,33,630,44824元/平米,世嘉丽晶,4室1厅1厨2卫,顶层 (共6层),140.55㎡,平层,125.29㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-12,私产,2007-11-23,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
丰台,和义,9,0,600,49669元/平米,久敬佳园二区,3室1厅1厨2卫,中楼层 (共6层),120.8㎡,暂无数据,108.84㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-13,私产,2006-07-20,普通住宅,满五年,非共有,有抵押 400万元 中佳信 客户偿还,已上传房本照片,0,null
丰台,和义,243,39,338,38240元/平米,红星北里,2室1厅1厨1卫,顶层 (共6层),88.39㎡,暂无数据,63.46㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-03,已购公房,1999-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,和义,95,44,329,46973元/平米,和义东里六区,2室1厅1厨1卫,底层 (共6层),70.04㎡,暂无数据,57.69㎡,板楼,西 北,混合结构,简装,一梯八户,集中供暖,无,70年,null,null,null,2017-06-03,私产,2005-06-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,和义,168,33,378,46980元/平米,南苑北里一区,2室2厅1厨1卫,高楼层 (共6层),80.46㎡,平层,66.53㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-07,商品房,2012-05-24,普通住宅,满五年,共有,有抵押 65万元 客户偿还,已上传房本照片,1,null
丰台,和义,16,7,670,47100元/平米,和义西里三区,3室1厅1厨1卫,底层 (共6层),142.25㎡,暂无数据,127.24㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-05,私产,2001-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,和义,50,0,645,46127元/平米,世嘉丽晶,4室2厅1厨2卫,中楼层 (共6层),139.83㎡,暂无数据,125.21㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-15,私产,2007-11-22,普通住宅,满五年,非共有,有抵押 4300000万元 民生银行 客户偿还,已上传房本照片,0,null
丰台,和义,78,18,329,43996元/平米,南苑北里三区,3室1厅1厨1卫,顶层 (共6层),74.78㎡,暂无数据,65.24㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-16,商品房,2012-08-06,普通住宅,满五年,共有,有抵押 650000万元,已上传房本照片,1,null
