城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,大红门,34,22,650,69968元/平米,上海建筑,2室2厅1厨1卫,中楼层 (共15层),92.9㎡,暂无数据,74.65㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-02,商品房,2011-07-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,距离10号线大红门站561米
丰台,大红门,75,31,668,69962元/平米,上海建筑,3室1厅1厨1卫,低楼层 (共15层),95.48㎡,暂无数据,76.72㎡,板塔结合,东 南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2012-05-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,15,null
丰台,大红门,35,80,630,53581元/平米,建欣苑三里,3室2厅1厨2卫,高楼层 (共6层),117.58㎡,暂无数据,105.4㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-13,一类经济适用房,2003-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,大红门,7,19,540,54162元/平米,建欣苑六里,2室1厅1厨1卫,低楼层 (共16层),99.7㎡,暂无数据,80.02㎡,板塔结合,南 西 北,钢混结构,精装,一梯七户,自供暖,暂无数据,70年,null,null,null,2017-09-02,一类经济适用房,2008-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
丰台,大红门,123,94,674,69910元/平米,上海建筑,3室1厅1厨1卫,低楼层 (共15层),96.41㎡,暂无数据,77.32㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-18,商品房,2011-03-30,普通住宅,满五年,非共有,有抵押 90万元 建设银行 客户偿还,已上传房本照片,7,null
丰台,大红门,156,28,660,65082元/平米,远洋自然,2室1厅1厨1卫,低楼层 (共18层),101.41㎡,暂无数据,77.58㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-03-13,商品房,2012-04-28,普通住宅,满五年,非共有,有抵押 100万元 邮政 业主自还,已上传房本照片,20,null
丰台,大红门,121,83,720,67447元/平米,远洋自然,2室2厅1厨1卫,低楼层 (共10层),106.75㎡,暂无数据,86.79㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-01,私产,2008-05-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,大红门,24,11,680,67844元/平米,远洋自然,2室1厅1厨1卫,中楼层 (共15层),100.23㎡,平层,79.57㎡,板塔结合,东 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-13,私产,2008-05-16,普通住宅,满五年,非共有,有抵押 10万元 招商 业主自还,已上传房本照片,11,null
丰台,大红门,89,169,535,55098元/平米,建欣苑五里,2室1厅1厨1卫,高楼层 (共6层),97.1㎡,暂无数据,87.66㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-23,一类经济适用房,2004-12-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,大红门,41,26,568,69951元/平米,上海建筑,2室1厅1厨1卫,中楼层 (共15层),81.2㎡,暂无数据,65.08㎡,板塔结合,西北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2011-01-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,大红门,9,1,303.9,52953元/平米,建欣苑二里,1室1厅1厨1卫,中楼层 (共6层),57.39㎡,暂无数据,51.23㎡,板楼,西,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-09-06,一类经济适用房,2002-04-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
