城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,太平桥,79,50,569,68022元/平米,太平桥东里,3室1厅1厨2卫,高楼层 (共24层),83.65㎡,暂无数据,暂无数据,塔楼,东 南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-27,商品房,2010-04-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,29,null
丰台,太平桥,32,26,640,67326元/平米,华源二里,2室1厅1厨1卫,低楼层 (共25层),95.06㎡,暂无数据,78.63㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-04,二类经济适用房,2007-07-17,普通住宅,满五年,非共有,有抵押 6万元 工商银行 业主自还,已上传房本照片,16,null
丰台,太平桥,24,42,445,69903元/平米,太平桥西里,2室1厅1厨1卫,底层 (共6层),63.66㎡,暂无数据,1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-21,已购公房,2012-10-08,普通住宅,满两年,非共有,有抵押,已上传房本照片,0,null
丰台,太平桥,67,54,580,67075元/平米,太平桥东里,3室1厅1厨1卫,底层 (共6层),86.47㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-19,已购公房,2014-11-20,普通住宅,满两年,共有,无抵押,已上传房本照片,12,null
丰台,太平桥,27,35,388,68892元/平米,太平桥小区,2室1厅1厨1卫,低楼层 (共25层),56.32㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-09-07,已购公房,2004-03-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,35,null
丰台,太平桥,21,24,660,74610元/平米,金唐国际,2室1厅1厨1卫,中楼层 (共24层),88.46㎡,暂无数据,71.99㎡,塔楼,南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2009-06-18,普通住宅,满五年,共有,无抵押,已上传房本照片,19,null
丰台,太平桥,52,33,375,65411元/平米,太平桥小区,2室1厅1厨1卫,顶层 (共6层),57.33㎡,平层,45㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-06,商品房,2012-09-19,普通住宅,满两年,共有,无抵押,已上传房本照片,2,null
丰台,太平桥,41,42,830,65221元/平米,华源二里,3室2厅1厨2卫,顶层 (共25层),127.26㎡,暂无数据,107.29㎡,塔楼,东南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-18,二类经济适用房,2015-08-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,9,null
丰台,太平桥,101,82,630,74433元/平米,糖人街,2室1厅1厨1卫,高楼层 (共24层),84.64㎡,暂无数据,64.53㎡,塔楼,南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2009-11-23,普通住宅,满五年,共有,有抵押 50万元 银行 业主自还,已上传房本照片,0,null
丰台,太平桥,24,26,600,71369元/平米,尚西泊图,2室1厅1厨1卫,中楼层 (共21层),84.07㎡,平层,68.55㎡,塔楼,东 西北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2012-04-19,普通住宅,满五年,非共有,有抵押 270万元 客户偿还,已上传房本照片,6,null
