城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,宋家庄,88,37,880,64649元/平米,映天朗,3室2厅1厨2卫,低楼层 (共6层),136.12㎡,暂无数据,119.22㎡,板楼,东 西,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-16,商品房,2010-11-05,普通住宅,满五年,非共有,有抵押 300万元 中信银行 客户偿还,已上传房本照片,10,null
丰台,宋家庄,82,16,510,49247元/平米,政馨园一区,3室1厅1厨1卫,中楼层 (共11层),103.56㎡,暂无数据,86.8㎡,板塔结合,西北,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-08-09,商品房,2009-07-14,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,13,null
丰台,宋家庄,31,9,650,48446元/平米,政馨园一区,3室1厅1厨2卫,低楼层 (共18层),134.17㎡,暂无数据,107.44㎡,板塔结合,西南,钢混结构,精装,两梯十一户,自供暖,有,70年,null,null,null,2017-08-21,一类经济适用房,2004-06-30,普通住宅,满五年,非共有,有抵押 15万元 交通银行 业主自还,已上传房本照片,2,null
丰台,宋家庄,22,22,520,58990元/平米,华芳嘉园,2室1厅1厨1卫,低楼层 (共6层),88.15㎡,平层,79.65㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-18,商品房,2011-03-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,宋家庄,147,95,600,58611元/平米,政馨园一区,2室1厅1厨1卫,低楼层 (共15层),102.37㎡,暂无数据,84.01㎡,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-06-10,商品房,2010-10-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,宋家庄,69,82,300,55897元/平米,顶秀欣园东苑,1室1厅1厨1卫,低楼层 (共21层),53.67㎡,暂无数据,40.71㎡,塔楼,西,钢混结构,精装,三梯十三户,集中供暖,有,70年,null,null,null,2017-07-28,一类经济适用房,2006-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
丰台,宋家庄,58,25,520,58578元/平米,红狮家园,2室1厅1厨1卫,中楼层 (共18层),88.77㎡,平层,74.12㎡,板塔结合,南,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-05-29,限价商品房,2011-11-10,普通住宅,满五年,非共有,有抵押 30万元 建设银行 业主自还,已上传房本照片,7,null
丰台,宋家庄,65,19,300,56550元/平米,顶秀欣园东苑,1室1厅1厨1卫,低楼层 (共21层),53.05㎡,暂无数据,40.24㎡,塔楼,北,钢混结构,简装,三梯十三户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2007-12-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,宋家庄,14,16,293,55905元/平米,顶秀欣园东苑,1室1厅1厨1卫,中楼层 (共21层),52.41㎡,暂无数据,40.24㎡,塔楼,西北,钢混结构,简装,三梯十三户,集中供暖,有,70年,null,null,null,2017-09-03,一类经济适用房,2007-12-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
丰台,宋家庄,154,48,540,53540元/平米,政馨园一区,2室1厅1厨1卫,中楼层 (共11层),100.86㎡,暂无数据,84.53㎡,板塔结合,南,钢混结构,简装,两梯九户,自供暖,有,70年,null,null,null,2017-06-09,一类经济适用房,2004-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,宋家庄,38,1,465,51967元/平米,红狮家园,2室1厅1厨1卫,中楼层 (共29层),89.48㎡,平层,70.14㎡,塔楼,东,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-20,限价商品房,2010-08-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,宋家庄,41,5,373,57919元/平米,南方庄1号院,2室1厅1厨1卫,高楼层 (共6层),64.4㎡,平层,42.7㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2009-10-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
