城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,岳各庄,134,237,700,58735元/平米,西府景园,3室1厅1厨2卫,中楼层 (共23层),119.18㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-05,一类经济适用房,2006-02-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
丰台,岳各庄,109,53,860,66832元/平米,珠江峰景,3室1厅1厨2卫,中楼层 (共11层),128.68㎡,平层,108.94㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-20,私产,2008-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
丰台,岳各庄,105,106,540,59524元/平米,西府景园,2室1厅1厨1卫,高楼层 (共23层),90.72㎡,暂无数据,73.35㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-15,一类经济适用房,2008-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
丰台,岳各庄,71,29,350,53119元/平米,大井中里,2室1厅1厨1卫,中楼层 (共6层),65.89㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-10,已购公房,2001-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,岳各庄,181,185,705,59249元/平米,珠江峰景,3室1厅1厨2卫,高楼层 (共21层),118.99㎡,平层,97.51㎡,塔楼,西南,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-05-09,商品房,2009-03-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,岳各庄,101,34,765,78085元/平米,大成郡,2室2厅1厨1卫,低楼层 (共9层),97.97㎡,暂无数据,80.16㎡,板楼,西北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-16,商品房,2013-01-16,普通住宅,满两年,非共有,暂无数据,已上传房本照片,6,null
丰台,岳各庄,183,91,680,57172元/平米,珠江峰景,3室1厅1厨2卫,中楼层 (共21层),118.94㎡,平层,97.51㎡,塔楼,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2016-12-27,商品房,2009-06-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,岳各庄,57,152,438,51523元/平米,大成时代中心,1室1厅1厨1卫,高楼层 (共27层),85.01㎡,平层,暂无数据,塔楼,东,钢混结构,精装,四梯十八户,集中供暖,有,70年,null,null,null,2017-01-07,商品房,2015-03-17,酒店式公寓,满两年,非共有,无抵押,已上传房本照片,1,null
丰台,岳各庄,153,90,695,59549元/平米,珠江峰景,2室1厅1厨1卫,中楼层 (共21层),116.71㎡,平层,95.64㎡,塔楼,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-03-19,商品房,2009-03-21,普通住宅,满五年,非共有,有抵押 35万元 建设银行 业主自还,已上传房本照片,8,null
丰台,岳各庄,119,197,865,85813元/平米,大成郡,2室1厅1厨1卫,低楼层 (共7层),100.8㎡,平层,81.03㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-28,商品房,2011-11-23,普通住宅,满五年,非共有,暂无数据,已上传房本照片,13,null
