城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,广安门,66,60,615,86207元/平米,红居斜街,2室1厅1厨1卫,中楼层 (共6层),71.34㎡,暂无数据,48.93㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-19,已购公房,2002-05-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,25,距离7号线达官营站493米
丰台,广安门,117,35,1040,103792元/平米,丽水莲花,2室1厅1厨1卫,中楼层 (共24层),100.2㎡,暂无数据,78.78㎡,塔楼,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2011-02-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,广安门,32,12,1430,97892元/平米,蝶翠华庭,3室1厅1厨2卫,中楼层 (共21层),146.08㎡,平层,118.56㎡,塔楼,西南,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-08-31,商品房,2005-08-11,普通住宅,满五年,共有,无抵押,已上传房本照片,5,null
丰台,广安门,73,11,1020,105220元/平米,红山世家,2室1厅1厨1卫,低楼层 (共25层),96.94㎡,暂无数据,71.8㎡,板塔结合,西南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-09-04,商品房,2011-05-27,普通住宅,满五年,共有,有抵押 55万元,已上传房本照片,11,null
丰台,广安门,33,23,460,84840元/平米,红居斜街4号院,2室1厅1厨1卫,中楼层 (共5层),54.22㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2000-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,广安门,137,50,530,102060元/平米,朗琴园,1室0厅1厨1卫,低楼层 (共29层),51.93㎡,暂无数据,42.73㎡,塔楼,北,钢混结构,精装,三梯九户,自供暖,有,70年,null,null,null,2017-08-04,商品房,2011-07-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,广安门,75,34,695,103192元/平米,蝶翠华庭,1室1厅1厨1卫,高楼层 (共21层),67.35㎡,平层,54.66㎡,塔楼,东北,钢混结构,精装,三梯十户,自供暖,有,70年,null,null,null,2017-05-21,商品房,2011-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,广安门,100,11,1010,113102元/平米,红山世家,2室1厅1厨1卫,中楼层 (共25层),89.3㎡,暂无数据,66.14㎡,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-30,商品房,2012-06-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,广安门,21,17,950,97979元/平米,丽水莲花,2室1厅1厨1卫,中楼层 (共21层),96.96㎡,平层,77.85㎡,板楼,东 西,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-22,商品房,2010-12-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,广安门,148,135,499,87698元/平米,车站西街13号院,2室1厅1厨1卫,中楼层 (共6层),56.9㎡,暂无数据,暂无数据,板楼,西南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,2014-03-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
