城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,成寿寺,54,20,620,51414元/平米,四方景园五区,3室1厅1厨1卫,中楼层 (共28层),120.59㎡,暂无数据,98.44㎡,塔楼,东南,钢混结构,简装,四梯十一户,自供暖,有,70年,null,null,null,2017-08-17,二类经济适用房,2006-01-18,普通住宅,满五年,非共有,有抵押,已上传房本照片,2,距离10号线成寿寺站493米
丰台,成寿寺,112,108,535,52585元/平米,四方景园一区,2室1厅1厨1卫,中楼层 (共20层),101.74㎡,暂无数据,79.62㎡,塔楼,西北,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-03-22,二类经济适用房,2010-07-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,10,null
丰台,成寿寺,115,128,910,69919元/平米,中海城南区,3室2厅1厨2卫,低楼层 (共11层),130.15㎡,暂无数据,108.67㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-21,私产,2007-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,成寿寺,54,20,265,62544元/平米,苇子坑1号院,1室1厅1厨1卫,顶层 (共6层),42.37㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,商品房,2013-01-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
丰台,成寿寺,64,99,1700,59387元/平米,中海城圣朝菲,6室3厅1厨5卫,底层 (共8层),286.26㎡,暂无数据,236.48㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2016-10-14,商品房,2010-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,成寿寺,66,7,900,60655元/平米,晶城秀府,2室2厅1厨2卫,中楼层 (共14层),148.38㎡,暂无数据,123.77㎡,塔楼,东,钢混结构,简装,两梯八户,自供暖,有,70年,null,null,null,2017-04-17,商品房,2012-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,成寿寺,18,0,472,51104元/平米,方宝苑,2室1厅1厨1卫,低楼层 (共13层),92.36㎡,暂无数据,72.53㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-10,商品房,2011-08-31,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
丰台,成寿寺,29,13,600,53672元/平米,方宝苑,3室1厅1厨1卫,中楼层 (共13层),111.79㎡,暂无数据,90.03㎡,板塔结合,东 西,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2004-02-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,成寿寺,98,27,970,65785元/平米,中海城北区,3室2厅1厨2卫,高楼层 (共18层),147.45㎡,平层,118.26㎡,板楼,南 西 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2010-03-25,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
丰台,成寿寺,75,27,920,67065元/平米,中海城香克林,3室2厅1厨2卫,高楼层 (共20层),137.18㎡,暂无数据,109.92㎡,塔楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-22,商品房,2012-05-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,成寿寺,145,63,496,55712元/平米,四方景园二区,2室1厅1厨1卫,高楼层 (共28层),89.03㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,毛坯,三梯十二户,自供暖,有,70年,null,null,null,2017-04-08,商品房,2015-05-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
丰台,成寿寺,17,6,422,49894元/平米,方庄南路18号院,2室1厅1厨1卫,中楼层 (共15层),84.58㎡,暂无数据,69.48㎡,暂无数据,西,钢混结构,简装,一梯十户,自供暖,暂无数据,70年,null,null,null,2017-08-19,二类经济适用房,2013-07-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
丰台,成寿寺,24,7,251,47296元/平米,鑫源国际,3房间1卫,低楼层 (共18层),53.07㎡,暂无数据,38.01㎡,板塔结合,南,钢混结构,简装,五梯二十二户,集中供暖,有,50年,民水,民电,2.28元/m3,2017-08-20,商品房,2011-06-28,商业办公类,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,成寿寺,75,1,130,34538元/平米,中海城紫鑫阁,1房间1卫,低楼层 (共20层),37.64㎡,平层,27.86㎡,塔楼,北,钢混结构,精装,五梯二十二户,集中供暖,有,40年,民水,民电,2.28元/m3,2017-09-04,商品房,2011-10-21,商业办公类,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,成寿寺,30,16,510,51375元/平米,四方景园二区,2室1厅1厨1卫,底层 (共16层),99.27㎡,暂无数据,80.53㎡,板塔结合,东 南 西 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-07-30,商品房,2013-05-29,普通住宅,满两年,非共有,有抵押 70万元 招商银行 客户偿还,已上传房本照片,1,null
