城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,新宫,228,46,348,41847元/平米,诚苑南里,2室1厅1厨1卫,中楼层 (共9层),83.16㎡,平层,72.11㎡,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-01,一类经济适用房,2010-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,距离4号线新宫站786米
丰台,新宫,136,46,348,41867元/平米,诚苑南里,2室1厅1厨1卫,中楼层 (共9层),83.12㎡,平层,72.08㎡,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-09,一类经济适用房,2010-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,新宫,32,25,465,42516元/平米,飞腾家园,3室2厅1厨1卫,中楼层 (共6层),109.37㎡,暂无数据,98.94㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-12,商品房,2017-08-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
丰台,新宫,80,43,375,54993元/平米,南庭新苑南区,2室1厅1厨1卫,底层 (共16层),68.19㎡,平层,56.11㎡,板楼,南 北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-04-19,商品房,2015-04-28,普通住宅,满两年,非共有,有抵押 70万元 客户偿还,已上传房本照片,5,null
丰台,新宫,15,6,430,40532元/平米,诚苑南里,3室1厅1厨2卫,底层 (共6层),106.09㎡,暂无数据,94.8㎡,板塔结合,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-09-02,一类经济适用房,2012-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,新宫,105,31,760,64184元/平米,翠海明苑,3室2厅1厨1卫,中楼层 (共6层),118.41㎡,暂无数据,105.25㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-17,私产,2007-04-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,新宫,81,32,490,60832元/平米,翠海明苑,2室1厅1厨1卫,高楼层 (共6层),80.55㎡,平层,69.99㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-24,私产,2007-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,新宫,229,54,330,53983元/平米,南庭新苑北区,2室1厅1厨1卫,底层 (共16层),61.13㎡,平层,50.04㎡,塔楼,西南,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-16,二类经济适用房,2012-03-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,新宫,104,61,365,53176元/平米,南庭新苑北区,2室1厅1厨1卫,中楼层 (共16层),68.64㎡,平层,56.45㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-09,二类经济适用房,2015-08-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,13,null
丰台,新宫,181,22,465,38889元/平米,飞腾家园,3室1厅1厨1卫,中楼层 (共4层),119.57㎡,平层,108.59㎡,板楼,东 西,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-05-06,私产,2006-07-11,普通住宅,满五年,非共有,有抵押 170万元 招商银行 客户偿还,已上传房本照片,1,null
