城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,方庄,89,83,588,64915元/平米,芳城园一区,2室1厅1厨1卫,中楼层 (共28层),90.58㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-12,私产,2004-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,25,距离5号线蒲黄榆站186米
丰台,方庄,63,63,520,64911元/平米,芳群园一区,2室1厅1厨1卫,低楼层 (共25层),80.11㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,两梯九户,集中供暖,有,70年,null,null,null,2017-07-31,商品房,2009-06-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,45,null
丰台,方庄,190,70,629,66993元/平米,紫芳园一区,3室1厅1厨1卫,高楼层 (共25层),93.89㎡,暂无数据,76.57㎡,塔楼,东 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-15,私产,2005-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,方庄,40,39,383,61894元/平米,芳群园三区,1室1厅1厨1卫,底层 (共14层),61.88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯十一户,集中供暖,有,70年,null,null,null,2017-08-20,私产,2007-07-04,普通住宅,满五年,非共有,有抵押 30万元 工商银行 业主自还,已上传房本照片,16,null
丰台,方庄,53,46,585,64584元/平米,芳城园一区,2室1厅1厨1卫,低楼层 (共28层),90.58㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-16,已购公房,2000-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,21,null
丰台,方庄,19,18,360,64958元/平米,芳群园二区,2室1厅1厨1卫,顶层 (共5层),55.42㎡,暂无数据,45㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,商品房,2015-11-18,普通住宅,暂无数据,非共有,有抵押 140万元 浦发银行 客户偿还,已上传房本照片,18,null
丰台,方庄,60,43,320,64438元/平米,芳城园三区,1室1厅1厨1卫,低楼层 (共25层),49.66㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-25,商品房,2010-08-26,普通住宅,满五年,非共有,有抵押 686000万元 建设银行 业主自还,已上传房本照片,25,null
丰台,方庄,69,26,410,64740元/平米,芳城园三区,2室1厅1厨1卫,高楼层 (共12层),63.33㎡,暂无数据,48.39㎡,板塔结合,东 西,钢混结构,精装,一梯八户,集中供暖,有,70年,null,null,null,2017-08-25,已购公房,2004-06-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
丰台,方庄,14,17,611,64931元/平米,芳群园一区,3室1厅1厨1卫,中楼层 (共22层),94.1㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2012-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,方庄,297,85,353,63036元/平米,芳群园三区,2室1厅1厨1卫,顶层 (共6层),56㎡,暂无数据,50㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-12,私产,2002-04-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,方庄,103,41,715,70139元/平米,方庄6号,2室1厅1厨2卫,低楼层 (共17层),101.94㎡,暂无数据,83.04㎡,板塔结合,东南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2009-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
丰台,方庄,140,66,1030,69764元/平米,方庄6号,3室1厅1厨2卫,高楼层 (共15层),147.64㎡,暂无数据,119.86㎡,板塔结合,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-04-28,商品房,2016-11-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
丰台,方庄,18,13,598,66965元/平米,芳城园二区,3室1厅1厨1卫,高楼层 (共25层),89.3㎡,平层,60.7㎡,塔楼,东 南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-30,已购公房,2005-12-08,普通住宅,满五年,非共有,有抵押 250万元 担保公司 客户偿还,已上传房本照片,7,null
丰台,方庄,46,68,699,57792元/平米,城市芳庭,3室2厅1厨2卫,中楼层 (共22层),120.95㎡,暂无数据,120㎡,塔楼,南 西,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2016-05-20,商品房,2003-11-21,普通住宅,满五年,非共有,有抵押 民生银行 业主自还,已上传房本照片,9,null
丰台,方庄,126,125,758,51502元/平米,芳城园一区,3室1厅1厨2卫,中楼层 (共19层),147.18㎡,暂无数据,暂无数据,塔楼,北,钢混结构,简装,四梯十一户,集中供暖,有,70年,null,null,null,2017-04-11,已购公房,2003-07-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,方庄,7,14,1000,94769元/平米,紫芳园三区,2室1厅1厨2卫,高楼层 (共19层),105.52㎡,暂无数据,81.51㎡,板塔结合,南,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-09-09,商品房,2013-03-18,普通住宅,满两年,共有,无抵押,已上传房本照片,14,null
丰台,方庄,238,191,1030,69044元/平米,方庄6号,3室2厅1厨2卫,低楼层 (共16层),149.18㎡,平层,120.2㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2009-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
丰台,方庄,13,5,409,64552元/平米,芳城园一区,2室1厅1厨1卫,顶层 (共28层),63.36㎡,暂无数据,63.36㎡,塔楼,西南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2009-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,方庄,184,68,590,73228元/平米,芳城东里,3室1厅1厨1卫,高楼层 (共6层),80.57㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-15,商品房,2005-06-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,方庄,29,29,520,64781元/平米,芳城园一区,2室1厅1厨1卫,中楼层 (共28层),80.27㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-04,已购公房,2017-08-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,29,null
丰台,方庄,54,68,616,63953元/平米,芳城园一区,2室1厅1厨1卫,中楼层 (共31层),96.32㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-07,商品房,2009-06-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
丰台,方庄,30,7,420,64615元/平米,芳城园一区,2室1厅1厨1卫,低楼层 (共26层),65㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2010-03-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,方庄,24,16,1050,64695元/平米,时代芳群,3室1厅1厨2卫,低楼层 (共30层),162.3㎡,暂无数据,131.77㎡,塔楼,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-04-20,私产,2005-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,方庄,28,44,630,91410元/平米,紫芳园三区,1室1厅1厨1卫,高楼层 (共19层),68.92㎡,暂无数据,54.16㎡,板塔结合,西南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-07,商品房,2013-01-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
丰台,方庄,253,77,830,65784元/平米,紫芳园一区,3室2厅1厨2卫,顶层 (共6层),126.17㎡,暂无数据,106.43㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-06,私产,2006-08-17,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
丰台,方庄,41,9,415,64884元/平米,芳古园一区,2室1厅1厨1卫,低楼层 (共25层),63.96㎡,暂无数据,48.82㎡,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-17,私产,2005-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,方庄,23,3,490,64909元/平米,芳星园三区,3室1厅1厨1卫,顶层 (共6层),75.49㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2010-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
