城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,旧宫,47,23,550,51096元/平米,润龙家园,3室1厅1厨1卫,顶层 (共9层),107.64㎡,暂无数据,89.88㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-16,私产,2006-07-05,普通住宅,满五年,非共有,有抵押 100万元 华夏 客户偿还,已上传房本照片,4,null
丰台,旧宫,182,42,313,44997元/平米,清逸西园,2室1厅1厨1卫,中楼层 (共6层),69.56㎡,暂无数据,60.41㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-10,商品房,2012-01-12,普通住宅,满五年,共有,有抵押 65万元 工商银行 业主自还,已上传房本照片,18,null
丰台,旧宫,21,26,488,49313元/平米,巧克力城,2室2厅1厨1卫,顶层 (共4层),98.96㎡,暂无数据,85.77㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-09,私产,2006-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,旧宫,50,34,385,42921元/平米,清逸西园,2室2厅1厨1卫,底层 (共6层),89.7㎡,暂无数据,78.71㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-07,商品房,2012-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
丰台,旧宫,23,8,490,45906元/平米,德林园,2室2厅1厨2卫,高楼层 (共6层),106.74㎡,暂无数据,95.12㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,私产,2004-11-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,旧宫,97,21,557,39786元/平米,美利新世界,3室2厅1厨2卫,顶层 (共6层),140㎡,暂无数据,126.32㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-29,商品房,2010-08-10,普通住宅,满五年,共有,有抵押 3万元 工商银行 业主自还,已上传房本照片,4,null
丰台,旧宫,90,12,290,40520元/平米,清和园,2室1厅1厨1卫,顶层 (共6层),71.57㎡,暂无数据,46.69㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,已购公房,2006-08-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
丰台,旧宫,113,45,720,72588元/平米,富力盛悦居,3室1厅1厨2卫,高楼层 (共9层),99.19㎡,平层,82.68㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-12,商品房,2014-07-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
丰台,旧宫,43,58,435,52046元/平米,灵秀山庄,2室1厅1厨1卫,低楼层 (共7层),83.58㎡,暂无数据,74.33㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-28,私产,2004-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,旧宫,54,37,530,48234元/平米,云龙家园,3室2厅1厨1卫,中楼层 (共11层),109.88㎡,暂无数据,92.35㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-17,私产,2006-07-25,普通住宅,满五年,非共有,有抵押 10万元 工商银行 客户偿还,已上传房本照片,7,null
丰台,旧宫,73,50,650,63470元/平米,美利新世界,3室1厅1厨1卫,底层 (共5层),102.41㎡,暂无数据,88.66㎡,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,商品房,2013-10-10,普通住宅,满两年,非共有,有抵押 160万元 华夏 客户偿还,已上传房本照片,50,null
丰台,旧宫,65,33,310,50736元/平米,万源南里,2室1厅1厨1卫,高楼层 (共6层),61.1㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-16,已购公房,2000-08-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,旧宫,131,44,950,59956元/平米,亲亲我家,3室2厅1厨3卫,底层 (共3层),158.45㎡,暂无数据,149.94㎡,暂无数据,南 北,钢混结构,精装,一梯八户,集中供暖,无,70年,null,null,null,2017-04-19,商品房,2012-05-18,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
丰台,旧宫,117,92,486,54971元/平米,亦庄北岸,2室1厅1厨1卫,中楼层 (共15层),88.41㎡,暂无数据,71.82㎡,板塔结合,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-07-08,商品房,2009-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,旧宫,110,87,360,44340元/平米,清欣园甲区,2室1厅1厨1卫,中楼层 (共6层),81.19㎡,平层,70.29㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-22,私产,2001-11-20,普通住宅,满五年,非共有,有抵押,已上传房本照片,1,null
丰台,旧宫,89,53,282,39402元/平米,清和园,2室1厅1厨1卫,底层 (共6层),71.57㎡,平层,46.69㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-01,商品房,2012-08-06,普通住宅,满五年,非共有,有抵押 30万元 客户偿还,已上传房本照片,16,null
丰台,旧宫,95,38,730,56567元/平米,美利新世界,3室2厅1厨2卫,底层 (共6层),129.05㎡,暂无数据,115.5㎡,板楼,南,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-28,私产,2007-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
丰台,旧宫,33,20,690,64408元/平米,紫郡府,3室1厅1厨2卫,高楼层 (共9层),107.13㎡,暂无数据,93.48㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2016-06-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,17,null
丰台,旧宫,58,27,290,42084元/平米,清逸园,2室1厅1厨1卫,低楼层 (共6层),68.91㎡,平层,49.22㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-09,商品房,2015-06-17,普通住宅,满两年,非共有,有抵押 116万元 建行 客户偿还,已上传房本照片,8,null
丰台,旧宫,40,28,590,40533元/平米,清欣园甲区,4室1厅1厨2卫,中楼层 (共6层),145.56㎡,暂无数据,132.24㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-03,私产,2004-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,旧宫,34,7,328,44888元/平米,清逸园,2室1厅1厨1卫,中楼层 (共6层),73.07㎡,暂无数据,50.92㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2012-07-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,旧宫,64,20,320,41585元/平米,清逸西园,3室1厅1厨1卫,顶层 (共6层),76.95㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-25,商品房,2013-10-31,普通住宅,满两年,非共有,有抵押 70万元 工商 客户偿还,已上传房本照片,4,null
丰台,旧宫,41,24,600,50104元/平米,宣颐家园,3室2厅1厨2卫,中楼层 (共14层),119.75㎡,暂无数据,104.92㎡,板塔结合,南 北,混合结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-06-26,私产,2005-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,旧宫,87,87,445,45772元/平米,芳源里,2室1厅1厨1卫,高楼层 (共6层),97.22㎡,暂无数据,73.28㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-09,商品房,2011-10-24,普通住宅,满五年,非共有,有抵押 60万元 工商银行 客户偿还,已上传房本照片,16,null
丰台,旧宫,105,38,300,41917元/平米,清和园,2室1厅1厨1卫,底层 (共6层),71.57㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-26,私产,2006-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,旧宫,28,31,312,44879元/平米,清逸园,2室1厅1厨1卫,高楼层 (共6层),69.52㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-21,商品房,2009-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,旧宫,194,115,460,53106元/平米,亦庄北岸,2室1厅1厨1卫,中楼层 (共15层),86.62㎡,暂无数据,70.37㎡,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-04-21,商品房,2009-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,旧宫,15,0,1480,51437元/平米,亲亲我家,5室2厅1厨3卫,底层 (共3层),287.73㎡,暂无数据,273.48㎡,暂无数据,南 北,钢混结构,精装,一梯九户,集中供暖,无,70年,null,null,null,2017-08-25,私产,2007-04-10,普通住宅,满五年,非共有,有抵押 80万元 业主自还,已上传房本照片,0,null
丰台,旧宫,169,38,390,43934元/平米,清欣园甲区,3室1厅1厨1卫,中楼层 (共6层),88.77㎡,暂无数据,63.97㎡,板楼,南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-31,已购公房,2007-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,旧宫,141,20,750,45953元/平米,亦庄北岸,4室2厅1厨2卫,顶层 (共11层),163.21㎡,暂无数据,136.97㎡,板塔结合,南 西 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-07-14,商品房,2009-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,旧宫,66,14,486,54971元/平米,亦庄北岸,2室1厅1厨1卫,低楼层 (共15层),88.41㎡,暂无数据,71.82㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-12,私产,2010-11-15,普通住宅,满五年,非共有,有抵押 65万元 中信银行 业主自还,已上传房本照片,3,null
丰台,旧宫,27,4,380,44186元/平米,清逸园,3室1厅1厨1卫,底层 (共6层),86㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2012-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,旧宫,248,36,297,41498元/平米,清和园,2室1厅1厨1卫,顶层 (共6层),71.57㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-25,私产,2006-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,旧宫,73,50,465,46542元/平米,云龙家园,2室1厅1厨1卫,低楼层 (共6层),99.91㎡,平层,86.78㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-11-19,私产,2004-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
