城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,木樨园,89,17,320,48855元/平米,马公庄,2室1厅1厨1卫,顶层 (共6层),65.5㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,2002-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,距离10号线石榴庄站422米
丰台,木樨园,55,83,600,59976元/平米,慧时欣园,2室1厅1厨2卫,中楼层 (共24层),100.04㎡,暂无数据,84.14㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-04-28,私产,2006-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,木樨园,334,72,325,49618元/平米,马公庄,2室1厅1厨1卫,低楼层 (共6层),65.5㎡,暂无数据,43.4㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-02,商品房,2009-11-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,木樨园,200,114,820,53721元/平米,慧时欣园,3室2厅1厨2卫,低楼层 (共27层),152.64㎡,平层,128.6㎡,塔楼,南 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-03-01,私产,2005-06-16,普通住宅,满五年,非共有,有抵押 150万元 招商 业主自还,已上传房本照片,2,null
丰台,木樨园,22,12,370,57740元/平米,圣淘沙,1室1厅1厨1卫,高楼层 (共19层),64.08㎡,暂无数据,50.48㎡,塔楼,东,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-03-17,二类经济适用房,2011-01-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,17,12,610,59933元/平米,慧时欣园,2室2厅1厨1卫,中楼层 (共24层),101.78㎡,暂无数据,85.6㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2005-07-21,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,8,null
丰台,木樨园,23,9,820,56602元/平米,双城公寓,3室1厅1厨2卫,中楼层 (共27层),144.87㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,三梯八户,集中供暖,有,70年,null,null,null,2017-08-19,私产,2005-05-26,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
丰台,木樨园,19,6,820,57951元/平米,慧时欣园,3室2厅1厨2卫,高楼层 (共24层),141.5㎡,暂无数据,118.72㎡,塔楼,南 西 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2006-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,木樨园,76,34,590,60775元/平米,双城公寓,2室1厅1厨2卫,中楼层 (共27层),97.08㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-03-20,已购公房,2006-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,29,5,435,59654元/平米,慧时欣园,1室1厅1厨1卫,低楼层 (共25层),72.92㎡,平层,58.26㎡,塔楼,东南,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-08-31,商品房,2002-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,木樨园,13,18,620,43369元/平米,双城公寓,3室2厅1厨1卫,中楼层 (共27层),142.96㎡,暂无数据,111.02㎡,塔楼,东北,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-05-27,私产,2007-07-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,木樨园,81,24,605,55090元/平米,慧时欣园,3室1厅1厨1卫,低楼层 (共25层),109.82㎡,平层,87.74㎡,塔楼,西北,钢混结构,精装,三梯十户,自供暖,有,70年,null,null,null,2017-06-29,商品房,2012-08-23,普通住宅,满五年,非共有,有抵押 70万元 中国银行 客户偿还,已上传房本照片,1,null
丰台,木樨园,44,30,620,43369元/平米,双城公寓,3室1厅1厨1卫,高楼层 (共27层),142.96㎡,暂无数据,111.02㎡,塔楼,西北,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-04-26,商品房,2012-06-27,普通住宅,满五年,共有,有抵押 40万元 邮政储蓄 业主自还,已上传房本照片,0,null
丰台,木樨园,52,7,820,53721元/平米,慧时欣园,3室2厅1厨2卫,低楼层 (共27层),152.64㎡,暂无数据,128.6㎡,塔楼,南 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-08,私产,2007-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,160,56,830,57535元/平米,慧时欣园,3室2厅1厨2卫,高楼层 (共24层),144.26㎡,平层,121.33㎡,塔楼,西南 北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2016-12-04,私产,2005-07-29,普通住宅,满五年,非共有,有抵押 610万元 客户偿还,已上传房本照片,0,null
丰台,木樨园,48,7,1320,45119元/平米,圣淘沙,3室2厅1厨2卫,顶层 (共7层),292.56㎡,暂无数据,209.54㎡,板楼,南 北,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2016-11-12,商品房,2011-04-20,普通住宅,满五年,非共有,有抵押 100万元 民生银行 客户偿还,已上传房本照片,0,null
丰台,木樨园,206,10,270,41609元/平米,赵公口小区,2室1厅1厨1卫,地下室 (共6层),64.89㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-02,商品房,2009-11-26,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
丰台,木樨园,70,8,618,39941元/平米,南木樨园,4室2厅1厨2卫,高楼层 (共7层),154.73㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-25,已购公房,2002-12-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,32,4,620,56471元/平米,慧时欣园,3室1厅1厨1卫,高楼层 (共25层),109.79㎡,平层,87.74㎡,塔楼,西北,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-08-11,商品房,2009-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,37,38,580,56360元/平米,双城公寓,2室1厅1厨2卫,低楼层 (共27层),102.91㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-04-10,商品房,2009-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,木樨园,47,1,500,55457元/平米,慧时欣园,2室1厅1厨1卫,顶层 (共25层),90.16㎡,暂无数据,72.03㎡,塔楼,西北,钢混结构,精装,三梯十户,自供暖,有,70年,null,null,null,2017-08-17,商品房,2009-07-03,普通住宅,满五年,非共有,有抵押 50万元 业主自还,已上传房本照片,0,null
丰台,木樨园,64,27,535,58323元/平米,慧时欣园,2室1厅1厨1卫,低楼层 (共25层),91.73㎡,平层,73.29㎡,塔楼,东北,钢混结构,精装,三梯十户,自供暖,有,70年,null,null,null,2017-05-06,商品房,2016-02-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1,null
丰台,木樨园,39,3,600,45028元/平米,南木樨园,2室3厅1厨2卫,高楼层 (共7层),133.25㎡,暂无数据,133㎡,板楼,南,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-05,已购公房,2002-12-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,77,67,570,56881元/平米,慧时欣园,2室2厅1厨2卫,低楼层 (共24层),100.21㎡,暂无数据,84.08㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-04-11,商品房,2015-05-13,普通住宅,满两年,非共有,有抵押 180万元 中信银行 客户偿还,已上传房本照片,1,null
丰台,木樨园,45,5,510,56679元/平米,慧时欣园,2室1厅1厨1卫,低楼层 (共25层),89.98㎡,暂无数据,72.03㎡,塔楼,西北,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-07-15,私产,2002-05-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,木樨园,31,13,599,59954元/平米,慧时欣园,2室1厅1厨1卫,顶层 (共27层),99.91㎡,暂无数据,84.15㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-04,商品房,2016-01-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
丰台,木樨园,53,32,580,56919元/平米,慧时欣园,3室1厅1厨1卫,低楼层 (共25层),101.9㎡,暂无数据,81.44㎡,塔楼,西北,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-04-08,商品房,2017-04-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
