城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,洋桥,57,39,530,61187元/平米,首座绿洲,2室1厅1厨1卫,低楼层 (共21层),86.62㎡,暂无数据,70.35㎡,塔楼,西,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-06-13,商品房,2005-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,洋桥,112,39,345,58974元/平米,马家堡路8号院,2室1厅1厨1卫,中楼层 (共6层),58.5㎡,暂无数据,38.2㎡,板楼,东南 西北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,已购公房,1997-08-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,36,null
丰台,洋桥,174,90,418,59817元/平米,洋桥北里,3室1厅1厨1卫,高楼层 (共6层),69.88㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-15,已购公房,2001-09-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
丰台,洋桥,75,275,365,58344元/平米,洋桥西里,2室1厅1厨1卫,高楼层 (共24层),62.56㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-18,已购公房,2015-04-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
丰台,洋桥,100,32,425,61863元/平米,马家堡路8号院,2室1厅1厨1卫,高楼层 (共6层),68.7㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-06,已购公房,2009-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,洋桥,8,17,440,58902元/平米,马家堡路27号院,2室1厅1厨1卫,顶层 (共20层),74.7㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-18,已购公房,2002-10-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,洋桥,42,28,320,55944元/平米,洋桥西里,2室1厅1厨1卫,中楼层 (共6层),57.2㎡,暂无数据,48㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2003-07-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
丰台,洋桥,47,7,371,62988元/平米,马家堡33号院,3室1厅1厨1卫,中楼层 (共6层),58.9㎡,平层,55㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,商品房,2012-01-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,洋桥,54,28,630,61947元/平米,首座绿洲,3室1厅1厨1卫,中楼层 (共21层),101.7㎡,暂无数据,82.75㎡,塔楼,西南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-06-07,私产,2008-11-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,洋桥,88,29,425,57878元/平米,洋桥71号院,2室1厅1厨1卫,高楼层 (共18层),73.43㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-20,私产,2008-03-31,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
丰台,洋桥,11,1,387,61331元/平米,马家堡路29号院,2室1厅1厨1卫,顶层 (共6层),63.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-27,商品房,2012-07-31,普通住宅,满五年,共有,有抵押 60万元 公积金管理中心,已上传房本照片,1,null
丰台,洋桥,239,32,300,52761元/平米,海户西里34号院,1室1厅1厨1卫,底层 (共18层),56.86㎡,暂无数据,43.79㎡,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-15,私产,2001-11-06,普通住宅,满五年,非共有,有抵押 170万元 公司垫资,已上传房本照片,8,null
丰台,洋桥,14,0,400,61340元/平米,东丽温泉,1室1厅1厨1卫,高楼层 (共24层),65.21㎡,暂无数据,54.05㎡,塔楼,北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2010-01-13,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
丰台,洋桥,80,11,350,60933元/平米,洋桥北里,2室1厅1厨1卫,中楼层 (共6层),57.44㎡,暂无数据,暂无数据,板楼,西北,砖混结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-02,商品房,2010-05-21,普通住宅,满五年,共有,有抵押 20万元 业主自还,已上传房本照片,3,null
丰台,洋桥,192,14,370,57355元/平米,四路通17号院,2室1厅1厨1卫,顶层 (共6层),64.51㎡,暂无数据,暂无数据,板楼,东南,砖混结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-05-20,已购公房,2006-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
