城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,玉泉营,141,84,510,55768元/平米,三环新城7号院,2室1厅1厨1卫,高楼层 (共29层),91.45㎡,暂无数据,73.83㎡,板楼,南 北,钢混结构,简装,两梯六户,自供暖,有,70年,null,null,null,2017-07-02,一类经济适用房,2006-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,距离9号线科怡路站921米
丰台,玉泉营,95,54,340,54592元/平米,万年花城回迁,1室1厅1厨1卫,高楼层 (共20层),62.28㎡,平层,49.16㎡,塔楼,西,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-07-25,二类经济适用房,2011-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,玉泉营,83,9,360,50300元/平米,彩虹街区,2室1厅1厨1卫,底层 (共16层),71.57㎡,暂无数据,57.75㎡,塔楼,西,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2011-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
丰台,玉泉营,92,31,670,66980元/平米,万年花城二期,2室2厅1厨2卫,低楼层 (共11层),100.03㎡,暂无数据,83.12㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-26,私产,2008-04-02,普通住宅,满五年,非共有,有抵押 40万元 光大银行 业主自还,已上传房本照片,1,null
丰台,玉泉营,198,57,880,67083元/平米,万年花城三期,3室1厅1厨2卫,高楼层 (共16层),131.18㎡,暂无数据,110.42㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-01,商品房,2009-06-11,普通住宅,满五年,非共有,有抵押 180万元 中信银行 客户偿还,已上传房本照片,7,null
丰台,玉泉营,103,28,288,57948元/平米,郑王坟141号院,2室1厅1厨1卫,底层 (共6层),49.7㎡,暂无数据,49.7㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-25,已购公房,1998-01-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,玉泉营,68,45,650,57609元/平米,三环新城8号院,2室1厅1厨2卫,高楼层 (共22层),112.83㎡,暂无数据,92.26㎡,塔楼,南,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-08-05,一类经济适用房,2008-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,玉泉营,146,106,500,67732元/平米,万年花城二期,2室1厅1厨1卫,低楼层 (共27层),73.82㎡,平层,61.12㎡,塔楼,东 北,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-06-26,商品房,2008-09-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,玉泉营,48,73,668,64697元/平米,鸿业兴园一区,2室2厅1厨2卫,高楼层 (共16层),103.25㎡,暂无数据,86.93㎡,板塔结合,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-06-24,私产,2008-01-07,普通住宅,满五年,非共有,有抵押 10万元 业主自还,已上传房本照片,15,null
丰台,玉泉营,32,44,698,57925元/平米,三环新城6号院,3室2厅1厨2卫,高楼层 (共22层),120.5㎡,暂无数据,97.64㎡,板塔结合,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-07-29,一类经济适用房,2005-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
丰台,玉泉营,37,66,675,56623元/平米,三环新城6号院,3室2厅1厨2卫,低楼层 (共22层),119.21㎡,暂无数据,96.59㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-07-30,一类经济适用房,2005-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,玉泉营,20,23,530,57892元/平米,三环新城6号院,2室1厅1厨1卫,顶层 (共22层),91.55㎡,暂无数据,74.46㎡,板塔结合,东 南 北,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-08-17,一类经济适用房,2007-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,玉泉营,39,16,540,57934元/平米,三环新城7号院,2室1厅1厨1卫,高楼层 (共29层),93.21㎡,平层,75.16㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-27,商品房,2010-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,玉泉营,78,55,520,57105元/平米,汇丰家园,2室2厅1厨2卫,低楼层 (共6层),91.06㎡,暂无数据,82.87㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-25,商品房,2010-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,22,null
丰台,玉泉营,76,23,660,56118元/平米,三环新城7号院,3室1厅1厨1卫,中楼层 (共29层),117.61㎡,暂无数据,94.71㎡,板塔结合,南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-06-26,一类经济适用房,2006-03-01,普通住宅,满五年,非共有,有抵押 3万元 民生银行 业主自还,已上传房本照片,5,null
丰台,玉泉营,62,41,305,57875元/平米,郑王坟141号院,2室1厅1厨1卫,底层 (共5层),52.7㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,2011-09-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,玉泉营,36,65,450,67406元/平米,万年花城三期,1室1厅1厨1卫,中楼层 (共20层),66.76㎡,暂无数据,53.23㎡,板塔结合,西北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-20,商品房,2008-09-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,玉泉营,59,36,500,66890元/平米,万年花城四期,1室1厅1厨1卫,中楼层 (共27层),74.75㎡,暂无数据,60.81㎡,塔楼,北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-12,商品房,2012-07-27,普通住宅,满五年,非共有,有抵押 70万元 建设银行 客户偿还,已上传房本照片,5,null
丰台,玉泉营,53,25,550,55299元/平米,三环新城7号院,2室1厅1厨1卫,高楼层 (共29层),99.46㎡,暂无数据,80.09㎡,板塔结合,南 北,钢混结构,简装,两梯五户,自供暖,有,70年,null,null,null,2017-07-30,商品房,2006-03-24,普通住宅,满五年,共有,无抵押,已上传房本照片,9,null
丰台,玉泉营,37,17,800,62760元/平米,鸿业兴园一区,3室2厅1厨2卫,低楼层 (共21层),127.47㎡,暂无数据,104.48㎡,塔楼,东南,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-08-21,私产,2007-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,玉泉营,54,12,545,57459元/平米,三环新城7号院,2室1厅1厨1卫,低楼层 (共29层),94.85㎡,暂无数据,76.38㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-24,商品房,2010-11-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
丰台,玉泉营,30,26,510,52850元/平米,万年花城回迁,1室1厅1厨1卫,顶层 (共21层),96.5㎡,暂无数据,80.61㎡,塔楼,西,钢混结构,简装,三梯八户,自供暖,有,70年,null,null,null,2017-05-12,二类经济适用房,2012-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,玉泉营,137,82,625,57678元/平米,三环新城8号院,2室2厅1厨2卫,低楼层 (共22层),108.36㎡,暂无数据,87.24㎡,板楼,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-05-25,一类经济适用房,2009-02-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,玉泉营,109,37,730,66563元/平米,万年花城三期,2室1厅1厨1卫,底层 (共14层),109.67㎡,暂无数据,91.65㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-01,私产,2008-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,玉泉营,43,46,720,57980元/平米,三环新城8号院,3室2厅1厨2卫,低楼层 (共22层),124.18㎡,暂无数据,99.92㎡,板楼,南,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-02-23,商品房,2015-01-29,普通住宅,满两年,非共有,有抵押 140万元 中国银行 客户偿还,已上传房本照片,4,null
丰台,玉泉营,68,55,690,56828元/平米,三环新城8号院,3室2厅1厨2卫,高楼层 (共22层),121.42㎡,平层,98.81㎡,板楼,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-06-04,一类经济适用房,2007-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,玉泉营,74,26,658,57193元/平米,三环新城7号院,3室1厅1厨2卫,低楼层 (共29层),115.05㎡,暂无数据,92.77㎡,板塔结合,南 西,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-07-23,商品房,2012-08-03,普通住宅,满五年,非共有,有抵押 65万元 建设银行 业主自还,已上传房本照片,5,null
丰台,玉泉营,70,10,330,63707元/平米,万年花城四期,1室0厅1厨1卫,低楼层 (共24层),51.8㎡,暂无数据,41.83㎡,板塔结合,北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2011-03-03,普通住宅,满五年,非共有,有抵押 45万元,已上传房本照片,1,null
丰台,玉泉营,19,6,800,60155元/平米,怡海花园恒丰园,3室1厅1厨1卫,高楼层 (共22层),132.99㎡,暂无数据,111.3㎡,塔楼,东,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-08-18,私产,2009-04-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,玉泉营,7,5,700,66351元/平米,怡海花园恒丰园,3室1厅1厨1卫,低楼层 (共6层),105.5㎡,平层,91.01㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2009-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,玉泉营,22,3,565,56979元/平米,三环新城7号院,2室1厅1厨1卫,中楼层 (共29层),99.16㎡,平层,80.06㎡,板楼,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-09-01,一类经济适用房,2007-01-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,距离10号线纪家庙站977米
丰台,玉泉营,13,4,678,57988元/平米,三环新城7号院,3室1厅1厨2卫,中楼层 (共29层),116.92㎡,暂无数据,94.15㎡,板塔结合,南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-08-27,一类经济适用房,2005-11-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,玉泉营,40,35,598,67916元/平米,万年花城四期,2室1厅1厨1卫,高楼层 (共27层),88.05㎡,暂无数据,71.63㎡,塔楼,东 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-10,商品房,2010-01-15,普通住宅,满五年,非共有,有抵押 140万元 中信银行 客户偿还,已上传房本照片,3,null
丰台,玉泉营,64,31,599.9,57999元/平米,三环新城6号院,2室1厅1厨1卫,中楼层 (共17层),103.42㎡,暂无数据,85.76㎡,塔楼,南,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-06-16,一类经济适用房,2006-09-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,玉泉营,13,0,694,57920元/平米,三环新城6号院,3室1厅1厨1卫,中楼层 (共21层),119.82㎡,暂无数据,93.88㎡,板塔结合,南,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-08-30,一类经济适用房,2009-03-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,玉泉营,0,0,420,48940元/平米,鸿业兴园二区,2室1厅1厨1卫,高楼层 (共21层),85.82㎡,暂无数据,69.54㎡,塔楼,东南,钢混结构,简装,一梯十户,自供暖,暂无数据,40年,null,null,null,2017-09-10,限价商品房,2012-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,玉泉营,1,0,600,62722元/平米,鸿业兴园一区,3室1厅1厨1卫,高楼层 (共21层),95.66㎡,暂无数据,77.2㎡,塔楼,西北,钢混结构,简装,两梯八户,自供暖,有,70年,null,null,null,2017-09-03,私产,2008-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
