城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,看丹桥,204,52,345,56098元/平米,新华街七里,2室1厅1厨1卫,中楼层 (共24层),61.5㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-12,已购公房,2000-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,距离9号线丰台南路站886米
丰台,看丹桥,87,27,310,48973元/平米,新华街六里,1室1厅1厨1卫,高楼层 (共6层),63.3㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-28,商品房,2013-12-06,普通住宅,满两年,非共有,有抵押 100万元 交通银行 业主自还,已上传房本照片,7,null
丰台,看丹桥,268,146,350,54859元/平米,新华街六里,2室1厅1厨1卫,中楼层 (共6层),63.8㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-02,商品房,2011-02-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,看丹桥,333,42,248,64921元/平米,韩庄子二里,1室1厅1厨1卫,顶层 (共6层),38.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-05-14,已购公房,2000-02-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,看丹桥,159,54,380,55297元/平米,新华街一里,3室1厅1厨1卫,低楼层 (共6层),68.72㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-03,已购公房,2000-11-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,看丹桥,23,5,650,54311元/平米,韩庄子小区,3室1厅1厨1卫,中楼层 (共22层),119.68㎡,平层,95.94㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-04,商品房,2010-06-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,看丹桥,43,7,340,55285元/平米,新华街七里,2室1厅1厨1卫,高楼层 (共24层),61.5㎡,暂无数据,暂无数据,塔楼,西 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-04,已购公房,2000-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,看丹桥,17,6,510,54969元/平米,华林家园,2室1厅1厨1卫,低楼层 (共6层),92.78㎡,暂无数据,77.34㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,私产,2004-09-28,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
丰台,看丹桥,184,41,378,57887元/平米,新华街七里,2室1厅1厨1卫,中楼层 (共24层),65.3㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-23,已购公房,2000-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,看丹桥,80,43,420,51176元/平米,新华街三里,2室1厅1厨1卫,高楼层 (共14层),82.07㎡,暂无数据,69.24㎡,板塔结合,东 西,钢混结构,其他,一梯六户,集中供暖,有,70年,null,null,null,2017-06-15,二类经济适用房,2011-10-20,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
