城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,科技园区,43,42,638,60646元/平米,怡海花园富泽园,2室1厅1厨1卫,中楼层 (共30层),105.2㎡,暂无数据,85.75㎡,塔楼,南 西,钢混结构,简装,三梯十四户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2009-03-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,22,距离9号线科怡路站572米
丰台,科技园区,82,32,630,69246元/平米,中海御鑫阁,2室1厅1厨1卫,顶层 (共21层),90.98㎡,平层,61.54㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2013-04-24,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
丰台,科技园区,91,52,520,43893元/平米,城市经典,3室1厅1厨1卫,低楼层 (共18层),118.47㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯十一户,集中供暖,有,70年,null,null,null,2017-06-20,商品房,2010-09-08,普通住宅,满五年,共有,无抵押,已上传房本照片,6,null
丰台,科技园区,109,22,750,43193元/平米,富锦嘉园四区,4室2厅1厨2卫,高楼层 (共7层),173.64㎡,暂无数据,155.61㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-13,私产,2007-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,科技园区,20,11,532,59836元/平米,益辰欣园,2室1厅1厨2卫,中楼层 (共11层),88.91㎡,平层,77.66㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-09-03,私产,2007-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,科技园区,44,28,1038,66942元/平米,怡海花园恒泰园,3室1厅1厨2卫,中楼层 (共29层),155.06㎡,暂无数据,129.78㎡,塔楼,南 西 北,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-07-17,商品房,2011-08-26,普通住宅,满五年,非共有,有抵押 440万元 客户偿还,已上传房本照片,7,null
丰台,科技园区,92,21,299,34719元/平米,长丰园一区,2室1厅1厨1卫,高楼层 (共6层),86.12㎡,暂无数据,75.79㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,私产,2004-06-30,普通住宅,满五年,非共有,有抵押 2万元 工商银行大兴支行 业主自还,已上传房本照片,5,null
丰台,科技园区,28,21,638,62808元/平米,怡海花园富润园,2室2厅1厨1卫,中楼层 (共29层),101.58㎡,暂无数据,84.79㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2009-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
丰台,科技园区,91,36,730,44651元/平米,富锦嘉园四区,4室2厅1厨2卫,高楼层 (共7层),163.49㎡,暂无数据,147.15㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-14,私产,2004-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,科技园区,67,11,256,69452元/平米,中海御鑫阁,1室0厅1厨1卫,低楼层 (共20层),36.86㎡,平层,24.36㎡,板楼,东,钢混结构,精装,四梯二十三户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2014-09-19,普通住宅,满两年,共有,有抵押 70万元 公积金管理中心 客户偿还,已上传房本照片,0,null
