城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,花乡,99,40,444,46969元/平米,银地家园,2室1厅1厨1卫,高楼层 (共13层),94.53㎡,暂无数据,71.6㎡,塔楼,东南,钢混结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-05-17,私产,2005-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,花乡,138,24,334,49993元/平米,银地家园,2室1厅1厨1卫,中楼层 (共7层),66.81㎡,暂无数据,58.57㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,商品房,2015-04-02,普通住宅,满两年,共有,暂无数据,已上传房本照片,16,null
丰台,花乡,62,11,429,47752元/平米,宜兰园,2室1厅1厨1卫,底层 (共6层),89.84㎡,暂无数据,78.94㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,私产,2004-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,花乡,92,44,330,49446元/平米,银地家园,2室1厅1厨1卫,底层 (共7层),66.74㎡,暂无数据,58.51㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2005-07-01,普通住宅,满五年,非共有,暂无数据,已上传房本照片,23,null
丰台,花乡,43,36,513,49893元/平米,天伦锦城,2室1厅1厨1卫,中楼层 (共13层),102.82㎡,暂无数据,86.38㎡,板楼,东南,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-27,商品房,2009-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,花乡,158,109,455,49819元/平米,天伦锦城,2室1厅1厨1卫,低楼层 (共9层),91.33㎡,平层,77.63㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2011-11-16,普通住宅,满五年,共有,无抵押,已上传房本照片,12,null
丰台,花乡,58,10,340,49868元/平米,银地家园,2室1厅1厨1卫,中楼层 (共7层),68.18㎡,暂无数据,58.72㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,私产,2003-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,花乡,36,31,465,46519元/平米,天伦锦城,2室1厅1厨1卫,中楼层 (共13层),99.96㎡,平层,81.95㎡,板楼,东 西,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-10,私产,2006-08-14,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
丰台,花乡,49,32,530,47799元/平米,天伦锦城,3室1厅1厨1卫,高楼层 (共13层),110.88㎡,暂无数据,93.66㎡,板楼,西南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-10,商品房,2009-06-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,花乡,84,30,428,48953元/平米,银地家园,3室1厅1厨1卫,底层 (共7层),87.43㎡,暂无数据,75.64㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-29,私产,2004-01-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
