城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,草桥,162,89,856,77974元/平米,玺萌公馆,2室2厅1厨2卫,底层 (共6层),109.78㎡,暂无数据,95.75㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-27,商品房,2012-07-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,距离4号线角门西站1013米
丰台,草桥,31,36,458,71317元/平米,草桥欣园三区,2室1厅1厨1卫,底层 (共6层),64.22㎡,暂无数据,44.06㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2015-09-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,28,null
丰台,草桥,55,42,620,55785元/平米,南珠苑,3室1厅1厨2卫,高楼层 (共18层),111.14㎡,暂无数据,89.35㎡,塔楼,西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-30,商品房,2003-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,草桥,31,27,458,54962元/平米,玉安园,2室1厅1厨1卫,高楼层 (共18层),83.33㎡,平层,67.21㎡,塔楼,西 北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-07,商品房,2012-09-18,普通住宅,满两年,共有,有抵押 80万元 招行 客户偿还,已上传房本照片,20,null
丰台,草桥,39,34,595,53536元/平米,南珠苑,3室1厅1厨2卫,中楼层 (共18层),111.14㎡,暂无数据,89.35㎡,塔楼,西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2005-01-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,草桥,65,32,380,55743元/平米,风景club,1室1厅1厨1卫,中楼层 (共11层),68.17㎡,暂无数据,47.79㎡,板楼,南 北,钢混结构,简装,四梯两户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2017-02-21,普通住宅,暂无数据,非共有,有抵押 100万元 工行 客户偿还,已上传房本照片,32,null
丰台,草桥,10,1,2480,73882元/平米,玺萌公馆,6室3厅1厨3卫,顶层 (共6层),335.67㎡,暂无数据,296.03㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2010-10-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,草桥,84,53,616,74948元/平米,城市涧,2室1厅1厨1卫,中楼层 (共11层),82.19㎡,平层,64.05㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-10,商品房,2012-06-19,普通住宅,满五年,非共有,有抵押 350万元 民生银行 业主自还,已上传房本照片,10,null
丰台,草桥,19,60,1226,79979元/平米,恋日花都,3室1厅1厨2卫,中楼层 (共16层),153.29㎡,暂无数据,127.75㎡,板楼,东 南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-01,私产,2007-03-26,普通住宅,满五年,非共有,有抵押 350万元 客户偿还,已上传房本照片,3,null
丰台,草桥,120,91,695,69905元/平米,草桥东路16号楼,3室1厅1厨1卫,高楼层 (共16层),99.42㎡,平层,74.7㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-07-17,已购公房,2004-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,草桥,17,8,420,60984元/平米,南珠苑,1室1厅1厨1卫,低楼层 (共18层),68.87㎡,平层,55.37㎡,塔楼,南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2009-04-10,普通住宅,满五年,共有,有抵押 25万元 中国工商银行海淀支行 业主自还,已上传房本照片,8,null
丰台,草桥,301,203,1650,61277元/平米,恋日嘉园一期,5室2厅1厨4卫,顶层 (共13层),269.27㎡,跃层,227.67㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2016-03-21,商品房,2003-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,草桥,499,78,1850,65348元/平米,恋日嘉园一期,5室2厅1厨3卫,中楼层 (共13层),283.1㎡,跃层,239.36㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-03-03,商品房,2010-10-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,草桥,142,133,1350,73505元/平米,玺萌公馆,4室2厅1厨2卫,中楼层 (共6层),183.66㎡,暂无数据,155.8㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-06-25,商品房,2010-07-15,普通住宅,满五年,非共有,有抵押,已上传房本照片,7,null
丰台,草桥,50,30,421,54968元/平米,玉安园,2室1厅1厨1卫,低楼层 (共17层),76.59㎡,暂无数据,50㎡,塔楼,西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-06,已购公房,2005-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,草桥,60,21,670,58720元/平米,草桥欣园三区,3室2厅1厨2卫,顶层 (共6层),114.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-09,商品房,2009-11-13,普通住宅,满五年,共有,有抵押 100万元 邮储 业主自还,已上传房本照片,0,null
丰台,草桥,122,81,1150,66555元/平米,夏季星空,4室3厅1厨2卫,高楼层 (共6层),172.79㎡,暂无数据,158.5㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-10,商品房,2006-03-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,草桥,3,2,1700,52311元/平米,恋日嘉园二期,5室2厅1厨3卫,底层 (共18层),324.98㎡,暂无数据,272.5㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2010-03-22,普通住宅,满五年,非共有,有抵押 900万元 担保公司 业主自还,已上传房本照片,0,null
