城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,菜户营,53,44,440,97087元/平米,乐城,1室1厅1厨1卫,中楼层 (共24层),45.32㎡,平层,37.79㎡,塔楼,北,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-07-16,一类经济适用房,2006-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,菜户营,210,31,930,66557元/平米,乐城,3室1厅1厨2卫,顶层 (共24层),139.73㎡,暂无数据,116.37㎡,板塔结合,西南,钢混结构,简装,三梯九户,自供暖,有,70年,null,null,null,2017-07-12,一类经济适用房,2006-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,菜户营,35,82,498,81213元/平米,金泰城丽湾,1室1厅1厨1卫,低楼层 (共18层),61.32㎡,暂无数据,48.78㎡,板楼,东北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-28,商品房,2013-03-25,普通住宅,满两年,非共有,暂无数据,已上传房本照片,10,null
丰台,菜户营,20,21,580,67607元/平米,万泉寺东路9号院,2室1厅1厨1卫,低楼层 (共25层),85.79㎡,暂无数据,71.89㎡,塔楼,东,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-07-13,二类经济适用房,2011-05-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,菜户营,97,48,695,87257元/平米,顺驰蓝调,2室1厅1厨1卫,低楼层 (共20层),79.65㎡,平层,67.9㎡,板塔结合,东北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-04-08,商品房,2008-10-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,菜户营,30,59,548,89910元/平米,金泰城丽湾,1室1厅1厨1卫,高楼层 (共21层),60.95㎡,暂无数据,48.62㎡,塔楼,西 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-28,商品房,2009-06-17,普通住宅,满五年,共有,有抵押 80万元 业主自还,已上传房本照片,11,null
丰台,菜户营,37,9,890,84113元/平米,乐城,3室1厅1厨1卫,中楼层 (共24层),105.81㎡,暂无数据,88.12㎡,板塔结合,东南,钢混结构,精装,三梯十三户,自供暖,有,70年,null,null,null,2017-09-07,一类经济适用房,2006-07-04,普通住宅,满五年,非共有,有抵押 17万元 中国农业银行 业主自还,已上传房本照片,9,null
丰台,菜户营,14,8,1260,90258元/平米,金泰城丽湾,3室1厅1厨2卫,底层 (共21层),139.6㎡,暂无数据,111.35㎡,塔楼,东 南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-09-05,商品房,2010-07-16,普通住宅,满五年,非共有,有抵押 50万元 银行 客户偿还,已上传房本照片,8,null
丰台,菜户营,91,119,650,64877元/平米,天伦北里,3室1厅1厨1卫,顶层 (共19层),100.19㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-01-17,商品房,2009-08-05,普通住宅,满五年,非共有,有抵押,已上传房本照片,10,null
丰台,菜户营,50,40,615,67140元/平米,万润风景,2室1厅1厨1卫,低楼层 (共12层),91.6㎡,暂无数据,71.9㎡,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-19,商品房,2012-07-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
