城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,蒲黄榆,373,142,478,59342元/平米,蒲安东里,3室1厅1厨1卫,低楼层 (共18层),80.55㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-19,已购公房,2008-06-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,距离5号线刘家窑站519米
丰台,蒲黄榆,76,68,800,47293元/平米,恒松园,3室1厅1厨2卫,中楼层 (共23层),169.16㎡,暂无数据,暂无数据,塔楼,东南 北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2016-12-16,私产,2004-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,蒲黄榆,103,60,420,59022元/平米,蒲安西里,2室1厅1厨1卫,中楼层 (共6层),71.16㎡,暂无数据,暂无数据,板楼,西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-13,商品房,2010-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,蒲黄榆,870,104,298,55390元/平米,蒲黄榆路,2室1厅1厨1卫,顶层 (共6层),53.8㎡,暂无数据,45㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-05,已购公房,2000-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,蒲黄榆,67,45,347,55959元/平米,恒松园,1室1厅1厨1卫,低楼层 (共22层),62.01㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2017-03-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,15,null
丰台,蒲黄榆,740,31,281,61894元/平米,刘家窑南里,1室1厅1厨1卫,顶层 (共6层),45.4㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-17,商品房,2015-05-19,普通住宅,满两年,非共有,有抵押 80万元 客户偿还,已上传房本照片,1,null
丰台,蒲黄榆,3,14,438,60842元/平米,刘家窑东里,2室1厅1厨1卫,低楼层 (共16层),71.99㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯七户,集中供暖,有,70年,null,null,null,2017-08-25,已购公房,2001-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,蒲黄榆,124,28,360,62576元/平米,刘家窑南里,2室1厅1厨1卫,高楼层 (共6层),57.53㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-04,已购公房,2010-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,蒲黄榆,159,51,375,66821元/平米,南三环中路15号院,2室1厅1厨1卫,高楼层 (共18层),56.12㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-25,商品房,2009-04-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
丰台,蒲黄榆,155,20,347,59931元/平米,蒲黄榆路,2室1厅1厨1卫,高楼层 (共6层),57.9㎡,暂无数据,50㎡,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-11,已购公房,1998-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
