城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,西红门,261,191,418,49514元/平米,兴海家园星苑,2室1厅1厨1卫,低楼层 (共6层),84.42㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-04-18,私产,2008-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
丰台,西红门,204,83,330,40918元/平米,宏福园,2室1厅1厨1卫,高楼层 (共6层),80.65㎡,暂无数据,暂无数据,板楼,东南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-19,私产,2008-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
丰台,西红门,9,3,460,43491元/平米,宏大北园,2室2厅1厨1卫,高楼层 (共16层),105.77㎡,暂无数据,87.12㎡,板楼,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-13,私产,2008-06-12,普通住宅,满五年,非共有,有抵押 70万元 建行 业主自还,已上传房本照片,1,null
丰台,西红门,323,35,310,43909元/平米,西宏苑,2室1厅1厨1卫,高楼层 (共6层),70.6㎡,暂无数据,62㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-19,已购公房,2004-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
丰台,西红门,44,61,565,51821元/平米,兴海家园星苑,3室1厅1厨1卫,低楼层 (共6层),109.03㎡,平层,93.97㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-12,商品房,2010-05-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,西红门,60,67,495,59675元/平米,鸿坤理想城曦望山,2室1厅1厨1卫,高楼层 (共18层),82.95㎡,暂无数据,65.96㎡,板楼,南,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-06-27,商品房,2016-04-25,普通住宅,暂无数据,非共有,有抵押 80万元 农行 客户偿还,已上传房本照片,9,null
丰台,西红门,120,75,370,40095元/平米,同兴园,3室1厅1厨1卫,高楼层 (共6层),92.28㎡,暂无数据,85㎡,板楼,南 西 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-09,商品房,2012-03-26,普通住宅,满五年,共有,有抵押 38万元 建行 客户偿还,已上传房本照片,8,null
丰台,西红门,255,89,300,42212元/平米,同兴园,2室1厅1厨1卫,顶层 (共6层),71.07㎡,平层,63.15㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-26,私产,2002-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,西红门,106,81,340,42157元/平米,宏福园,2室1厅1厨1卫,底层 (共6层),80.65㎡,平层,暂无数据,板楼,东南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-03,私产,2005-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,西红门,91,58,435,45944元/平米,宏大南园,2室2厅1厨1卫,高楼层 (共9层),94.68㎡,暂无数据,78.51㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-03-22,商品房,2007-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
