城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,西罗园,140,42,730,57494元/平米,京品小区,3室1厅1厨2卫,底层 (共15层),126.97㎡,暂无数据,104.85㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-13,商品房,2011-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,距离14号线(东段)永定门外站644米
丰台,西罗园,36,25,755,61860元/平米,京品小区,3室1厅1厨2卫,高楼层 (共15层),122.05㎡,暂无数据,100.79㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-12,私产,2006-08-01,普通住宅,满五年,非共有,有抵押 12万元 工商银行 业主自还,已上传房本照片,6,null
丰台,西罗园,161,39,315,57904元/平米,西罗园南里,2室1厅1厨1卫,底层 (共18层),54.4㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-22,商品房,2009-02-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,西罗园,45,40,820,59963元/平米,珠江骏景北区,3室1厅1厨2卫,中楼层 (共11层),136.75㎡,暂无数据,112㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-07-03,私产,2006-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,西罗园,25,3,480,68405元/平米,悠胜美苑,1室1厅1厨2卫,顶层 (共20层),70.17㎡,暂无数据,53.22㎡,板塔结合,东北,钢混结构,精装,两梯十户,自供暖,有,70年,null,null,null,2017-09-04,私产,2005-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,西罗园,41,24,495,60916元/平米,西罗园二区,3室1厅1厨1卫,高楼层 (共24层),81.26㎡,暂无数据,61㎡,塔楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-27,已购公房,2002-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,西罗园,45,36,370,58591元/平米,西罗园四区,2室1厅1厨1卫,中楼层 (共5层),63.15㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-07-17,已购公房,2013-06-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
丰台,西罗园,8,24,459,60000元/平米,西罗园二区,3室1厅1厨1卫,低楼层 (共24层),76.5㎡,暂无数据,暂无数据,塔楼,东 西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2013-09-23,普通住宅,满两年,非共有,有抵押 5万元 公积金 业主自还,已上传房本照片,12,null
丰台,西罗园,208,26,560,71989元/平米,建予园,2室1厅1厨1卫,中楼层 (共16层),77.79㎡,平层,63.41㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-24,私产,2004-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,西罗园,40,53,482,57884元/平米,西罗园一区,3室1厅1厨1卫,中楼层 (共22层),83.27㎡,平层,58㎡,塔楼,西南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-23,已购公房,2000-11-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
丰台,西罗园,77,87,356.9,57985元/平米,西罗园南里,2室1厅1厨1卫,低楼层 (共6层),61.55㎡,平层,暂无数据,板楼,南 北,砖混结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-06-06,已购公房,2010-10-25,普通住宅,满五年,共有,无抵押,已上传房本照片,9,null
丰台,西罗园,34,3,360,55892元/平米,华润小区,2室1厅1厨1卫,高楼层 (共6层),64.41㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯六户,集中供暖,无,70年,null,null,null,2017-08-24,商品房,2012-07-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,西罗园,37,2,702,66921元/平米,西革新里112号院,2室2厅1厨1卫,高楼层 (共19层),104.9㎡,暂无数据,87.02㎡,塔楼,南,钢混结构,精装,两梯十户,自供暖,有,70年,null,null,null,2017-08-25,二类经济适用房,2005-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,西罗园,260,31,372,64831元/平米,西革新里124号,2室1厅1厨1卫,顶层 (共6层),57.38㎡,暂无数据,40.8㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-30,已购公房,2000-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,西罗园,22,2,720,68098元/平米,建予园,2室1厅1厨1卫,低楼层 (共16层),105.73㎡,暂无数据,86.19㎡,塔楼,南,钢混结构,其他,两梯十户,集中供暖,有,70年,null,null,null,2017-09-02,私产,2005-11-24,普通住宅,满五年,共有,暂无数据,已上传房本照片,2,null
丰台,西罗园,43,26,585,57852元/平米,珠江骏景中区,2室1厅1厨1卫,低楼层 (共24层),101.12㎡,暂无数据,81.23㎡,塔楼,南 北,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-06-08,私产,2004-11-29,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
丰台,西罗园,75,9,816,116289元/平米,悠胜美苑,3室2厅1厨2卫,中楼层 (共20层),70.17㎡,暂无数据,53.22㎡,板塔结合,东北,钢混结构,精装,两梯十户,自供暖,有,70年,null,null,null,2017-07-24,商品房,2009-06-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,西罗园,89,51,375,60058元/平米,西罗园二区,2室1厅1厨1卫,中楼层 (共18层),62.44㎡,暂无数据,50㎡,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-05-22,已购公房,2013-06-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
丰台,西罗园,135,70,820,53040元/平米,珠江骏景中区,3室2厅1厨2卫,顶层 (共11层),154.6㎡,暂无数据,120.18㎡,板塔结合,东南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-03,商品房,2009-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,西罗园,97,10,560,72026元/平米,建予园,2室1厅1厨1卫,中楼层 (共16层),77.75㎡,暂无数据,63.41㎡,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2009-06-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,西罗园,211,22,350,53191元/平米,管村26号院,2室1厅1厨1卫,地下室 (共6层),65.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-13,已购公房,1999-01-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,西罗园,18,2,475,66461元/平米,西革新里112号院,2室1厅1厨1卫,高楼层 (共19层),71.47㎡,平层,58.56㎡,塔楼,东南,钢混结构,简装,两梯十户,自供暖,有,70年,null,null,null,2017-08-21,私产,2007-07-25,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
丰台,西罗园,5,3,530,60125元/平米,宝汇苑,2室1厅1厨1卫,高楼层 (共24层),88.15㎡,暂无数据,85㎡,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2010-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,西罗园,221,11,895,66736元/平米,望陶园小区,3室1厅1厨1卫,高楼层 (共18层),134.11㎡,暂无数据,108.19㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-15,商品房,2005-12-24,普通住宅,满五年,非共有,有抵押 15万元 中行 业主自还,已上传房本照片,0,null
丰台,西罗园,146,45,355,61955元/平米,西罗园三区,2室1厅1厨1卫,中楼层 (共22层),57.3㎡,暂无数据,50㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-08,商品房,2011-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,西罗园,23,7,510,58366元/平米,宝汇苑,2室1厅1厨1卫,高楼层 (共24层),87.38㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-08,央产房,2006-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,西罗园,54,10,760,54802元/平米,珠江骏景中区,3室2厅1厨2卫,高楼层 (共11层),138.68㎡,暂无数据,108.86㎡,板塔结合,西南,钢混结构,其他,一梯四户,集中供暖,有,70年,null,null,null,2017-07-29,私产,2005-11-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
