城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,角门,138,127,355,53902元/平米,角门2号院,1室1厅1厨1卫,低楼层 (共14层),65.86㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯四户,暂无数据,暂无数据,40年,null,null,null,2017-06-19,商品房,2011-11-07,普通住宅,满五年,非共有,有抵押 160万元 哈尔滨银行 客户偿还,已上传房本照片,1,距离10号线角门东站1075米
丰台,角门,42,5,422,54876元/平米,角门东里,3室1厅1厨1卫,中楼层 (共6层),76.9㎡,平层,1㎡,板楼,南 西 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,2001-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,角门,125,71,640,61462元/平米,和园居,2室1厅1厨1卫,低楼层 (共14层),104.13㎡,平层,83.92㎡,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2016-12-11,商品房,2009-03-17,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
丰台,角门,136,33,870,52606元/平米,怡然家园6号院,4室3厅1厨2卫,高楼层 (共7层),165.38㎡,暂无数据,152.72㎡,板楼,南 北,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2016-11-24,一类经济适用房,2006-09-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,角门,12,7,399.6,54996元/平米,角门东里,3室1厅1厨1卫,顶层 (共6层),72.66㎡,平层,暂无数据,板楼,东 南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-08,私产,1998-03-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,角门,40,5,442,74561元/平米,阳光花园,1室1厅1厨1卫,中楼层 (共12层),59.28㎡,暂无数据,48.14㎡,板楼,东北,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2011-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,角门,65,11,460,52589元/平米,角门甲8号院,3室1厅1厨1卫,低楼层 (共21层),87.47㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-06,已购公房,2002-01-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,角门,16,3,747,59957元/平米,和园居,2室2厅1厨2卫,顶层 (共14层),124.59㎡,暂无数据,100.41㎡,板楼,南,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-05-20,私产,2007-11-29,普通住宅,满五年,非共有,有抵押 100万元 银行 业主自还,已上传房本照片,1,null
丰台,角门,99,20,376,54485元/平米,角门东里,2室1厅1厨1卫,顶层 (共6层),69.01㎡,平层,暂无数据,板楼,东 西,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-12,商品房,2014-02-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
丰台,角门,72,8,370,52842元/平米,角门东里,3室1厅1厨1卫,高楼层 (共6层),70.02㎡,平层,60㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-09,已购公房,2017-08-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
丰台,角门,43,3,380,54559元/平米,角门甲120号院,3室1厅1厨1卫,顶层 (共6层),69.65㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-07-15,已购公房,2002-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,角门,136,14,400,51420元/平米,怡然家园5号院,2室1厅1厨1卫,顶层 (共6层),77.79㎡,暂无数据,70.1㎡,板楼,南 北,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-06-17,一类经济适用房,2006-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,角门,14,2,597,52987元/平米,怡然家园6号院,2室1厅1厨1卫,中楼层 (共14层),112.67㎡,暂无数据,87.44㎡,板楼,南 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-07-13,一类经济适用房,2012-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,角门,59,2,260,60748元/平米,角门甲120号院,1室1厅1厨1卫,高楼层 (共6层),42.8㎡,暂无数据,38㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,商品房,2003-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,角门,279,55,336,54929元/平米,司达小区,2室1厅1厨1卫,顶层 (共6层),61.17㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-22,已购公房,2013-04-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
丰台,角门,146,17,299,54562元/平米,角门东里,2室1厅1厨1卫,顶层 (共6层),54.8㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-24,已购公房,2010-07-26,普通住宅,满五年,共有,无抵押,已上传房本照片,15,null
丰台,角门,50,5,360,56153元/平米,杏林园,2室2厅1厨1卫,高楼层 (共18层),64.11㎡,暂无数据,58㎡,塔楼,南,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-08-15,商品房,2009-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
