城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,赵公口,95,39,360,43499元/平米,日新家园,2室1厅1厨1卫,底层 (共14层),82.76㎡,暂无数据,60.41㎡,塔楼,南,钢混结构,简装,两梯二十户,集中供暖,有,70年,null,null,null,2017-08-28,一类经济适用房,2007-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,距离10号线石榴庄站1155米
丰台,赵公口,142,153,550,60854元/平米,彩虹城一区,2室1厅1厨1卫,高楼层 (共22层),90.38㎡,暂无数据,71.09㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-02,商品房,2009-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,23,null
丰台,赵公口,216,35,432,49815元/平米,康泽园,2室1厅1厨1卫,低楼层 (共20层),86.72㎡,暂无数据,67.31㎡,塔楼,西 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-10,商品房,2010-11-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,赵公口,11,15,467,51976元/平米,顶秀欣园西苑,2室2厅1厨1卫,高楼层 (共22层),89.85㎡,暂无数据,73.68㎡,塔楼,西南,钢混结构,精装,三梯十一户,集中供暖,有,70年,null,null,null,2017-09-04,一类经济适用房,2004-06-30,普通住宅,满五年,非共有,有抵押 40万元 业主自还,已上传房本照片,15,null
丰台,赵公口,26,14,476,51948元/平米,顶秀欣园西苑,2室1厅1厨1卫,低楼层 (共22层),91.63㎡,暂无数据,74.15㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-30,一类经济适用房,2003-10-10,普通住宅,满五年,非共有,暂无数据,已上传房本照片,9,null
丰台,赵公口,59,18,450,54885元/平米,光彩家园,2室1厅1厨1卫,中楼层 (共20层),81.99㎡,暂无数据,65.34㎡,塔楼,西 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2005-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
丰台,赵公口,24,5,680,48094元/平米,康泽园,3室1厅1厨2卫,中楼层 (共22层),141.39㎡,暂无数据,120.6㎡,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-11,商品房,2012-12-13,普通住宅,满两年,非共有,有抵押 200万元 浙商银行 业主自还,已上传房本照片,1,null
丰台,赵公口,72,98,450,49041元/平米,顶秀欣园西苑,2室1厅1厨1卫,低楼层 (共22层),91.76㎡,暂无数据,74.38㎡,塔楼,西,钢混结构,简装,三梯十三户,集中供暖,有,70年,null,null,null,2017-05-13,一类经济适用房,2004-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,赵公口,98,48,930,59319元/平米,世华水岸C区,3室2厅1厨2卫,顶层 (共15层),156.78㎡,平层,133.08㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-03-04,商品房,2010-03-31,普通住宅,满五年,共有,无抵押,已上传房本照片,6,null
丰台,赵公口,80,44,460,54801元/平米,光彩家园,2室1厅1厨1卫,中楼层 (共20层),83.94㎡,平层,66.9㎡,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-01-09,商品房,2013-10-29,普通住宅,满两年,非共有,有抵押 150万元 渤海银行 客户偿还,已上传房本照片,0,null
丰台,赵公口,10,2,590,61981元/平米,彩虹城五区,2室2厅1厨1卫,中楼层 (共15层),95.19㎡,暂无数据,76.3㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-10,商品房,2006-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,赵公口,55,7,530,49911元/平米,康泽园,2室1厅1厨1卫,中楼层 (共22层),106.19㎡,平层,90.57㎡,塔楼,东,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-07,商品房,2009-07-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,赵公口,69,3,345,50855元/平米,苗圃东里,2室1厅1厨1卫,顶层 (共6层),67.84㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-01,商品房,2016-06-13,普通住宅,暂无数据,非共有,有抵押 120万元 银行 业主自还,已上传房本照片,1,null
丰台,赵公口,20,2,710,60348元/平米,彩虹城三区,3室1厅1厨2卫,中楼层 (共11层),117.65㎡,平层,90.4㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-06,私产,2008-03-13,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
丰台,赵公口,6,0,42,15424元/平米,世华水岸B区,地下室 (共0层),27.23㎡,南,null,null,null,null,null,null,null,null,null,null,null,null,null,2017-07-20,商品房,2017-06-21,车库,暂无数据,非共有,无抵押,已上传房本照片,0,null
