城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,青塔,46,38,590,52189元/平米,春园,2室2厅1厨2卫,中楼层 (共8层),113.05㎡,暂无数据,91.35㎡,板塔结合,南,钢混结构,精装,一梯六户,集中供暖,有,70年,null,null,null,2017-08-21,私产,2008-05-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
丰台,青塔,100,20,600,50226元/平米,西翠芳庭,3室2厅1厨1卫,中楼层 (共22层),119.46㎡,暂无数据,97.5㎡,板塔结合,南 北,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-08-17,私产,2004-06-29,普通住宅,满五年,非共有,有抵押 10万元 银行 业主自还,已上传房本照片,3,null
丰台,青塔,438,138,695,73150元/平米,万科紫苑,2室1厅1厨1卫,顶层 (共15层),95.01㎡,暂无数据,69.59㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-27,商品房,2011-06-14,普通住宅,满五年,非共有,有抵押 120万元 农业银行 客户偿还,已上传房本照片,7,null
丰台,青塔,140,44,360,54201元/平米,青塔秀园,2室1厅1厨1卫,底层 (共16层),66.42㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯十一户,集中供暖,有,70年,null,null,null,2017-07-14,已购公房,2001-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,青塔,50,13,708,61325元/平米,天鸿美域,2室1厅1厨2卫,中楼层 (共13层),115.45㎡,暂无数据,93.11㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-27,商品房,2009-07-29,普通住宅,满五年,非共有,有抵押 90万元 中国银行 客户偿还,已上传房本照片,6,null
丰台,青塔,149,158,699,71189元/平米,万科中粮假日风景,2室2厅1厨1卫,低楼层 (共9层),98.19㎡,暂无数据,80.72㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2012-12-03,普通住宅,满两年,非共有,暂无数据,已上传房本照片,22,null
丰台,青塔,312,107,680,71519元/平米,万科紫苑,3室1厅1厨1卫,高楼层 (共15层),95.08㎡,平层,75.28㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2014-02-12,普通住宅,满两年,非共有,有抵押 140万元 建设银行 客户偿还,已上传房本照片,20,null
丰台,青塔,68,37,487,54960元/平米,建邦枫景,3室1厅1厨1卫,高楼层 (共22层),88.61㎡,暂无数据,71.17㎡,板塔结合,南 北,钢混结构,其他,两梯四户,集中供暖,有,70年,null,null,null,2017-09-02,限价商品房,2012-07-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,26,null
丰台,青塔,38,22,315,57566元/平米,博龙家园,1室1厅1厨1卫,低楼层 (共19层),54.72㎡,暂无数据,40.98㎡,板塔结合,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-31,私产,2005-05-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,青塔,41,9,350,51335元/平米,建邦枫景,2室1厅1厨1卫,低楼层 (共22层),68.18㎡,暂无数据,55.29㎡,板塔结合,西北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-04,限价商品房,2012-01-13,普通住宅,满五年,非共有,有抵押 17万元,已上传房本照片,2,null
丰台,青塔,216,179,850,61751元/平米,天鸿美域,3室1厅1厨2卫,顶层 (共13层),137.65㎡,暂无数据,111.01㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-03-11,商品房,2008-09-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,青塔,79,62,800,57683元/平米,长安新城二区,3室2厅1厨2卫,高楼层 (共15层),138.69㎡,暂无数据,118.98㎡,板塔结合,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-07-29,一类经济适用房,2009-10-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,青塔,69,77,470,52892元/平米,建邦枫景,2室2厅1厨1卫,中楼层 (共22层),88.86㎡,暂无数据,69.39㎡,板塔结合,东,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-24,限价商品房,2012-07-06,普通住宅,满五年,非共有,有抵押 5万元 交通银行 业主自还,已上传房本照片,12,null
丰台,青塔,259,165,480,54152元/平米,蔚园,3室1厅1厨1卫,高楼层 (共16层),88.64㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,简装,四梯二十六户,集中供暖,有,70年,null,null,null,2017-05-11,已购公房,2011-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
丰台,青塔,172,122,520,78372元/平米,万科紫苑,2室1厅1厨1卫,顶层 (共9层),66.35㎡,暂无数据,54.82㎡,板楼,南,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2012-10-11,普通住宅,满两年,非共有,有抵押 200万元 客户偿还,已上传房本照片,27,null
丰台,青塔,53,22,480,47398元/平米,春园,3室1厅1厨1卫,中楼层 (共18层),101.27㎡,暂无数据,暂无数据,塔楼,西南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2015-09-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,22,null
