城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,马家堡,91,69,690,68814元/平米,星河城西区,3室1厅1厨1卫,低楼层 (共17层),100.27㎡,暂无数据,83.05㎡,板塔结合,东 西 北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-27,私产,2008-04-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,50,距离4号线公益西桥站439米
丰台,马家堡,106,40,516,64775元/平米,富卓苑,2室2厅1厨1卫,高楼层 (共6层),79.66㎡,平层,69.04㎡,板楼,南 北,混合结构,其他,一梯三户,自供暖,无,70年,null,null,null,2017-08-12,商品房,2002-02-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,马家堡,159,88,931,68943元/平米,星河城东区,3室2厅1厨2卫,底层 (共11层),135.04㎡,暂无数据,114.49㎡,板楼,东 南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-24,商品房,2008-12-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
丰台,马家堡,85,111,375,68009元/平米,星河城西区,1室1厅1厨1卫,低楼层 (共20层),55.14㎡,平层,44.61㎡,塔楼,北,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-02-28,商品房,2014-01-10,普通住宅,满两年,非共有,有抵押 业主自还,已上传房本照片,12,null
丰台,马家堡,108,89,728.1,67999元/平米,益城园,2室2厅1厨2卫,高楼层 (共11层),107.07㎡,暂无数据,91.28㎡,板楼,南 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-08-10,商品房,2013-10-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,21,null
丰台,马家堡,22,13,435,60822元/平米,瑞丽江畔,1室2厅1厨1卫,低楼层 (共21层),71.52㎡,平层,59.82㎡,塔楼,西,钢混结构,其他,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2007-06-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
丰台,马家堡,69,9,388,59840元/平米,嘉园一里,2室1厅1厨1卫,高楼层 (共20层),64.84㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-21,已购公房,2002-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,马家堡,56,69,610,58835元/平米,富卓苑,2室1厅1厨1卫,顶层 (共20层),103.68㎡,暂无数据,84.9㎡,塔楼,东,钢混结构,精装,三梯十五户,集中供暖,有,70年,null,null,null,2017-04-22,商品房,2011-10-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,马家堡,40,21,425,58339元/平米,南华小区,2室1厅1厨1卫,高楼层 (共7层),72.85㎡,暂无数据,暂无数据,板楼,东北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2002-12-09,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
丰台,马家堡,51,39,421,72913元/平米,星河城西区,1室1厅1厨1卫,中楼层 (共17层),57.74㎡,暂无数据,47.82㎡,板塔结合,西,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2008-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,马家堡,10,10,670,48788元/平米,角门15号院,3室2厅1厨2卫,顶层 (共6层),137.33㎡,暂无数据,121.49㎡,板楼,南 西 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-09-02,一类经济适用房,2005-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
丰台,马家堡,81,32,1560,57501元/平米,未来假日,4室2厅1厨3卫,地下室 (共3层),271.3㎡,暂无数据,暂无数据,暂无数据,南 北,混合结构,简装,一梯十户,自供暖,无,70年,null,null,null,2017-07-09,商品房,2012-04-18,普通住宅,满五年,非共有,暂无数据,已上传房本照片,10,null
丰台,马家堡,40,38,709,69983元/平米,星河城西区,2室1厅1厨1卫,高楼层 (共20层),101.31㎡,暂无数据,82.99㎡,板塔结合,东,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-08,私产,2007-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
丰台,马家堡,76,25,490,51852元/平米,角门13号院,3室1厅1厨1卫,顶层 (共6层),94.5㎡,平层,暂无数据,板楼,南 西 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-03,商品房,2012-07-11,普通住宅,满五年,共有,有抵押 80万元 建设银行 业主自还,已上传房本照片,7,null
丰台,马家堡,48,35,470,52130元/平米,富卓苑,2室1厅1厨1卫,底层 (共20层),90.16㎡,暂无数据,73.83㎡,塔楼,东,钢混结构,简装,三梯十三户,集中供暖,有,70年,null,null,null,2017-06-16,私产,2004-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,马家堡,47,168,810,69630元/平米,星河城西区,3室2厅1厨1卫,高楼层 (共20层),116.33㎡,暂无数据,95.3㎡,板塔结合,东南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2011-08-25,普通住宅,满五年,非共有,有抵押 150万元 中信银行 客户偿还,已上传房本照片,33,null
