城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
丰台,马连道,85,75,760,79035元/平米,依莲轩,2室2厅1厨1卫,高楼层 (共26层),96.16㎡,暂无数据,76.25㎡,塔楼,西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-02,私产,2004-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,48,距离7号线湾子站664米
丰台,马连道,10,7,468,64668元/平米,三路居路99号院,1室1厅1厨1卫,低楼层 (共6层),72.37㎡,暂无数据,56.34㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,2007-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
丰台,马连道,20,14,452,84962元/平米,馨莲茗园,1室0厅1厨1卫,中楼层 (共25层),53.2㎡,暂无数据,41.74㎡,板塔结合,北,钢混结构,精装,四梯十二户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2015-07-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
丰台,马连道,78,76,950,87711元/平米,格调,2室1厅1厨1卫,顶层 (共24层),108.31㎡,暂无数据,84.76㎡,板塔结合,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-25,私产,2008-01-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
丰台,马连道,75,25,760,72340元/平米,茗筑,2室1厅1厨1卫,低楼层 (共27层),105.06㎡,暂无数据,82.02㎡,塔楼,东南,钢混结构,简装,三梯九户,集中供暖,有,70年,null,null,null,2017-04-24,商品房,2009-06-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,马连道,89,42,960,97127元/平米,信和嘉园,2室2厅1厨1卫,低楼层 (共13层),98.84㎡,暂无数据,80.17㎡,板塔结合,东南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-07-30,商品房,2009-01-08,普通住宅,满五年,共有,有抵押 84万元 北京农村商业 业主自还,已上传房本照片,5,null
丰台,马连道,391,287,1120,79886元/平米,北欧印象,3室1厅1厨2卫,低楼层 (共28层),140.2㎡,平层,111.12㎡,塔楼,南,钢混结构,精装,三梯十七户,自供暖,有,70年,null,null,null,2017-04-16,私产,2007-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,马连道,65,105,562,56917元/平米,建茗苑,2室1厅1厨1卫,顶层 (共23层),98.74㎡,暂无数据,77.96㎡,塔楼,南,钢混结构,毛坯,两梯八户,集中供暖,有,70年,null,null,null,2017-07-02,一类经济适用房,2008-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,23,null
丰台,马连道,436,443,550,86166元/平米,格调,1室1厅1厨1卫,低楼层 (共24层),63.83㎡,暂无数据,49.95㎡,板塔结合,南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-03-01,商品房,2009-08-07,普通住宅,满五年,非共有,有抵押 345万元 银行 客户偿还,已上传房本照片,0,null
丰台,马连道,77,67,595,93289元/平米,马连道中里,2室1厅1厨1卫,高楼层 (共18层),63.78㎡,暂无数据,50㎡,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-19,已购公房,2001-12-13,普通住宅,满五年,非共有,有抵押 90万元 客户偿还,已上传房本照片,8,null
丰台,马连道,268,106,1391,99849元/平米,信和嘉园,3室2厅1厨2卫,低楼层 (共20层),139.31㎡,平层,111.85㎡,板塔结合,南 北,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-03-16,商品房,2009-04-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,马连道,52,5,525,92025元/平米,红莲北里,3室1厅1厨1卫,高楼层 (共6层),57.05㎡,暂无数据,43.27㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-29,商品房,2012-11-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
丰台,马连道,61,12,526,94316元/平米,红莲北里,2室1厅1厨1卫,低楼层 (共6层),55.77㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-20,商品房,2009-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
丰台,马连道,358,116,760,80817元/平米,依莲轩,2室1厅1厨1卫,中楼层 (共26层),94.04㎡,平层,74.57㎡,塔楼,南 西南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-02,商品房,2010-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
丰台,马连道,255,72,610,85771元/平米,马连道西里,3室1厅1厨1卫,中楼层 (共6层),71.12㎡,平层,53.3㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-30,已购公房,2001-03-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
丰台,马连道,54,20,615,90070元/平米,红莲北里,3室1厅1厨1卫,高楼层 (共6层),68.28㎡,平层,49.1㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2017-07-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,11,null
丰台,马连道,53,38,570,88716元/平米,格调,1室1厅1厨1卫,低楼层 (共14层),64.25㎡,暂无数据,51.87㎡,板塔结合,北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-03,私产,2006-07-14,公寓,满五年,非共有,无抵押,已上传房本照片,8,null
丰台,马连道,94,11,649,84925元/平米,马连道南街12号院,3室1厅1厨1卫,中楼层 (共6层),76.42㎡,暂无数据,52.96㎡,板楼,西南,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-12,已购公房,2000-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
丰台,马连道,4,1,610,89904元/平米,三义西里,3室1厅1厨1卫,中楼层 (共14层),67.85㎡,暂无数据,45.71㎡,塔楼,东北,钢混结构,简装,一梯七户,集中供暖,有,70年,null,null,null,2017-09-09,已购公房,2001-10-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
丰台,马连道,138,69,477,85930元/平米,红莲中里,2室0厅1厨1卫,底层 (共6层),55.51㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-06-05,央产房,1996-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,马连道,86,17,1260,84694元/平米,馨莲茗园,3室1厅1厨2卫,低楼层 (共15层),148.77㎡,暂无数据,116.72㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-23,私产,2005-10-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
丰台,马连道,13,10,656,90645元/平米,格调,1室1厅1厨1卫,高楼层 (共23层),72.37㎡,暂无数据,57.1㎡,板塔结合,西北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2010-06-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
