城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
亦庄,亦庄,267,79,590,40095元/平米,富源里,5室2厅1厨2卫,顶层 (共5层),147.15㎡,暂无数据,129.82㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-05,已购公房,2001-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
亦庄,亦庄,157,125,730,46789元/平米,一幅画卷,3室2厅1厨2卫,低楼层 (共25层),156.02㎡,暂无数据,124.99㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-17,私产,2010-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
亦庄,亦庄,57,35,718,52371元/平米,卡尔公寓,3室1厅1厨2卫,低楼层 (共11层),137.1㎡,暂无数据,115.33㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-20,私产,2008-02-02,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
亦庄,亦庄,15,44,1100,73771元/平米,林肯公园,3室2厅1厨2卫,高楼层 (共17层),149.11㎡,平层,114.76㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-07-19,商品房,2012-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
亦庄,亦庄,113,55,860,54917元/平米,郁金香舍,3室2厅1厨2卫,中楼层 (共9层),156.6㎡,暂无数据,134.97㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2009-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
亦庄,亦庄,46,37,635,69308元/平米,林肯公园,2室1厅1厨1卫,低楼层 (共24层),91.62㎡,平层,69.62㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2012-06-05,普通住宅,满五年,非共有,有抵押 40万元 华夏银行 业主自还,已上传房本照片,10,null
亦庄,亦庄,33,26,650,71202元/平米,林肯公园,2室1厅1厨1卫,中楼层 (共17层),91.29㎡,暂无数据,71.15㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2013-04-11,普通住宅,满两年,非共有,暂无数据,已上传房本照片,15,null
亦庄,亦庄,129,24,1330,68461元/平米,鹿鸣苑,4室2厅1厨3卫,双拼 (共3层),194.27㎡,193.74㎡,南 北,钢混结构,简装,双拼,集中供暖,70年,null,null,null,null,null,null,2017-03-11,商品房,2009-07-28,别墅,满五年,非共有,有抵押 客户偿还,已上传房本照片,0,null
亦庄,亦庄,60,28,695,56963元/平米,上海沙龙,3室2厅1厨2卫,高楼层 (共9层),122.01㎡,暂无数据,104.73㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-08,私产,2004-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
亦庄,亦庄,70,37,550,56965元/平米,新康家园,2室1厅1厨1卫,低楼层 (共18层),96.55㎡,平层,82.97㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-18,私产,2012-03-08,普通住宅,满五年,共有,有抵押 50000万元 中国银行 业主自还,已上传房本照片,9,null
