城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
亦庄,亦庄其它,171,84,375,39817元/平米,泰河园三里,2室2厅1厨1卫,顶层 (共6层),94.18㎡,暂无数据,83.02㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-25,私产,2011-01-11,普通住宅,满五年,共有,有抵押 61万元 中国建设银行 客户偿还,已上传房本照片,12,null
亦庄,亦庄其它,111,74,364,44972元/平米,泰河园一里一区,2室1厅1厨1卫,中楼层 (共12层),80.94㎡,暂无数据,66.31㎡,板塔结合,南,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-27,商品房,2014-03-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
亦庄,亦庄其它,41,41,1040,54308元/平米,中信新城西区,3室2厅1厨3卫,高楼层 (共17层),191.5㎡,暂无数据,160.41㎡,板楼,南 北,钢混结构,毛坯,两梯两户,自供暖,有,70年,null,null,null,2017-05-27,商品房,2015-02-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
亦庄,亦庄其它,15,5,413,44794元/平米,泰河园一里一区,2室1厅1厨1卫,中楼层 (共12层),92.2㎡,平层,76.15㎡,板塔结合,南 北,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2014-01-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
亦庄,亦庄其它,123,38,364,44972元/平米,泰河园一里一区,2室1厅1厨1卫,中楼层 (共12层),80.94㎡,暂无数据,66.31㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-17,商品房,2014-03-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
亦庄,亦庄其它,172,152,485,55754元/平米,中信新城东区,2室1厅1厨1卫,底层 (共18层),86.99㎡,平层,64.97㎡,板楼,南,钢混结构,简装,两梯三户,自供暖,有,70年,null,null,null,2017-03-16,商品房,2015-04-02,普通住宅,满两年,非共有,有抵押 115万元 中信银行 客户偿还,已上传房本照片,0,null
亦庄,亦庄其它,83,47,760,64670元/平米,枫丹壹號二期,3室2厅1厨2卫,中楼层 (共25层),117.52㎡,暂无数据,87.36㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-12,商品房,2017-03-10,普通住宅,暂无数据,非共有,有抵押 150万元 客户偿还,已上传房本照片,10,null
亦庄,亦庄其它,71,21,520,58211元/平米,中信新城东区,3室1厅1厨1卫,高楼层 (共18层),89.33㎡,暂无数据,66.72㎡,板楼,南 北,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-07-18,商品房,2015-02-02,普通住宅,满两年,共有,有抵押 110万元 农业银行 客户偿还,已上传房本照片,6,null
亦庄,亦庄其它,10,18,935,53884元/平米,中信新城西区,3室1厅1厨2卫,低楼层 (共18层),173.52㎡,暂无数据,143.11㎡,板楼,南 北,钢混结构,毛坯,两梯两户,自供暖,有,70年,null,null,null,2017-08-16,商品房,2017-02-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
亦庄,亦庄其它,53,17,1350,44569元/平米,瀛海名居,4室3厅1厨4卫,中楼层 (共5层),302.9㎡,暂无数据,269.05㎡,板楼,南 西 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-02-08,商品房,2009-01-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
