城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
亦庄,马驹桥,321,96,850,36679元/平米,天鹅堡,4室2厅1厨3卫,联排 (共3层),231.74㎡,222.12㎡,南,钢混结构,毛坯,联排,自供暖,70年,null,null,null,null,null,null,2017-04-25,商品房,2011-05-23,别墅,满五年,非共有,有抵押 客户偿还,已上传房本照片,0,null
亦庄,马驹桥,182,28,253,32172元/平米,东亚瑞晶苑,2室1厅1厨1卫,高楼层 (共22层),78.64㎡,暂无数据,59.38㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-31,限价商品房,2012-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
亦庄,马驹桥,70,5,273,38505元/平米,新海南里,2室1厅1厨1卫,高楼层 (共6层),70.9㎡,平层,60.93㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-07,商品房,2009-04-26,普通住宅,满五年,非共有,有抵押 20万元 工商银行 客户偿还,已上传房本照片,5,null
亦庄,马驹桥,91,69,680,39489元/平米,金地格林6,3室2厅1厨2卫,顶层 (共4层),172.2㎡,跃层,149.5㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-01-04,商品房,2010-01-13,普通住宅,满五年,非共有,有抵押 30万元 客户偿还,已上传房本照片,3,null
亦庄,马驹桥,122,61,500,34076元/平米,样本,3室2厅1厨2卫,中楼层 (共9层),146.73㎡,平层,121.17㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-03,商品房,2008-12-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
亦庄,马驹桥,26,8,253,32781元/平米,东亚瑞晶苑,2室2厅1厨1卫,中楼层 (共21层),77.18㎡,暂无数据,58.03㎡,板塔结合,南 北,钢混结构,毛坯,两梯五户,集中供暖,有,70年,null,null,null,2017-08-21,限价商品房,2012-07-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
亦庄,马驹桥,14,1,257,32681元/平米,东亚瑞晶苑,2室1厅1厨1卫,高楼层 (共22层),78.64㎡,暂无数据,59.38㎡,板楼,南,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-09-02,限价商品房,2012-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
亦庄,马驹桥,24,25,830,39179元/平米,金地格林6,3室2厅1厨2卫,底层 (共5层),211.85㎡,暂无数据,203.42㎡,板楼,南 西北,钢混结构,毛坯,一梯四户,集中供暖,无,70年,null,null,null,2017-05-23,商品房,2012-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
亦庄,马驹桥,29,6,850,35767元/平米,天鹅堡,3室3厅1厨4卫,联排 (共3层),237.65㎡,227.78㎡,南 北,钢混结构,毛坯,联排,自供暖,70年,null,null,null,null,null,null,2017-08-07,商品房,2010-10-28,别墅,满五年,非共有,有抵押 180万元 华夏银行 客户偿还,已上传房本照片,4,null
亦庄,马驹桥,112,30,380,35421元/平米,新海南里,3室2厅1厨1卫,低楼层 (共6层),107.28㎡,平层,93.51㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-15,商品房,2011-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
亦庄,马驹桥,32,4,350,37773元/平米,莲水怡园,2室1厅1厨1卫,低楼层 (共12层),92.66㎡,暂无数据,73.28㎡,板塔结合,东 西,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-26,私产,2006-02-16,普通住宅,满五年,非共有,有抵押 30万元 平安 业主自还,已上传房本照片,3,null
亦庄,马驹桥,209,16,240,31389元/平米,东亚瑞晶苑,2室1厅1厨1卫,高楼层 (共20层),76.46㎡,暂无数据,58.03㎡,板塔结合,南 北,钢混结构,精装,两梯五户,集中供暖,有,40年,null,null,null,2017-08-09,限价商品房,2012-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
亦庄,马驹桥,52,10,326,35095元/平米,新海北里,2室2厅1厨1卫,顶层 (共6层),92.89㎡,暂无数据,81.28㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-03,商品房,2011-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
亦庄,马驹桥,4,0,650,35890元/平米,样本,5室1厅1厨2卫,顶层 (共5层),181.11㎡,暂无数据,163.02㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-04,商品房,2009-09-19,普通住宅,满五年,非共有,有抵押 50万元 业主自还,已上传房本照片,0,null
亦庄,马驹桥,19,10,435,32803元/平米,莲水怡园,3室2厅1厨2卫,低楼层 (共12层),132.61㎡,暂无数据,108.75㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-31,私产,2007-03-02,普通住宅,满五年,非共有,有抵押 20万元 深圳发展银行 客户偿还,已上传房本照片,4,null
