城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
大兴,大兴其它,57,21,1300,39816元/平米,富力丹麦小镇,4室3厅1厨3卫,底层 (共2层),326.5㎡,暂无数据,326.5㎡,暂无数据,南 北,混合结构,精装,一梯一户,自供暖,暂无数据,70年,null,null,null,2017-08-21,商品房,2012-10-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
大兴,大兴其它,53,31,320,35834元/平米,富力童话时光,2室1厅1厨1卫,低楼层 (共9层),89.3㎡,平层,75.65㎡,暂无数据,东南,钢混结构,精装,一梯三户,集中供暖,有,50年,null,null,null,2017-08-24,商品房,2015-06-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,11,null
大兴,大兴其它,168,52,570,26565元/平米,龙熙顺景,5室2厅1厨3卫,中楼层 (共4层),214.57㎡,暂无数据,192.23㎡,暂无数据,东 南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-08,私产,2008-05-05,普通住宅,满五年,非共有,有抵押 350万元 客户偿还,已上传房本照片,0,null
大兴,大兴其它,260,97,550,27240元/平米,富力丹麦小镇,3室2厅1厨2卫,底层 (共6层),201.91㎡,暂无数据,175.05㎡,板楼,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-03-27,商品房,2013-04-19,普通住宅,满两年,非共有,有抵押 60万元 银行 客户偿还,已上传房本照片,1,null
大兴,大兴其它,63,23,300,42505元/平米,德茂小区,3室1厅1厨1卫,高楼层 (共6层),70.58㎡,暂无数据,51.25㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-16,商品房,2010-01-06,普通住宅,满五年,非共有,暂无数据,已上传房本照片,10,null
大兴,大兴其它,39,8,262,37944元/平米,福苑小区,2室1厅1厨1卫,中楼层 (共6层),69.05㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-07,私产,2005-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
大兴,大兴其它,27,12,400,41754元/平米,兴海园,2室1厅1厨1卫,低楼层 (共16层),95.8㎡,暂无数据,78.64㎡,板塔结合,南 北,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-01,私产,2004-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
大兴,大兴其它,64,17,280,37650元/平米,福苑小区,2室1厅1厨1卫,低楼层 (共6层),74.37㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-29,私产,1998-12-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
大兴,大兴其它,35,74,415,44943元/平米,首座御园一期,2室1厅1厨1卫,中楼层 (共8层),92.34㎡,平层,77.11㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-07,二类经济适用房,2013-12-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
大兴,大兴其它,294,20,190,32116元/平米,御园小区,1室1厅1厨1卫,低楼层 (共15层),59.16㎡,暂无数据,46.99㎡,板楼,南,钢混结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-08-23,商品房,2014-11-02,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
大兴,大兴其它,16,9,290,50026元/平米,鹿海园三里,1室1厅1厨1卫,高楼层 (共6层),57.97㎡,暂无数据,50.47㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-14,私产,2012-08-31,普通住宅,满五年,非共有,有抵押,已上传房本照片,1,null
大兴,大兴其它,26,12,310,42936元/平米,上林苑,2室1厅1厨1卫,中楼层 (共6层),72.2㎡,暂无数据,63.26㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,私产,2003-08-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
大兴,大兴其它,38,10,270,38260元/平米,兴海园,2室1厅1厨1卫,高楼层 (共6层),70.57㎡,暂无数据,63.03㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,二类经济适用房,2005-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
大兴,大兴其它,66,3,213,39903元/平米,福苑小区,1室1厅1厨1卫,顶层 (共6层),53.38㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-11,商品房,2012-07-30,普通住宅,满五年,非共有,有抵押 39万元 公积金中心 客户偿还,已上传房本照片,3,null
大兴,大兴其它,96,44,285,43465元/平米,玉璟园,1室1厅1厨1卫,低楼层 (共9层),65.57㎡,平层,54.02㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-10,商品房,2015-07-20,普通住宅,满两年,非共有,有抵押 80万元 工商银行 客户偿还,已上传房本照片,9,null
大兴,大兴其它,28,1,400,32914元/平米,福苑小区,4室1厅1厨2卫,高楼层 (共6层),121.53㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2010-10-27,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,0,null
大兴,大兴其它,16,5,252,42148元/平米,团河苑,2室1厅1厨1卫,底层 (共6层),59.79㎡,暂无数据,41.98㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-23,商品房,2010-01-12,普通住宅,满五年,非共有,有抵押 30万元 邮政 客户偿还,已上传房本照片,3,null
大兴,大兴其它,20,2,600,32253元/平米,富力丹麦小镇,5室2厅1厨3卫,高楼层 (共11层),186.03㎡,暂无数据,159.6㎡,板楼,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-29,商品房,2013-11-28,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
大兴,大兴其它,28,11,320,38536元/平米,三槐家园,2室1厅1厨1卫,低楼层 (共10层),83.04㎡,暂无数据,70.26㎡,板楼,南 西 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-08,商品房,2016-03-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,11,null
大兴,大兴其它,57,6,455,40888元/平米,玉璟园,3室1厅1厨2卫,顶层 (共6层),111.28㎡,暂无数据,99.76㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-01,商品房,2010-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
大兴,大兴其它,33,10,390,31754元/平米,兴海园,4室2厅1厨2卫,顶层 (共6层),122.82㎡,暂无数据,89.58㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-19,商品房,2015-05-25,普通住宅,满两年,非共有,暂无数据,已上传房本照片,4,null
大兴,大兴其它,11,1,410,44200元/平米,首座御园一期,2室2厅1厨1卫,中楼层 (共8层),92.76㎡,暂无数据,77.36㎡,板楼,东 南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-03,二类经济适用房,2014-04-18,普通住宅,满两年,非共有,有抵押 50万元 中信银行 业主自还,已上传房本照片,1,null
大兴,大兴其它,90,4,710,38207元/平米,富力丹麦小镇,5室2厅1厨3卫,底层 (共4层),185.83㎡,暂无数据,179.88㎡,暂无数据,南 北,钢混结构,精装,一梯一户,自供暖,暂无数据,70年,null,null,null,2017-08-14,商品房,2014-12-01,普通住宅,满两年,共有,无抵押,已上传房本照片,1,null
大兴,大兴其它,67,7,448,39028元/平米,兴海园,3室2厅1厨1卫,高楼层 (共6层),114.79㎡,暂无数据,104.05㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-17,私产,2003-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
大兴,大兴其它,100,7,240,32116元/平米,御园小区,2室1厅1厨1卫,高楼层 (共15层),74.73㎡,暂无数据,58.49㎡,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-08-31,商品房,2015-03-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
大兴,大兴其它,109,52,460,36627元/平米,金色漫香郡,3室2厅1厨2卫,低楼层 (共9层),125.59㎡,平层,107.65㎡,暂无数据,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-03-17,商品房,2014-07-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
大兴,大兴其它,5,4,416,42944元/平米,上林苑,2室2厅1厨1卫,中楼层 (共6层),96.87㎡,平层,84.87㎡,板楼,南 西 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,私产,2003-08-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
大兴,大兴其它,34,59,850,63867元/平米,亦庄金茂悦南区,3室2厅1厨2卫,中楼层 (共15层),133.09㎡,暂无数据,99.84㎡,暂无数据,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-07-02,商品房,2017-04-19,普通住宅,暂无数据,非共有,有抵押 110万元 客户偿还,已上传房本照片,5,null
大兴,大兴其它,120,14,348,25945元/平米,隆盛园,3室2厅1厨2卫,高楼层 (共6层),134.13㎡,暂无数据,122.1㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-01,商品房,2010-01-05,普通住宅,满五年,共有,有抵押 50万元 银行 业主自还,已上传房本照片,0,null
大兴,大兴其它,33,14,310,39470元/平米,德茂小区,2室1厅1厨1卫,顶层 (共6层),78.54㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-29,已购公房,2006-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
