城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
大兴,枣园,134,62,380,48849元/平米,住总万科橙,2室1厅1厨1卫,高楼层 (共18层),77.79㎡,暂无数据,60.5㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-21,商品房,2016-08-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,19,距离4号线天宫院站673米
大兴,枣园,257,63,348,40175元/平米,龙湖时代天街,2室1厅1厨1卫,顶层 (共25层),86.62㎡,跃层,67.43㎡,板塔结合,东 西,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-07-05,商品房,2014-11-28,普通住宅,满两年,非共有,有抵押 70万元 业主自还,已上传房本照片,3,null
大兴,枣园,47,28,325,46972元/平米,金融街融汇,2室1厅1厨1卫,低楼层 (共26层),69.19㎡,平层,52.77㎡,板楼,东南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2016-05-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
大兴,枣园,123,153,379,48979元/平米,住总万科橙,2室1厅1厨1卫,低楼层 (共21层),77.38㎡,暂无数据,60.02㎡,板楼,东 南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-29,商品房,2017-02-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,19,null
大兴,枣园,54,23,590,43485元/平米,龙湖时代天街,3室2厅1厨2卫,中楼层 (共25层),135.68㎡,暂无数据,101.34㎡,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,null,null,null,2017-06-07,商品房,2014-12-01,普通住宅,满两年,非共有,有抵押 160万元 中国 客户偿还,已上传房本照片,1,null
大兴,枣园,19,0,320,40025元/平米,新源时代,2室1厅1厨1卫,中楼层 (共9层),79.95㎡,平层,64.38㎡,板楼,南,钢混结构,其他,一梯三户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2015-05-27,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
大兴,枣园,166,26,465,34519元/平米,新源时代,3室1厅1厨2卫,顶层 (共14层),134.71㎡,暂无数据,109.49㎡,板楼,南 西 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-03-31,商品房,2014-05-22,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
大兴,枣园,29,25,355,43161元/平米,保利首开熙悦春天,2室1厅1厨1卫,顶层 (共24层),82.25㎡,平层,61.25㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-11,商品房,2017-06-26,普通住宅,暂无数据,非共有,有抵押 120万元,已上传房本照片,0,null
大兴,枣园,16,10,355,41453元/平米,龙湖时代天街,2室1厅1厨1卫,低楼层 (共26层),85.64㎡,跃层,67.39㎡,板塔结合,东 西,钢混结构,简装,两梯十六户,自供暖,有,70年,null,null,null,2017-08-19,商品房,2016-08-29,普通住宅,暂无数据,非共有,有抵押 120万元 中国农业银行 客户偿还,已上传房本照片,2,null
大兴,枣园,5,0,425,38877元/平米,新源时代,3室1厅1厨1卫,中楼层 (共14层),109.32㎡,暂无数据,88.77㎡,板楼,南 北,钢混结构,其他,一梯三户,集中供暖,有,70年,null,null,null,2017-09-08,商品房,2014-01-24,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
大兴,枣园,38,15,350,45062元/平米,金融街融汇,2室1厅1厨1卫,高楼层 (共26层),77.67㎡,平层,59.22㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2014-09-10,普通住宅,满两年,非共有,有抵押 80万元 建设银行 客户偿还,已上传房本照片,2,null
大兴,枣园,55,12,570,46102元/平米,金融街融汇,3室2厅1厨2卫,高楼层 (共27层),123.64㎡,平层,100.71㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2015-05-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
大兴,枣园,25,16,360,46036元/平米,金融街融汇,2室1厅1厨1卫,中楼层 (共27层),78.2㎡,暂无数据,59.02㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2016-10-28,普通住宅,暂无数据,共有,有抵押 90万元 客户偿还,已上传房本照片,13,null
大兴,枣园,44,11,370,43720元/平米,保利春天里一区,2室1厅1厨1卫,低楼层 (共30层),84.63㎡,平层,63.42㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2016-05-30,普通住宅,暂无数据,共有,有抵押,已上传房本照片,3,null
大兴,枣园,43,13,610,46999元/平米,龙湖时代天街,3室2厅1厨2卫,中楼层 (共26层),129.79㎡,暂无数据,101.99㎡,板楼,南 北,钢混结构,简装,两梯两户,自供暖,有,70年,null,null,null,2017-07-22,商品房,2015-07-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
大兴,枣园,12,8,358,41330元/平米,龙湖时代天街,2室1厅1厨1卫,顶层 (共25层),86.62㎡,暂无数据,67.43㎡,板塔结合,东 西,钢混结构,毛坯,两梯十六户,集中供暖,有,70年,null,null,null,2017-08-22,商品房,2017-01-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
大兴,枣园,20,7,600,46211元/平米,龙湖时代天街,3室2厅1厨2卫,高楼层 (共26层),129.84㎡,暂无数据,101.99㎡,板楼,南 北,钢混结构,其他,两梯两户,自供暖,有,70年,null,null,null,2017-08-04,商品房,2015-08-11,普通住宅,满两年,非共有,暂无数据,已上传房本照片,1,null
大兴,枣园,9,1,340,38082元/平米,新源时代,2室1厅1厨1卫,高楼层 (共12层),89.28㎡,平层,71.83㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2015-03-23,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
大兴,枣园,10,2,550,46207元/平米,明发雅苑,3室1厅1厨2卫,低楼层 (共26层),119.03㎡,暂无数据,90.25㎡,板楼,东 南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2017-04-24,普通住宅,暂无数据,非共有,有抵押 140万元 交通银行 客户偿还,已上传房本照片,0,null
大兴,枣园,22,13,346,40042元/平米,龙湖时代天街,2室1厅1厨1卫,顶层 (共25层),86.41㎡,跃层,67.43㎡,板塔结合,东 西,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2016-07-11,普通住宅,暂无数据,非共有,有抵押 80万元,已上传房本照片,2,null
大兴,枣园,76,41,382,44899元/平米,保利春天里一区,2室1厅1厨1卫,高楼层 (共20层),85.08㎡,平层,63.37㎡,板楼,南,钢混结构,其他,两梯四户,集中供暖,有,70年,null,null,null,2017-07-06,商品房,2016-03-03,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,0,null
大兴,枣园,12,2,710,41898元/平米,龙湖时代天街,4室2厅1厨2卫,低楼层 (共26层),169.46㎡,暂无数据,133.11㎡,板楼,东 南 北,钢混结构,简装,两梯两户,自供暖,有,70年,null,null,null,2017-08-24,商品房,2015-10-20,普通住宅,暂无数据,非共有,有抵押 80万元 中国农业银行 客户偿还,已上传房本照片,2,null
大兴,枣园,66,6,375,44431元/平米,保利春天里一区,2室1厅1厨1卫,中楼层 (共30层),84.4㎡,平层,63.43㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2016-01-11,普通住宅,暂无数据,共有,有抵押 70万元 建设 客户偿还,已上传房本照片,0,null
大兴,枣园,114,89,480,48810元/平米,龙湖时代天街,3室1厅1厨1卫,中楼层 (共18层),98.34㎡,平层,78.84㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-03-24,商品房,2016-02-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1,null
大兴,枣园,72,25,352,41131元/平米,龙湖时代天街,2室1厅1厨1卫,中楼层 (共26层),85.58㎡,跃层,67.37㎡,板塔结合,东 西,钢混结构,简装,两梯十六户,自供暖,有,70年,null,null,null,2017-06-30,商品房,2016-11-01,普通住宅,暂无数据,非共有,有抵押 70万元 客户偿还,已上传房本照片,5,null
大兴,枣园,37,0,259,46895元/平米,金融街融汇,1室1厅1厨1卫,顶层 (共26层),55.23㎡,平层,42.12㎡,板楼,南,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-09-10,商品房,2016-05-30,普通住宅,暂无数据,非共有,有抵押 35万元 中国银行 客户偿还,已上传房本照片,0,null
大兴,枣园,125,53,374,46950元/平米,金融街融汇,2室1厅1厨1卫,低楼层 (共27层),79.66㎡,平层,64.96㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-02-17,商品房,2016-12-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1,null
大兴,枣园,70,10,730,34329元/平米,龙湖时代天街,4室2厅1厨1卫,底层 (共18层),212.65㎡,暂无数据,169㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-06-25,商品房,2017-06-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
大兴,枣园,4,0,355,43985元/平米,云立方,2室1厅1厨1卫,低楼层 (共19层),80.71㎡,平层,57.03㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2015-10-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
大兴,枣园,87,21,560,45359元/平米,金融街融汇,3室2厅1厨2卫,低楼层 (共27层),123.46㎡,平层,100.67㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-11,商品房,2015-10-09,普通住宅,暂无数据,非共有,有抵押 80万元 银行 客户偿还,已上传房本照片,1,null
大兴,枣园,13,0,355,40984元/平米,龙湖时代天街,2室1厅1厨1卫,中楼层 (共25层),86.62㎡,跃层,67.43㎡,板塔结合,东 西,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2016-12-12,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,0,距离4号线生物医药基地站454米
大兴,枣园,30,1,350,46980元/平米,金融街融汇,2室1厅1厨1卫,低楼层 (共20层),74.5㎡,平层,59.02㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-27,商品房,2016-05-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1,null
大兴,枣园,116,6,600,44004元/平米,龙湖时代天街,3室2厅1厨2卫,中楼层 (共25层),136.35㎡,暂无数据,101.84㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-02-10,商品房,2015-11-20,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,0,null
