城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
大兴,观音寺,25,12,310,37295元/平米,观音寺小区,2室1厅1厨1卫,高楼层 (共6层),83.12㎡,暂无数据,60.1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,私产,2005-07-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,11,null
大兴,观音寺,101,63,257,36377元/平米,观音寺小区,2室1厅1厨1卫,中楼层 (共6层),70.65㎡,暂无数据,49.82㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-09,私产,2006-02-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
大兴,观音寺,176,230,280,39632元/平米,观音寺小区,2室1厅1厨1卫,底层 (共6层),70.65㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-30,已购公房,2011-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
大兴,观音寺,14,8,320,38255元/平米,观音寺南里,2室1厅1厨1卫,低楼层 (共6层),83.65㎡,暂无数据,74㎡,板楼,东南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,商品房,2009-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
大兴,观音寺,153,15,275,37440元/平米,观音寺南里,2室1厅1厨1卫,高楼层 (共6层),73.45㎡,暂无数据,45.72㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-09,私产,2003-07-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
大兴,观音寺,32,1,310,34266元/平米,观音寺南里,3室1厅1厨1卫,顶层 (共6层),90.47㎡,暂无数据,64.47㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,商品房,2012-08-15,普通住宅,满五年,共有,有抵押 50万元 客户偿还,已上传房本照片,0,null
大兴,观音寺,111,22,295,35423元/平米,海子角东里,3室1厅1厨1卫,底层 (共6层),83.28㎡,暂无数据,暂无数据,板楼,东 西,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-27,商品房,2010-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
大兴,观音寺,86,28,340,35026元/平米,宇丰苑,2室1厅1厨1卫,低楼层 (共15层),97.07㎡,暂无数据,88.07㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-06-14,商品房,2012-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
大兴,观音寺,12,0,380,32122元/平米,观音寺南里,2室2厅1厨2卫,高楼层 (共6层),118.3㎡,暂无数据,108.13㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,私产,2002-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
大兴,观音寺,102,26,490,39818元/平米,观音寺新区,3室1厅1厨1卫,高楼层 (共6层),123.06㎡,平层,108.13㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-28,商品房,2004-04-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
