城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
大兴,黄村火车站,194,48,263,42080元/平米,林校北里,2室1厅1厨1卫,高楼层 (共6层),62.5㎡,暂无数据,60㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-10,商品房,2009-09-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,距离4号线黄村西大街站794米
大兴,黄村火车站,13,1,336,38993元/平米,锦华园,2室1厅1厨1卫,顶层 (共6层),86.17㎡,平层,75.34㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-07,私产,2005-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
大兴,黄村火车站,7,9,300,36702元/平米,兴水家园,2室1厅1厨1卫,顶层 (共6层),81.74㎡,暂无数据,70.91㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-09-01,二类经济适用房,2007-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
大兴,黄村火车站,104,62,270,45848元/平米,车站北里,2室1厅1厨1卫,低楼层 (共6层),58.89㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-05-06,已购公房,1997-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
大兴,黄村火车站,3,1,350,36565元/平米,长兴公寓,2室1厅1厨1卫,底层 (共26层),95.72㎡,暂无数据,85㎡,塔楼,东南,混合结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-08,私产,2001-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
大兴,黄村火车站,10,0,325,32995元/平米,车站南里,3室1厅1厨1卫,高楼层 (共6层),98.5㎡,平层,90㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-15,已购公房,2004-08-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
大兴,黄村火车站,116,22,255,41694元/平米,林校北里,2室1厅1厨1卫,高楼层 (共6层),61.16㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-08-20,商品房,2013-12-20,普通住宅,满两年,共有,暂无数据,已上传房本照片,7,null
大兴,黄村火车站,22,1,340,36317元/平米,义和庄东里,2室2厅1厨1卫,高楼层 (共6层),93.62㎡,平层,83.74㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-23,私产,2006-12-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
大兴,黄村火车站,22,10,455,49184元/平米,艺苑桐城,2室1厅1厨1卫,顶层 (共18层),92.51㎡,暂无数据,73.42㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-07-24,商品房,2011-09-23,普通住宅,满五年,非共有,有抵押 70万元 银行 客户偿还,已上传房本照片,2,null
大兴,黄村火车站,58,22,285,36736元/平米,车站南里,2室1厅1厨1卫,中楼层 (共6层),77.58㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,40年,null,null,null,2017-05-27,已购公房,2001-09-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
