城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
平谷,平谷其它,3,0,315,29186元/平米,紫贵御园,3室2厅1厨1卫,中楼层 (共17层),107.93㎡,暂无数据,89.44㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-09-08,商品房,2017-06-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
平谷,平谷其它,18,2,248,28453元/平米,首城汇景湾,2室1厅1厨1卫,中楼层 (共10层),87.16㎡,暂无数据,66.15㎡,暂无数据,南 北,钢混结构,精装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-08-18,商品房,2016-11-03,普通住宅,暂无数据,非共有,有抵押 103万元 北京农村商业银行平谷支行 客户偿还,已上传房本照片,0,null
平谷,平谷其它,66,2,280,32638元/平米,首城汇景湾,2室1厅1厨1卫,低楼层 (共18层),85.79㎡,暂无数据,64.35㎡,板楼,南,钢混结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-04-03,商品房,2015-08-11,普通住宅,满两年,非共有,有抵押 60万元 建行 业主自还,已上传房本照片,0,null
平谷,平谷其它,129,4,276,31482元/平米,首城汇景湾,2室2厅1厨1卫,高楼层 (共18层),87.67㎡,暂无数据,68.09㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-04-11,商品房,2017-03-20,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,0,null
平谷,平谷其它,39,0,290,21565元/平米,腾飞园,3室2厅1厨2卫,低楼层 (共18层),134.48㎡,暂无数据,110.59㎡,暂无数据,南 西 北,钢混结构,精装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-08-06,商品房,2016-10-24,普通住宅,暂无数据,非共有,有抵押 70万元 工行 客户偿还,已上传房本照片,0,null
平谷,平谷其它,4,1,450,36185元/平米,首城汇景湾,3室1厅1厨2卫,底层 (共12层),124.36㎡,暂无数据,99.08㎡,暂无数据,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-24,商品房,2016-11-15,普通住宅,暂无数据,共有,有抵押 90万元 客户偿还,已上传房本照片,0,null
平谷,平谷其它,113,2,185,29600元/平米,腾飞园,1室1厅1厨1卫,高楼层 (共18层),62.5㎡,暂无数据,51.4㎡,暂无数据,西南,钢混结构,其他,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-06-06,商品房,2016-12-01,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,0,null
平谷,平谷其它,23,2,270,31472元/平米,首城汇景湾,2室1厅1厨1卫,中楼层 (共18层),85.79㎡,暂无数据,64.35㎡,板楼,南,钢混结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-04-09,商品房,2015-08-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
平谷,平谷其它,9,2,460,29569元/平米,首城汇景湾,3室2厅1厨2卫,高楼层 (共9层),155.57㎡,暂无数据,128.45㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-05-31,商品房,2015-09-10,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
平谷,平谷其它,7,0,380,24858元/平米,首城汇景湾,3室2厅1厨2卫,中楼层 (共9层),152.87㎡,暂无数据,126.22㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-09-03,商品房,2016-01-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,0,null
平谷,平谷其它,16,3,350,26172元/平米,首城汇景湾,3室2厅1厨2卫,低楼层 (共11层),133.73㎡,暂无数据,106.01㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-06-24,商品房,2015-10-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
平谷,平谷其它,82,4,370,26586元/平米,首城汇景湾,3室2厅1厨2卫,低楼层 (共9层),139.17㎡,暂无数据,111.72㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-03-20,商品房,2015-11-26,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,0,null
平谷,平谷其它,3,0,275,31551元/平米,首城汇景湾,2室2厅1厨1卫,低楼层 (共18层),87.16㎡,暂无数据,66.15㎡,板楼,南 北,钢混结构,简装,一梯一户,集中供暖,暂无数据,70年,null,null,null,2017-07-21,商品房,2016-02-05,普通住宅,暂无数据,非共有,有抵押 79万元 工商银行 业主自还,已上传房本照片,0,null
