城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
房山,长阳,72,11,285,33569元/平米,碧桂园小区二区,2室1厅1厨1卫,中楼层 (共6层),84.9㎡,暂无数据,74.67㎡,板楼,南 北,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-09-09,商品房,2009-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,距离房山线广阳城站706米
房山,长阳,128,70,325,43759元/平米,原香小镇二区,1室1厅1厨1卫,顶层 (共6层),74.27㎡,平层,62.07㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-08,商品房,2011-08-15,普通住宅,满五年,非共有,有抵押 50万元 建设银行 业主自还,已上传房本照片,8,null
房山,长阳,44,17,350,38462元/平米,加州水郡三期,2室1厅1厨1卫,中楼层 (共15层),91㎡,暂无数据,75.5㎡,板塔结合,南 西,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-08-26,商品房,2012-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
房山,长阳,50,24,375,43635元/平米,原香小镇二区,2室1厅1厨1卫,低楼层 (共6层),85.94㎡,平层,71.47㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-14,商品房,2011-06-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
房山,长阳,325,46,269,39664元/平米,碧桂园小区C区,1室2厅1厨1卫,低楼层 (共16层),67.82㎡,暂无数据,56.76㎡,板塔结合,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-05-22,商品房,2010-07-29,普通住宅,满五年,非共有,有抵押 60万元 北京银行 客户偿还,已上传房本照片,11,null
房山,长阳,116,41,420,33934元/平米,碧桂园小区C区,3室2厅1厨2卫,中楼层 (共15层),123.77㎡,暂无数据,105.4㎡,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,null,null,null,2017-07-17,商品房,2009-07-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
房山,长阳,77,70,393,45397元/平米,长阳半岛3号院,2室1厅1厨1卫,中楼层 (共16层),86.57㎡,暂无数据,70.6㎡,塔楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-17,商品房,2015-06-12,普通住宅,满两年,非共有,有抵押 80万元 建行 客户偿还,已上传房本照片,25,null
房山,长阳,80,42,318,36359元/平米,加州水郡三期,2室1厅1厨1卫,中楼层 (共14层),87.46㎡,暂无数据,70.32㎡,板塔结合,南 西 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-06,商品房,2012-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
房山,长阳,36,11,270,35662元/平米,九洲溪雅苑二区,1室2厅1厨1卫,低楼层 (共15层),75.71㎡,暂无数据,62.98㎡,板塔结合,东北,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-08-20,商品房,2011-03-01,普通住宅,满五年,非共有,有抵押 50万元 农行 客户偿还,已上传房本照片,5,null
房山,长阳,850,175,298,35843元/平米,加州水郡三期,2室1厅1厨1卫,低楼层 (共15层),83.14㎡,平层,66.94㎡,板塔结合,南 北,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-05-03,商品房,2011-07-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
房山,长阳,219,69,395,62372元/平米,芭蕾雨悦都北区,2室1厅1厨2卫,顶层 (共8层),63.33㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-09,商品房,2013-05-30,普通住宅,满两年,非共有,有抵押,已上传房本照片,0,null
房山,长阳,318,83,238,40614元/平米,加州水郡三期,1室1厅1厨1卫,中楼层 (共15层),58.6㎡,平层,47.23㎡,塔楼,南,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-05-14,商品房,2011-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
房山,长阳,8,4,365,30771元/平米,碧桂园小区C区,2室1厅1厨2卫,中楼层 (共16层),118.62㎡,平层,99.12㎡,板塔结合,南,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-08-14,商品房,2009-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
房山,长阳,55,11,325,31456元/平米,碧桂园小区二区,3室2厅1厨1卫,高楼层 (共6层),103.32㎡,暂无数据,92.57㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-26,私产,2006-07-03,普通住宅,满五年,非共有,有抵押 10万元 建设银行房山支行 客户偿还,已上传房本照片,8,null
房山,长阳,29,8,327,38457元/平米,加州水郡三期,2室1厅1厨1卫,低楼层 (共11层),85.03㎡,暂无数据,71.9㎡,板塔结合,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-24,商品房,2011-08-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
